size_slug,ollama_ref,size_file
8b,llama3-chatqa:8b,sizes/8b.json
8b-v1-5,llama3-chatqa:8b-v1.5,sizes/8b-v1-5.json
8b-v1-5-fp16,llama3-chatqa:8b-v1.5-fp16,sizes/8b-v1-5-fp16.json
8b-v1-5-q2_k,llama3-chatqa:8b-v1.5-q2_K,sizes/8b-v1-5-q2_k.json
8b-v1-5-q3_k_l,llama3-chatqa:8b-v1.5-q3_K_L,sizes/8b-v1-5-q3_k_l.json
8b-v1-5-q3_k_m,llama3-chatqa:8b-v1.5-q3_K_M,sizes/8b-v1-5-q3_k_m.json
8b-v1-5-q3_k_s,llama3-chatqa:8b-v1.5-q3_K_S,sizes/8b-v1-5-q3_k_s.json
8b-v1-5-q4_0,llama3-chatqa:8b-v1.5-q4_0,sizes/8b-v1-5-q4_0.json
8b-v1-5-q4_1,llama3-chatqa:8b-v1.5-q4_1,sizes/8b-v1-5-q4_1.json
8b-v1-5-q4_k_m,llama3-chatqa:8b-v1.5-q4_K_M,sizes/8b-v1-5-q4_k_m.json
8b-v1-5-q4_k_s,llama3-chatqa:8b-v1.5-q4_K_S,sizes/8b-v1-5-q4_k_s.json
8b-v1-5-q5_0,llama3-chatqa:8b-v1.5-q5_0,sizes/8b-v1-5-q5_0.json
8b-v1-5-q5_1,llama3-chatqa:8b-v1.5-q5_1,sizes/8b-v1-5-q5_1.json
8b-v1-5-q5_k_m,llama3-chatqa:8b-v1.5-q5_K_M,sizes/8b-v1-5-q5_k_m.json
8b-v1-5-q5_k_s,llama3-chatqa:8b-v1.5-q5_K_S,sizes/8b-v1-5-q5_k_s.json
8b-v1-5-q6_k,llama3-chatqa:8b-v1.5-q6_K,sizes/8b-v1-5-q6_k.json
8b-v1-5-q8_0,llama3-chatqa:8b-v1.5-q8_0,sizes/8b-v1-5-q8_0.json
latest,llama3-chatqa:latest,sizes/latest.json
