size_slug,ollama_ref,size_file,fit_status
8b,llama3-chatqa:8b,../sizes/8b.json,not_listed_in_agents_selection
8b-v1-5,llama3-chatqa:8b-v1.5,../sizes/8b-v1-5.json,not_listed_in_agents_selection
8b-v1-5-fp16,llama3-chatqa:8b-v1.5-fp16,../sizes/8b-v1-5-fp16.json,not_listed_in_agents_selection
8b-v1-5-q2_k,llama3-chatqa:8b-v1.5-q2_K,../sizes/8b-v1-5-q2_k.json,not_listed_in_agents_selection
8b-v1-5-q3_k_l,llama3-chatqa:8b-v1.5-q3_K_L,../sizes/8b-v1-5-q3_k_l.json,not_listed_in_agents_selection
8b-v1-5-q3_k_m,llama3-chatqa:8b-v1.5-q3_K_M,../sizes/8b-v1-5-q3_k_m.json,not_listed_in_agents_selection
8b-v1-5-q3_k_s,llama3-chatqa:8b-v1.5-q3_K_S,../sizes/8b-v1-5-q3_k_s.json,not_listed_in_agents_selection
8b-v1-5-q4_0,llama3-chatqa:8b-v1.5-q4_0,../sizes/8b-v1-5-q4_0.json,not_listed_in_agents_selection
8b-v1-5-q4_1,llama3-chatqa:8b-v1.5-q4_1,../sizes/8b-v1-5-q4_1.json,not_listed_in_agents_selection
8b-v1-5-q4_k_m,llama3-chatqa:8b-v1.5-q4_K_M,../sizes/8b-v1-5-q4_k_m.json,not_listed_in_agents_selection
8b-v1-5-q4_k_s,llama3-chatqa:8b-v1.5-q4_K_S,../sizes/8b-v1-5-q4_k_s.json,not_listed_in_agents_selection
8b-v1-5-q5_0,llama3-chatqa:8b-v1.5-q5_0,../sizes/8b-v1-5-q5_0.json,not_listed_in_agents_selection
8b-v1-5-q5_1,llama3-chatqa:8b-v1.5-q5_1,../sizes/8b-v1-5-q5_1.json,not_listed_in_agents_selection
8b-v1-5-q5_k_m,llama3-chatqa:8b-v1.5-q5_K_M,../sizes/8b-v1-5-q5_k_m.json,not_listed_in_agents_selection
8b-v1-5-q5_k_s,llama3-chatqa:8b-v1.5-q5_K_S,../sizes/8b-v1-5-q5_k_s.json,not_listed_in_agents_selection
8b-v1-5-q6_k,llama3-chatqa:8b-v1.5-q6_K,../sizes/8b-v1-5-q6_k.json,not_listed_in_agents_selection
8b-v1-5-q8_0,llama3-chatqa:8b-v1.5-q8_0,../sizes/8b-v1-5-q8_0.json,not_listed_in_agents_selection
latest,llama3-chatqa:latest,../sizes/latest.json,not_listed_in_agents_selection
