size_slug,ollama_ref,size_file
70b,llama3-gradient:70b,sizes/70b.json
70b-instruct-1048k-fp16,llama3-gradient:70b-instruct-1048k-fp16,sizes/70b-instruct-1048k-fp16.json
70b-instruct-1048k-q2_k,llama3-gradient:70b-instruct-1048k-q2_K,sizes/70b-instruct-1048k-q2_k.json
70b-instruct-1048k-q3_k_l,llama3-gradient:70b-instruct-1048k-q3_K_L,sizes/70b-instruct-1048k-q3_k_l.json
70b-instruct-1048k-q3_k_m,llama3-gradient:70b-instruct-1048k-q3_K_M,sizes/70b-instruct-1048k-q3_k_m.json
70b-instruct-1048k-q3_k_s,llama3-gradient:70b-instruct-1048k-q3_K_S,sizes/70b-instruct-1048k-q3_k_s.json
70b-instruct-1048k-q4_0,llama3-gradient:70b-instruct-1048k-q4_0,sizes/70b-instruct-1048k-q4_0.json
70b-instruct-1048k-q4_1,llama3-gradient:70b-instruct-1048k-q4_1,sizes/70b-instruct-1048k-q4_1.json
70b-instruct-1048k-q4_k_m,llama3-gradient:70b-instruct-1048k-q4_K_M,sizes/70b-instruct-1048k-q4_k_m.json
70b-instruct-1048k-q4_k_s,llama3-gradient:70b-instruct-1048k-q4_K_S,sizes/70b-instruct-1048k-q4_k_s.json
70b-instruct-1048k-q5_0,llama3-gradient:70b-instruct-1048k-q5_0,sizes/70b-instruct-1048k-q5_0.json
70b-instruct-1048k-q5_1,llama3-gradient:70b-instruct-1048k-q5_1,sizes/70b-instruct-1048k-q5_1.json
70b-instruct-1048k-q5_k_m,llama3-gradient:70b-instruct-1048k-q5_K_M,sizes/70b-instruct-1048k-q5_k_m.json
70b-instruct-1048k-q5_k_s,llama3-gradient:70b-instruct-1048k-q5_K_S,sizes/70b-instruct-1048k-q5_k_s.json
70b-instruct-1048k-q6_k,llama3-gradient:70b-instruct-1048k-q6_K,sizes/70b-instruct-1048k-q6_k.json
70b-instruct-1048k-q8_0,llama3-gradient:70b-instruct-1048k-q8_0,sizes/70b-instruct-1048k-q8_0.json
