size_slug,size_json_path,ollama_ref
70b,profiles/llama3-gradient/sizes/70b.json,llama3-gradient:70b
70b-instruct1048k-fp16,profiles/llama3-gradient/sizes/70b-instruct1048k-fp16.json,llama3-gradient:70b-instruct-1048k-fp16
70b-instruct1048k-q2-k,profiles/llama3-gradient/sizes/70b-instruct1048k-q2-k.json,llama3-gradient:70b-instruct-1048k-q2_K
70b-instruct1048k-q3-k-l,profiles/llama3-gradient/sizes/70b-instruct1048k-q3-k-l.json,llama3-gradient:70b-instruct-1048k-q3_K_L
70b-instruct1048k-q3-k-m,profiles/llama3-gradient/sizes/70b-instruct1048k-q3-k-m.json,llama3-gradient:70b-instruct-1048k-q3_K_M
70b-instruct1048k-q3-k-s,profiles/llama3-gradient/sizes/70b-instruct1048k-q3-k-s.json,llama3-gradient:70b-instruct-1048k-q3_K_S
70b-instruct1048k-q4-k-m,profiles/llama3-gradient/sizes/70b-instruct1048k-q4-k-m.json,llama3-gradient:70b-instruct-1048k-q4_K_M
70b-instruct1048k-q4-k-s,profiles/llama3-gradient/sizes/70b-instruct1048k-q4-k-s.json,llama3-gradient:70b-instruct-1048k-q4_K_S
70b-instruct1048k-q40,profiles/llama3-gradient/sizes/70b-instruct1048k-q40.json,llama3-gradient:70b-instruct-1048k-q4_0
70b-instruct1048k-q41,profiles/llama3-gradient/sizes/70b-instruct1048k-q41.json,llama3-gradient:70b-instruct-1048k-q4_1
70b-instruct1048k-q5-k-m,profiles/llama3-gradient/sizes/70b-instruct1048k-q5-k-m.json,llama3-gradient:70b-instruct-1048k-q5_K_M
70b-instruct1048k-q5-k-s,profiles/llama3-gradient/sizes/70b-instruct1048k-q5-k-s.json,llama3-gradient:70b-instruct-1048k-q5_K_S
70b-instruct1048k-q50,profiles/llama3-gradient/sizes/70b-instruct1048k-q50.json,llama3-gradient:70b-instruct-1048k-q5_0
70b-instruct1048k-q51,profiles/llama3-gradient/sizes/70b-instruct1048k-q51.json,llama3-gradient:70b-instruct-1048k-q5_1
70b-instruct1048k-q6-k,profiles/llama3-gradient/sizes/70b-instruct1048k-q6-k.json,llama3-gradient:70b-instruct-1048k-q6_K
70b-instruct1048k-q80,profiles/llama3-gradient/sizes/70b-instruct1048k-q80.json,llama3-gradient:70b-instruct-1048k-q8_0
8b,profiles/llama3-gradient/sizes/8b.json,llama3-gradient:8b
8b-instruct1048k-fp16,profiles/llama3-gradient/sizes/8b-instruct1048k-fp16.json,llama3-gradient:8b-instruct-1048k-fp16
8b-instruct1048k-q2-k,profiles/llama3-gradient/sizes/8b-instruct1048k-q2-k.json,llama3-gradient:8b-instruct-1048k-q2_K
8b-instruct1048k-q3-k-l,profiles/llama3-gradient/sizes/8b-instruct1048k-q3-k-l.json,llama3-gradient:8b-instruct-1048k-q3_K_L
8b-instruct1048k-q3-k-m,profiles/llama3-gradient/sizes/8b-instruct1048k-q3-k-m.json,llama3-gradient:8b-instruct-1048k-q3_K_M
8b-instruct1048k-q3-k-s,profiles/llama3-gradient/sizes/8b-instruct1048k-q3-k-s.json,llama3-gradient:8b-instruct-1048k-q3_K_S
8b-instruct1048k-q4-k-m,profiles/llama3-gradient/sizes/8b-instruct1048k-q4-k-m.json,llama3-gradient:8b-instruct-1048k-q4_K_M
8b-instruct1048k-q4-k-s,profiles/llama3-gradient/sizes/8b-instruct1048k-q4-k-s.json,llama3-gradient:8b-instruct-1048k-q4_K_S
8b-instruct1048k-q40,profiles/llama3-gradient/sizes/8b-instruct1048k-q40.json,llama3-gradient:8b-instruct-1048k-q4_0
8b-instruct1048k-q41,profiles/llama3-gradient/sizes/8b-instruct1048k-q41.json,llama3-gradient:8b-instruct-1048k-q4_1
8b-instruct1048k-q5-k-m,profiles/llama3-gradient/sizes/8b-instruct1048k-q5-k-m.json,llama3-gradient:8b-instruct-1048k-q5_K_M
8b-instruct1048k-q5-k-s,profiles/llama3-gradient/sizes/8b-instruct1048k-q5-k-s.json,llama3-gradient:8b-instruct-1048k-q5_K_S
8b-instruct1048k-q50,profiles/llama3-gradient/sizes/8b-instruct1048k-q50.json,llama3-gradient:8b-instruct-1048k-q5_0
8b-instruct1048k-q51,profiles/llama3-gradient/sizes/8b-instruct1048k-q51.json,llama3-gradient:8b-instruct-1048k-q5_1
8b-instruct1048k-q6-k,profiles/llama3-gradient/sizes/8b-instruct1048k-q6-k.json,llama3-gradient:8b-instruct-1048k-q6_K
8b-instruct1048k-q80,profiles/llama3-gradient/sizes/8b-instruct1048k-q80.json,llama3-gradient:8b-instruct-1048k-q8_0
1048k,profiles/llama3-gradient/sizes/1048k.json,llama3-gradient:1048k
instruct,profiles/llama3-gradient/sizes/instruct.json,llama3-gradient:instruct
latest,profiles/llama3-gradient/sizes/latest.json,llama3-gradient:latest
