size_slug,size_json_path,ollama_ref
70b,profiles/llama3-groq-tool-use/sizes/70b.json,llama3-groq-tool-use:70b
70b-fp16,profiles/llama3-groq-tool-use/sizes/70b-fp16.json,llama3-groq-tool-use:70b-fp16
70b-q2-k,profiles/llama3-groq-tool-use/sizes/70b-q2-k.json,llama3-groq-tool-use:70b-q2_K
70b-q3-k-l,profiles/llama3-groq-tool-use/sizes/70b-q3-k-l.json,llama3-groq-tool-use:70b-q3_K_L
70b-q3-k-m,profiles/llama3-groq-tool-use/sizes/70b-q3-k-m.json,llama3-groq-tool-use:70b-q3_K_M
70b-q3-k-s,profiles/llama3-groq-tool-use/sizes/70b-q3-k-s.json,llama3-groq-tool-use:70b-q3_K_S
70b-q4-k-m,profiles/llama3-groq-tool-use/sizes/70b-q4-k-m.json,llama3-groq-tool-use:70b-q4_K_M
70b-q4-k-s,profiles/llama3-groq-tool-use/sizes/70b-q4-k-s.json,llama3-groq-tool-use:70b-q4_K_S
70b-q40,profiles/llama3-groq-tool-use/sizes/70b-q40.json,llama3-groq-tool-use:70b-q4_0
70b-q41,profiles/llama3-groq-tool-use/sizes/70b-q41.json,llama3-groq-tool-use:70b-q4_1
70b-q5-k-m,profiles/llama3-groq-tool-use/sizes/70b-q5-k-m.json,llama3-groq-tool-use:70b-q5_K_M
70b-q5-k-s,profiles/llama3-groq-tool-use/sizes/70b-q5-k-s.json,llama3-groq-tool-use:70b-q5_K_S
70b-q50,profiles/llama3-groq-tool-use/sizes/70b-q50.json,llama3-groq-tool-use:70b-q5_0
70b-q51,profiles/llama3-groq-tool-use/sizes/70b-q51.json,llama3-groq-tool-use:70b-q5_1
70b-q6-k,profiles/llama3-groq-tool-use/sizes/70b-q6-k.json,llama3-groq-tool-use:70b-q6_K
70b-q80,profiles/llama3-groq-tool-use/sizes/70b-q80.json,llama3-groq-tool-use:70b-q8_0
8b,profiles/llama3-groq-tool-use/sizes/8b.json,llama3-groq-tool-use:8b
8b-fp16,profiles/llama3-groq-tool-use/sizes/8b-fp16.json,llama3-groq-tool-use:8b-fp16
8b-q2-k,profiles/llama3-groq-tool-use/sizes/8b-q2-k.json,llama3-groq-tool-use:8b-q2_K
8b-q3-k-l,profiles/llama3-groq-tool-use/sizes/8b-q3-k-l.json,llama3-groq-tool-use:8b-q3_K_L
8b-q3-k-m,profiles/llama3-groq-tool-use/sizes/8b-q3-k-m.json,llama3-groq-tool-use:8b-q3_K_M
8b-q3-k-s,profiles/llama3-groq-tool-use/sizes/8b-q3-k-s.json,llama3-groq-tool-use:8b-q3_K_S
8b-q4-k-m,profiles/llama3-groq-tool-use/sizes/8b-q4-k-m.json,llama3-groq-tool-use:8b-q4_K_M
8b-q4-k-s,profiles/llama3-groq-tool-use/sizes/8b-q4-k-s.json,llama3-groq-tool-use:8b-q4_K_S
8b-q40,profiles/llama3-groq-tool-use/sizes/8b-q40.json,llama3-groq-tool-use:8b-q4_0
8b-q41,profiles/llama3-groq-tool-use/sizes/8b-q41.json,llama3-groq-tool-use:8b-q4_1
8b-q5-k-m,profiles/llama3-groq-tool-use/sizes/8b-q5-k-m.json,llama3-groq-tool-use:8b-q5_K_M
8b-q5-k-s,profiles/llama3-groq-tool-use/sizes/8b-q5-k-s.json,llama3-groq-tool-use:8b-q5_K_S
8b-q50,profiles/llama3-groq-tool-use/sizes/8b-q50.json,llama3-groq-tool-use:8b-q5_0
8b-q51,profiles/llama3-groq-tool-use/sizes/8b-q51.json,llama3-groq-tool-use:8b-q5_1
8b-q6-k,profiles/llama3-groq-tool-use/sizes/8b-q6-k.json,llama3-groq-tool-use:8b-q6_K
8b-q80,profiles/llama3-groq-tool-use/sizes/8b-q80.json,llama3-groq-tool-use:8b-q8_0
latest,profiles/llama3-groq-tool-use/sizes/latest.json,llama3-groq-tool-use:latest
