size_slug,ollama_ref,size_file,fit_status
3b,llama3.2:3b,../sizes/3b.json,no_fit
3b-instruct-fp16,llama3.2:3b-instruct-fp16,../sizes/3b-instruct-fp16.json,no_fit
3b-instruct-q2-k,llama3.2:3b-instruct-q2_K,../sizes/3b-instruct-q2-k.json,no_fit
3b-instruct-q3-k-l,llama3.2:3b-instruct-q3_K_L,../sizes/3b-instruct-q3-k-l.json,no_fit
3b-instruct-q3-k-m,llama3.2:3b-instruct-q3_K_M,../sizes/3b-instruct-q3-k-m.json,no_fit
3b-instruct-q3-k-s,llama3.2:3b-instruct-q3_K_S,../sizes/3b-instruct-q3-k-s.json,no_fit
3b-instruct-q4-k-m,llama3.2:3b-instruct-q4_K_M,../sizes/3b-instruct-q4-k-m.json,no_fit
3b-instruct-q4-k-s,llama3.2:3b-instruct-q4_K_S,../sizes/3b-instruct-q4-k-s.json,no_fit
3b-instruct-q40,llama3.2:3b-instruct-q4_0,../sizes/3b-instruct-q40.json,no_fit
3b-instruct-q41,llama3.2:3b-instruct-q4_1,../sizes/3b-instruct-q41.json,no_fit
3b-instruct-q5-k-m,llama3.2:3b-instruct-q5_K_M,../sizes/3b-instruct-q5-k-m.json,no_fit
3b-instruct-q5-k-s,llama3.2:3b-instruct-q5_K_S,../sizes/3b-instruct-q5-k-s.json,no_fit
3b-instruct-q50,llama3.2:3b-instruct-q5_0,../sizes/3b-instruct-q50.json,no_fit
3b-instruct-q51,llama3.2:3b-instruct-q5_1,../sizes/3b-instruct-q51.json,no_fit
3b-instruct-q6-k,llama3.2:3b-instruct-q6_K,../sizes/3b-instruct-q6-k.json,no_fit
3b-instruct-q80,llama3.2:3b-instruct-q8_0,../sizes/3b-instruct-q80.json,no_fit
3b-text-fp16,llama3.2:3b-text-fp16,../sizes/3b-text-fp16.json,no_fit
3b-text-q2-k,llama3.2:3b-text-q2_K,../sizes/3b-text-q2-k.json,no_fit
3b-text-q3-k-l,llama3.2:3b-text-q3_K_L,../sizes/3b-text-q3-k-l.json,no_fit
3b-text-q3-k-m,llama3.2:3b-text-q3_K_M,../sizes/3b-text-q3-k-m.json,no_fit
3b-text-q3-k-s,llama3.2:3b-text-q3_K_S,../sizes/3b-text-q3-k-s.json,no_fit
3b-text-q4-k-m,llama3.2:3b-text-q4_K_M,../sizes/3b-text-q4-k-m.json,no_fit
3b-text-q4-k-s,llama3.2:3b-text-q4_K_S,../sizes/3b-text-q4-k-s.json,no_fit
3b-text-q40,llama3.2:3b-text-q4_0,../sizes/3b-text-q40.json,no_fit
3b-text-q41,llama3.2:3b-text-q4_1,../sizes/3b-text-q41.json,no_fit
3b-text-q5-k-m,llama3.2:3b-text-q5_K_M,../sizes/3b-text-q5-k-m.json,no_fit
3b-text-q5-k-s,llama3.2:3b-text-q5_K_S,../sizes/3b-text-q5-k-s.json,no_fit
3b-text-q50,llama3.2:3b-text-q5_0,../sizes/3b-text-q50.json,no_fit
3b-text-q51,llama3.2:3b-text-q5_1,../sizes/3b-text-q51.json,no_fit
3b-text-q6-k,llama3.2:3b-text-q6_K,../sizes/3b-text-q6-k.json,no_fit
3b-text-q80,llama3.2:3b-text-q8_0,../sizes/3b-text-q80.json,no_fit
1b,llama3.2:1b,../sizes/1b.json,no_fit
1b-instruct-fp16,llama3.2:1b-instruct-fp16,../sizes/1b-instruct-fp16.json,no_fit
1b-instruct-q2-k,llama3.2:1b-instruct-q2_K,../sizes/1b-instruct-q2-k.json,no_fit
1b-instruct-q3-k-l,llama3.2:1b-instruct-q3_K_L,../sizes/1b-instruct-q3-k-l.json,no_fit
1b-instruct-q3-k-m,llama3.2:1b-instruct-q3_K_M,../sizes/1b-instruct-q3-k-m.json,no_fit
1b-instruct-q3-k-s,llama3.2:1b-instruct-q3_K_S,../sizes/1b-instruct-q3-k-s.json,no_fit
1b-instruct-q4-k-m,llama3.2:1b-instruct-q4_K_M,../sizes/1b-instruct-q4-k-m.json,no_fit
1b-instruct-q4-k-s,llama3.2:1b-instruct-q4_K_S,../sizes/1b-instruct-q4-k-s.json,no_fit
1b-instruct-q40,llama3.2:1b-instruct-q4_0,../sizes/1b-instruct-q40.json,no_fit
1b-instruct-q41,llama3.2:1b-instruct-q4_1,../sizes/1b-instruct-q41.json,no_fit
1b-instruct-q5-k-m,llama3.2:1b-instruct-q5_K_M,../sizes/1b-instruct-q5-k-m.json,no_fit
1b-instruct-q5-k-s,llama3.2:1b-instruct-q5_K_S,../sizes/1b-instruct-q5-k-s.json,no_fit
1b-instruct-q50,llama3.2:1b-instruct-q5_0,../sizes/1b-instruct-q50.json,no_fit
