size_slug,size_json_path,ollama_ref
3b,profiles/llama3.2/sizes/3b.json,llama3.2:3b
3b-instruct-fp16,profiles/llama3.2/sizes/3b-instruct-fp16.json,llama3.2:3b-instruct-fp16
3b-instruct-q2-k,profiles/llama3.2/sizes/3b-instruct-q2-k.json,llama3.2:3b-instruct-q2_K
3b-instruct-q3-k-l,profiles/llama3.2/sizes/3b-instruct-q3-k-l.json,llama3.2:3b-instruct-q3_K_L
3b-instruct-q3-k-m,profiles/llama3.2/sizes/3b-instruct-q3-k-m.json,llama3.2:3b-instruct-q3_K_M
3b-instruct-q3-k-s,profiles/llama3.2/sizes/3b-instruct-q3-k-s.json,llama3.2:3b-instruct-q3_K_S
3b-instruct-q4-k-m,profiles/llama3.2/sizes/3b-instruct-q4-k-m.json,llama3.2:3b-instruct-q4_K_M
3b-instruct-q4-k-s,profiles/llama3.2/sizes/3b-instruct-q4-k-s.json,llama3.2:3b-instruct-q4_K_S
3b-instruct-q40,profiles/llama3.2/sizes/3b-instruct-q40.json,llama3.2:3b-instruct-q4_0
3b-instruct-q41,profiles/llama3.2/sizes/3b-instruct-q41.json,llama3.2:3b-instruct-q4_1
3b-instruct-q5-k-m,profiles/llama3.2/sizes/3b-instruct-q5-k-m.json,llama3.2:3b-instruct-q5_K_M
3b-instruct-q5-k-s,profiles/llama3.2/sizes/3b-instruct-q5-k-s.json,llama3.2:3b-instruct-q5_K_S
3b-instruct-q50,profiles/llama3.2/sizes/3b-instruct-q50.json,llama3.2:3b-instruct-q5_0
3b-instruct-q51,profiles/llama3.2/sizes/3b-instruct-q51.json,llama3.2:3b-instruct-q5_1
3b-instruct-q6-k,profiles/llama3.2/sizes/3b-instruct-q6-k.json,llama3.2:3b-instruct-q6_K
3b-instruct-q80,profiles/llama3.2/sizes/3b-instruct-q80.json,llama3.2:3b-instruct-q8_0
3b-text-fp16,profiles/llama3.2/sizes/3b-text-fp16.json,llama3.2:3b-text-fp16
3b-text-q2-k,profiles/llama3.2/sizes/3b-text-q2-k.json,llama3.2:3b-text-q2_K
3b-text-q3-k-l,profiles/llama3.2/sizes/3b-text-q3-k-l.json,llama3.2:3b-text-q3_K_L
