size_slug,ollama_ref,size_file,fit_status
70b,llama3:70b,../sizes/70b.json,no_fit
70b-instruct,llama3:70b-instruct,../sizes/70b-instruct.json,no_fit
70b-instruct-fp16,llama3:70b-instruct-fp16,../sizes/70b-instruct-fp16.json,no_fit
70b-instruct-q2-k,llama3:70b-instruct-q2_K,../sizes/70b-instruct-q2-k.json,no_fit
70b-instruct-q3-k-l,llama3:70b-instruct-q3_K_L,../sizes/70b-instruct-q3-k-l.json,no_fit
70b-instruct-q3-k-m,llama3:70b-instruct-q3_K_M,../sizes/70b-instruct-q3-k-m.json,no_fit
70b-instruct-q3-k-s,llama3:70b-instruct-q3_K_S,../sizes/70b-instruct-q3-k-s.json,no_fit
70b-instruct-q4-k-m,llama3:70b-instruct-q4_K_M,../sizes/70b-instruct-q4-k-m.json,no_fit
70b-instruct-q4-k-s,llama3:70b-instruct-q4_K_S,../sizes/70b-instruct-q4-k-s.json,no_fit
70b-instruct-q40,llama3:70b-instruct-q4_0,../sizes/70b-instruct-q40.json,no_fit
70b-instruct-q41,llama3:70b-instruct-q4_1,../sizes/70b-instruct-q41.json,no_fit
70b-instruct-q5-k-m,llama3:70b-instruct-q5_K_M,../sizes/70b-instruct-q5-k-m.json,no_fit
70b-instruct-q5-k-s,llama3:70b-instruct-q5_K_S,../sizes/70b-instruct-q5-k-s.json,no_fit
70b-instruct-q50,llama3:70b-instruct-q5_0,../sizes/70b-instruct-q50.json,no_fit
70b-instruct-q51,llama3:70b-instruct-q5_1,../sizes/70b-instruct-q51.json,no_fit
70b-instruct-q6-k,llama3:70b-instruct-q6_K,../sizes/70b-instruct-q6-k.json,no_fit
70b-instruct-q80,llama3:70b-instruct-q8_0,../sizes/70b-instruct-q80.json,no_fit
70b-text,llama3:70b-text,../sizes/70b-text.json,no_fit
70b-text-fp16,llama3:70b-text-fp16,../sizes/70b-text-fp16.json,no_fit
70b-text-q2-k,llama3:70b-text-q2_K,../sizes/70b-text-q2-k.json,no_fit
70b-text-q3-k-l,llama3:70b-text-q3_K_L,../sizes/70b-text-q3-k-l.json,no_fit
70b-text-q3-k-m,llama3:70b-text-q3_K_M,../sizes/70b-text-q3-k-m.json,no_fit
70b-text-q3-k-s,llama3:70b-text-q3_K_S,../sizes/70b-text-q3-k-s.json,no_fit
70b-text-q4-k-m,llama3:70b-text-q4_K_M,../sizes/70b-text-q4-k-m.json,no_fit
70b-text-q4-k-s,llama3:70b-text-q4_K_S,../sizes/70b-text-q4-k-s.json,no_fit
70b-text-q40,llama3:70b-text-q4_0,../sizes/70b-text-q40.json,no_fit
70b-text-q41,llama3:70b-text-q4_1,../sizes/70b-text-q41.json,no_fit
70b-text-q5-k-m,llama3:70b-text-q5_K_M,../sizes/70b-text-q5-k-m.json,no_fit
70b-text-q5-k-s,llama3:70b-text-q5_K_S,../sizes/70b-text-q5-k-s.json,no_fit
70b-text-q50,llama3:70b-text-q5_0,../sizes/70b-text-q50.json,no_fit
70b-text-q51,llama3:70b-text-q5_1,../sizes/70b-text-q51.json,no_fit
70b-text-q6-k,llama3:70b-text-q6_K,../sizes/70b-text-q6-k.json,no_fit
70b-text-q80,llama3:70b-text-q8_0,../sizes/70b-text-q80.json,no_fit
8b,llama3:8b,../sizes/8b.json,unknown
8b-instruct-fp16,llama3:8b-instruct-fp16,../sizes/8b-instruct-fp16.json,no_fit
8b-instruct-q2-k,llama3:8b-instruct-q2_K,../sizes/8b-instruct-q2-k.json,unknown
8b-instruct-q3-k-l,llama3:8b-instruct-q3_K_L,../sizes/8b-instruct-q3-k-l.json,unknown
8b-instruct-q3-k-m,llama3:8b-instruct-q3_K_M,../sizes/8b-instruct-q3-k-m.json,unknown
8b-instruct-q3-k-s,llama3:8b-instruct-q3_K_S,../sizes/8b-instruct-q3-k-s.json,unknown
8b-instruct-q4-k-m,llama3:8b-instruct-q4_K_M,../sizes/8b-instruct-q4-k-m.json,unknown
8b-instruct-q4-k-s,llama3:8b-instruct-q4_K_S,../sizes/8b-instruct-q4-k-s.json,unknown
8b-instruct-q40,llama3:8b-instruct-q4_0,../sizes/8b-instruct-q40.json,unknown
8b-instruct-q41,llama3:8b-instruct-q4_1,../sizes/8b-instruct-q41.json,unknown
8b-instruct-q5-k-m,llama3:8b-instruct-q5_K_M,../sizes/8b-instruct-q5-k-m.json,no_fit
8b-instruct-q5-k-s,llama3:8b-instruct-q5_K_S,../sizes/8b-instruct-q5-k-s.json,no_fit
8b-instruct-q50,llama3:8b-instruct-q5_0,../sizes/8b-instruct-q50.json,no_fit
8b-instruct-q51,llama3:8b-instruct-q5_1,../sizes/8b-instruct-q51.json,no_fit
8b-instruct-q6-k,llama3:8b-instruct-q6_K,../sizes/8b-instruct-q6-k.json,no_fit
8b-instruct-q80,llama3:8b-instruct-q8_0,../sizes/8b-instruct-q80.json,no_fit
8b-text,llama3:8b-text,../sizes/8b-text.json,unknown
8b-text-fp16,llama3:8b-text-fp16,../sizes/8b-text-fp16.json,no_fit
8b-text-q2-k,llama3:8b-text-q2_K,../sizes/8b-text-q2-k.json,unknown
8b-text-q3-k-l,llama3:8b-text-q3_K_L,../sizes/8b-text-q3-k-l.json,unknown
8b-text-q3-k-m,llama3:8b-text-q3_K_M,../sizes/8b-text-q3-k-m.json,unknown
8b-text-q3-k-s,llama3:8b-text-q3_K_S,../sizes/8b-text-q3-k-s.json,unknown
8b-text-q4-k-m,llama3:8b-text-q4_K_M,../sizes/8b-text-q4-k-m.json,unknown
8b-text-q4-k-s,llama3:8b-text-q4_K_S,../sizes/8b-text-q4-k-s.json,unknown
8b-text-q40,llama3:8b-text-q4_0,../sizes/8b-text-q40.json,unknown
8b-text-q41,llama3:8b-text-q4_1,../sizes/8b-text-q41.json,unknown
8b-text-q5-k-m,llama3:8b-text-q5_K_M,../sizes/8b-text-q5-k-m.json,no_fit
8b-text-q5-k-s,llama3:8b-text-q5_K_S,../sizes/8b-text-q5-k-s.json,no_fit
8b-text-q50,llama3:8b-text-q5_0,../sizes/8b-text-q50.json,no_fit
8b-text-q51,llama3:8b-text-q5_1,../sizes/8b-text-q51.json,no_fit
8b-text-q6-k,llama3:8b-text-q6_K,../sizes/8b-text-q6-k.json,no_fit
8b-text-q80,llama3:8b-text-q8_0,../sizes/8b-text-q80.json,no_fit
instruct,llama3:instruct,../sizes/instruct.json,unknown
latest,llama3:latest,../sizes/latest.json,unknown
text,llama3:text,../sizes/text.json,unknown
