size_slug,ollama_ref,size_file,fit_status
34b,llava:34b,../sizes/34b.json,no_fit
34b-v1.6,llava:34b-v1.6,../sizes/34b-v1.6.json,no_fit
34b-v1.6-fp16,llava:34b-v1.6-fp16,../sizes/34b-v1.6-fp16.json,no_fit
34b-v1.6-q2-k,llava:34b-v1.6-q2_K,../sizes/34b-v1.6-q2-k.json,no_fit
34b-v1.6-q3-k-l,llava:34b-v1.6-q3_K_L,../sizes/34b-v1.6-q3-k-l.json,no_fit
34b-v1.6-q3-k-m,llava:34b-v1.6-q3_K_M,../sizes/34b-v1.6-q3-k-m.json,no_fit
34b-v1.6-q3-k-s,llava:34b-v1.6-q3_K_S,../sizes/34b-v1.6-q3-k-s.json,no_fit
34b-v1.6-q4-k-m,llava:34b-v1.6-q4_K_M,../sizes/34b-v1.6-q4-k-m.json,no_fit
34b-v1.6-q4-k-s,llava:34b-v1.6-q4_K_S,../sizes/34b-v1.6-q4-k-s.json,no_fit
34b-v1.6-q40,llava:34b-v1.6-q4_0,../sizes/34b-v1.6-q40.json,no_fit
34b-v1.6-q41,llava:34b-v1.6-q4_1,../sizes/34b-v1.6-q41.json,no_fit
34b-v1.6-q5-k-m,llava:34b-v1.6-q5_K_M,../sizes/34b-v1.6-q5-k-m.json,no_fit
34b-v1.6-q5-k-s,llava:34b-v1.6-q5_K_S,../sizes/34b-v1.6-q5-k-s.json,no_fit
34b-v1.6-q50,llava:34b-v1.6-q5_0,../sizes/34b-v1.6-q50.json,no_fit
34b-v1.6-q51,llava:34b-v1.6-q5_1,../sizes/34b-v1.6-q51.json,no_fit
34b-v1.6-q6-k,llava:34b-v1.6-q6_K,../sizes/34b-v1.6-q6-k.json,no_fit
34b-v1.6-q80,llava:34b-v1.6-q8_0,../sizes/34b-v1.6-q80.json,no_fit
13b,llava:13b,../sizes/13b.json,no_fit
13b-v1.5-fp16,llava:13b-v1.5-fp16,../sizes/13b-v1.5-fp16.json,no_fit
13b-v1.5-q2-k,llava:13b-v1.5-q2_K,../sizes/13b-v1.5-q2-k.json,no_fit
13b-v1.5-q3-k-l,llava:13b-v1.5-q3_K_L,../sizes/13b-v1.5-q3-k-l.json,no_fit
13b-v1.5-q3-k-m,llava:13b-v1.5-q3_K_M,../sizes/13b-v1.5-q3-k-m.json,no_fit
13b-v1.5-q3-k-s,llava:13b-v1.5-q3_K_S,../sizes/13b-v1.5-q3-k-s.json,no_fit
