size_slug,ollama_ref,size_file
7b,magicoder:7b,sizes/7b.json
7b-s-cl,magicoder:7b-s-cl,sizes/7b-s-cl.json
7b-s-cl-fp16,magicoder:7b-s-cl-fp16,sizes/7b-s-cl-fp16.json
7b-s-cl-q2-k,magicoder:7b-s-cl-q2_K,sizes/7b-s-cl-q2-k.json
7b-s-cl-q3-k-l,magicoder:7b-s-cl-q3_K_L,sizes/7b-s-cl-q3-k-l.json
7b-s-cl-q3-k-m,magicoder:7b-s-cl-q3_K_M,sizes/7b-s-cl-q3-k-m.json
7b-s-cl-q3-k-s,magicoder:7b-s-cl-q3_K_S,sizes/7b-s-cl-q3-k-s.json
7b-s-cl-q4-k-m,magicoder:7b-s-cl-q4_K_M,sizes/7b-s-cl-q4-k-m.json
7b-s-cl-q4-k-s,magicoder:7b-s-cl-q4_K_S,sizes/7b-s-cl-q4-k-s.json
7b-s-cl-q40,magicoder:7b-s-cl-q4_0,sizes/7b-s-cl-q40.json
7b-s-cl-q41,magicoder:7b-s-cl-q4_1,sizes/7b-s-cl-q41.json
7b-s-cl-q5-k-m,magicoder:7b-s-cl-q5_K_M,sizes/7b-s-cl-q5-k-m.json
7b-s-cl-q5-k-s,magicoder:7b-s-cl-q5_K_S,sizes/7b-s-cl-q5-k-s.json
7b-s-cl-q50,magicoder:7b-s-cl-q5_0,sizes/7b-s-cl-q50.json
7b-s-cl-q51,magicoder:7b-s-cl-q5_1,sizes/7b-s-cl-q51.json
7b-s-cl-q6-k,magicoder:7b-s-cl-q6_K,sizes/7b-s-cl-q6-k.json
7b-s-cl-q80,magicoder:7b-s-cl-q8_0,sizes/7b-s-cl-q80.json
latest,magicoder:latest,sizes/latest.json
