size_slug,ollama_ref,size_file,fit_status
70b,meditron:70b,../sizes/70b.json,no_fit
70b-q4-k-s,meditron:70b-q4_K_S,../sizes/70b-q4-k-s.json,no_fit
70b-q40,meditron:70b-q4_0,../sizes/70b-q40.json,no_fit
70b-q41,meditron:70b-q4_1,../sizes/70b-q41.json,no_fit
70b-q51,meditron:70b-q5_1,../sizes/70b-q51.json,no_fit
7b,meditron:7b,../sizes/7b.json,unknown
7b-fp16,meditron:7b-fp16,../sizes/7b-fp16.json,unknown
7b-q2-k,meditron:7b-q2_K,../sizes/7b-q2-k.json,unknown
7b-q3-k-l,meditron:7b-q3_K_L,../sizes/7b-q3-k-l.json,unknown
7b-q3-k-m,meditron:7b-q3_K_M,../sizes/7b-q3-k-m.json,unknown
7b-q3-k-s,meditron:7b-q3_K_S,../sizes/7b-q3-k-s.json,unknown
7b-q4-k-m,meditron:7b-q4_K_M,../sizes/7b-q4-k-m.json,unknown
7b-q4-k-s,meditron:7b-q4_K_S,../sizes/7b-q4-k-s.json,unknown
7b-q40,meditron:7b-q4_0,../sizes/7b-q40.json,unknown
7b-q41,meditron:7b-q4_1,../sizes/7b-q41.json,unknown
7b-q5-k-m,meditron:7b-q5_K_M,../sizes/7b-q5-k-m.json,unknown
7b-q5-k-s,meditron:7b-q5_K_S,../sizes/7b-q5-k-s.json,unknown
7b-q50,meditron:7b-q5_0,../sizes/7b-q50.json,unknown
7b-q51,meditron:7b-q5_1,../sizes/7b-q51.json,unknown
7b-q6-k,meditron:7b-q6_K,../sizes/7b-q6-k.json,unknown
7b-q80,meditron:7b-q8_0,../sizes/7b-q80.json,unknown
latest,meditron:latest,../sizes/latest.json,unknown
