size_slug,ollama_ref,size_file,fit_status
7b,medllama2:7b,../sizes/7b.json,fit
7b-fp16,medllama2:7b-fp16,../sizes/7b-fp16.json,fit
7b-q2-k,medllama2:7b-q2_K,../sizes/7b-q2-k.json,fit
7b-q3-k-l,medllama2:7b-q3_K_L,../sizes/7b-q3-k-l.json,fit
7b-q3-k-m,medllama2:7b-q3_K_M,../sizes/7b-q3-k-m.json,fit
7b-q3-k-s,medllama2:7b-q3_K_S,../sizes/7b-q3-k-s.json,fit
7b-q4-k-m,medllama2:7b-q4_K_M,../sizes/7b-q4-k-m.json,fit
7b-q4-k-s,medllama2:7b-q4_K_S,../sizes/7b-q4-k-s.json,fit
7b-q40,medllama2:7b-q4_0,../sizes/7b-q40.json,fit
7b-q41,medllama2:7b-q4_1,../sizes/7b-q41.json,fit
7b-q5-k-m,medllama2:7b-q5_K_M,../sizes/7b-q5-k-m.json,fit
7b-q5-k-s,medllama2:7b-q5_K_S,../sizes/7b-q5-k-s.json,fit
7b-q50,medllama2:7b-q5_0,../sizes/7b-q50.json,fit
7b-q51,medllama2:7b-q5_1,../sizes/7b-q51.json,fit
7b-q6-k,medllama2:7b-q6_K,../sizes/7b-q6-k.json,fit
7b-q80,medllama2:7b-q8_0,../sizes/7b-q80.json,fit
latest,medllama2:latest,../sizes/latest.json,fit
