size_slug,size_json_path,ollama_ref
7b,profiles/medllama2/sizes/7b.json,medllama2:7b
7b-fp16,profiles/medllama2/sizes/7b-fp16.json,medllama2:7b-fp16
7b-q2-k,profiles/medllama2/sizes/7b-q2-k.json,medllama2:7b-q2_K
7b-q3-k-l,profiles/medllama2/sizes/7b-q3-k-l.json,medllama2:7b-q3_K_L
7b-q3-k-m,profiles/medllama2/sizes/7b-q3-k-m.json,medllama2:7b-q3_K_M
7b-q3-k-s,profiles/medllama2/sizes/7b-q3-k-s.json,medllama2:7b-q3_K_S
7b-q4-k-m,profiles/medllama2/sizes/7b-q4-k-m.json,medllama2:7b-q4_K_M
7b-q4-k-s,profiles/medllama2/sizes/7b-q4-k-s.json,medllama2:7b-q4_K_S
7b-q40,profiles/medllama2/sizes/7b-q40.json,medllama2:7b-q4_0
7b-q41,profiles/medllama2/sizes/7b-q41.json,medllama2:7b-q4_1
7b-q5-k-m,profiles/medllama2/sizes/7b-q5-k-m.json,medllama2:7b-q5_K_M
7b-q5-k-s,profiles/medllama2/sizes/7b-q5-k-s.json,medllama2:7b-q5_K_S
7b-q50,profiles/medllama2/sizes/7b-q50.json,medllama2:7b-q5_0
7b-q51,profiles/medllama2/sizes/7b-q51.json,medllama2:7b-q5_1
7b-q6-k,profiles/medllama2/sizes/7b-q6-k.json,medllama2:7b-q6_K
7b-q80,profiles/medllama2/sizes/7b-q80.json,medllama2:7b-q8_0
latest,profiles/medllama2/sizes/latest.json,medllama2:latest
