size_slug,size_json_path,ollama_ref
120b,profiles/megadolphin/sizes/120b.json,megadolphin:120b
120b-v2.2,profiles/megadolphin/sizes/120b-v2.2.json,megadolphin:120b-v2.2
120b-v2.2-fp16,profiles/megadolphin/sizes/120b-v2.2-fp16.json,megadolphin:120b-v2.2-fp16
120b-v2.2-q2-k,profiles/megadolphin/sizes/120b-v2.2-q2-k.json,megadolphin:120b-v2.2-q2_K
120b-v2.2-q3-k-l,profiles/megadolphin/sizes/120b-v2.2-q3-k-l.json,megadolphin:120b-v2.2-q3_K_L
120b-v2.2-q3-k-m,profiles/megadolphin/sizes/120b-v2.2-q3-k-m.json,megadolphin:120b-v2.2-q3_K_M
120b-v2.2-q3-k-s,profiles/megadolphin/sizes/120b-v2.2-q3-k-s.json,megadolphin:120b-v2.2-q3_K_S
120b-v2.2-q4-k-m,profiles/megadolphin/sizes/120b-v2.2-q4-k-m.json,megadolphin:120b-v2.2-q4_K_M
120b-v2.2-q4-k-s,profiles/megadolphin/sizes/120b-v2.2-q4-k-s.json,megadolphin:120b-v2.2-q4_K_S
120b-v2.2-q40,profiles/megadolphin/sizes/120b-v2.2-q40.json,megadolphin:120b-v2.2-q4_0
120b-v2.2-q41,profiles/megadolphin/sizes/120b-v2.2-q41.json,megadolphin:120b-v2.2-q4_1
120b-v2.2-q5-k-m,profiles/megadolphin/sizes/120b-v2.2-q5-k-m.json,megadolphin:120b-v2.2-q5_K_M
120b-v2.2-q5-k-s,profiles/megadolphin/sizes/120b-v2.2-q5-k-s.json,megadolphin:120b-v2.2-q5_K_S
120b-v2.2-q50,profiles/megadolphin/sizes/120b-v2.2-q50.json,megadolphin:120b-v2.2-q5_0
120b-v2.2-q51,profiles/megadolphin/sizes/120b-v2.2-q51.json,megadolphin:120b-v2.2-q5_1
120b-v2.2-q6-k,profiles/megadolphin/sizes/120b-v2.2-q6-k.json,megadolphin:120b-v2.2-q6_K
120b-v2.2-q80,profiles/megadolphin/sizes/120b-v2.2-q80.json,megadolphin:120b-v2.2-q8_0
latest,profiles/megadolphin/sizes/latest.json,megadolphin:latest
v2.2,profiles/megadolphin/sizes/v2.2.json,megadolphin:v2.2
