size_slug,ollama_ref,size_file
123b,mistral-large:123b,sizes/123b.json
123b-instruct2407-fp16,mistral-large:123b-instruct-2407-fp16,sizes/123b-instruct2407-fp16.json
123b-instruct2407-q2-k,mistral-large:123b-instruct-2407-q2_K,sizes/123b-instruct2407-q2-k.json
123b-instruct2407-q3-k-l,mistral-large:123b-instruct-2407-q3_K_L,sizes/123b-instruct2407-q3-k-l.json
123b-instruct2407-q3-k-m,mistral-large:123b-instruct-2407-q3_K_M,sizes/123b-instruct2407-q3-k-m.json
123b-instruct2407-q3-k-s,mistral-large:123b-instruct-2407-q3_K_S,sizes/123b-instruct2407-q3-k-s.json
123b-instruct2407-q4-k-m,mistral-large:123b-instruct-2407-q4_K_M,sizes/123b-instruct2407-q4-k-m.json
123b-instruct2407-q4-k-s,mistral-large:123b-instruct-2407-q4_K_S,sizes/123b-instruct2407-q4-k-s.json
123b-instruct2407-q40,mistral-large:123b-instruct-2407-q4_0,sizes/123b-instruct2407-q40.json
123b-instruct2407-q41,mistral-large:123b-instruct-2407-q4_1,sizes/123b-instruct2407-q41.json
123b-instruct2407-q5-k-m,mistral-large:123b-instruct-2407-q5_K_M,sizes/123b-instruct2407-q5-k-m.json
123b-instruct2407-q5-k-s,mistral-large:123b-instruct-2407-q5_K_S,sizes/123b-instruct2407-q5-k-s.json
123b-instruct2407-q50,mistral-large:123b-instruct-2407-q5_0,sizes/123b-instruct2407-q50.json
123b-instruct2407-q51,mistral-large:123b-instruct-2407-q5_1,sizes/123b-instruct2407-q51.json
123b-instruct2407-q6-k,mistral-large:123b-instruct-2407-q6_K,sizes/123b-instruct2407-q6-k.json
123b-instruct2407-q80,mistral-large:123b-instruct-2407-q8_0,sizes/123b-instruct2407-q80.json
123b-instruct2411-fp16,mistral-large:123b-instruct-2411-fp16,sizes/123b-instruct2411-fp16.json
123b-instruct2411-q2-k,mistral-large:123b-instruct-2411-q2_K,sizes/123b-instruct2411-q2-k.json
123b-instruct2411-q3-k-l,mistral-large:123b-instruct-2411-q3_K_L,sizes/123b-instruct2411-q3-k-l.json
123b-instruct2411-q3-k-m,mistral-large:123b-instruct-2411-q3_K_M,sizes/123b-instruct2411-q3-k-m.json
123b-instruct2411-q3-k-s,mistral-large:123b-instruct-2411-q3_K_S,sizes/123b-instruct2411-q3-k-s.json
123b-instruct2411-q4-k-m,mistral-large:123b-instruct-2411-q4_K_M,sizes/123b-instruct2411-q4-k-m.json
123b-instruct2411-q4-k-s,mistral-large:123b-instruct-2411-q4_K_S,sizes/123b-instruct2411-q4-k-s.json
123b-instruct2411-q40,mistral-large:123b-instruct-2411-q4_0,sizes/123b-instruct2411-q40.json
123b-instruct2411-q41,mistral-large:123b-instruct-2411-q4_1,sizes/123b-instruct2411-q41.json
123b-instruct2411-q5-k-m,mistral-large:123b-instruct-2411-q5_K_M,sizes/123b-instruct2411-q5-k-m.json
123b-instruct2411-q5-k-s,mistral-large:123b-instruct-2411-q5_K_S,sizes/123b-instruct2411-q5-k-s.json
123b-instruct2411-q50,mistral-large:123b-instruct-2411-q5_0,sizes/123b-instruct2411-q50.json
123b-instruct2411-q51,mistral-large:123b-instruct-2411-q5_1,sizes/123b-instruct2411-q51.json
123b-instruct2411-q6-k,mistral-large:123b-instruct-2411-q6_K,sizes/123b-instruct2411-q6-k.json
123b-instruct2411-q80,mistral-large:123b-instruct-2411-q8_0,sizes/123b-instruct2411-q80.json
latest,mistral-large:latest,sizes/latest.json
