size_slug,size_json_path,ollama_ref
123b,profiles/mistral-large/sizes/123b.json,mistral-large:123b
123b-instruct2407-fp16,profiles/mistral-large/sizes/123b-instruct2407-fp16.json,mistral-large:123b-instruct-2407-fp16
123b-instruct2407-q2-k,profiles/mistral-large/sizes/123b-instruct2407-q2-k.json,mistral-large:123b-instruct-2407-q2_K
123b-instruct2407-q3-k-l,profiles/mistral-large/sizes/123b-instruct2407-q3-k-l.json,mistral-large:123b-instruct-2407-q3_K_L
123b-instruct2407-q3-k-m,profiles/mistral-large/sizes/123b-instruct2407-q3-k-m.json,mistral-large:123b-instruct-2407-q3_K_M
123b-instruct2407-q3-k-s,profiles/mistral-large/sizes/123b-instruct2407-q3-k-s.json,mistral-large:123b-instruct-2407-q3_K_S
123b-instruct2407-q4-k-m,profiles/mistral-large/sizes/123b-instruct2407-q4-k-m.json,mistral-large:123b-instruct-2407-q4_K_M
123b-instruct2407-q4-k-s,profiles/mistral-large/sizes/123b-instruct2407-q4-k-s.json,mistral-large:123b-instruct-2407-q4_K_S
123b-instruct2407-q40,profiles/mistral-large/sizes/123b-instruct2407-q40.json,mistral-large:123b-instruct-2407-q4_0
123b-instruct2407-q41,profiles/mistral-large/sizes/123b-instruct2407-q41.json,mistral-large:123b-instruct-2407-q4_1
123b-instruct2407-q5-k-m,profiles/mistral-large/sizes/123b-instruct2407-q5-k-m.json,mistral-large:123b-instruct-2407-q5_K_M
123b-instruct2407-q5-k-s,profiles/mistral-large/sizes/123b-instruct2407-q5-k-s.json,mistral-large:123b-instruct-2407-q5_K_S
123b-instruct2407-q50,profiles/mistral-large/sizes/123b-instruct2407-q50.json,mistral-large:123b-instruct-2407-q5_0
123b-instruct2407-q51,profiles/mistral-large/sizes/123b-instruct2407-q51.json,mistral-large:123b-instruct-2407-q5_1
123b-instruct2407-q6-k,profiles/mistral-large/sizes/123b-instruct2407-q6-k.json,mistral-large:123b-instruct-2407-q6_K
123b-instruct2407-q80,profiles/mistral-large/sizes/123b-instruct2407-q80.json,mistral-large:123b-instruct-2407-q8_0
123b-instruct2411-fp16,profiles/mistral-large/sizes/123b-instruct2411-fp16.json,mistral-large:123b-instruct-2411-fp16
123b-instruct2411-q2-k,profiles/mistral-large/sizes/123b-instruct2411-q2-k.json,mistral-large:123b-instruct-2411-q2_K
123b-instruct2411-q3-k-l,profiles/mistral-large/sizes/123b-instruct2411-q3-k-l.json,mistral-large:123b-instruct-2411-q3_K_L
123b-instruct2411-q3-k-m,profiles/mistral-large/sizes/123b-instruct2411-q3-k-m.json,mistral-large:123b-instruct-2411-q3_K_M
123b-instruct2411-q3-k-s,profiles/mistral-large/sizes/123b-instruct2411-q3-k-s.json,mistral-large:123b-instruct-2411-q3_K_S
123b-instruct2411-q4-k-m,profiles/mistral-large/sizes/123b-instruct2411-q4-k-m.json,mistral-large:123b-instruct-2411-q4_K_M
123b-instruct2411-q4-k-s,profiles/mistral-large/sizes/123b-instruct2411-q4-k-s.json,mistral-large:123b-instruct-2411-q4_K_S
123b-instruct2411-q40,profiles/mistral-large/sizes/123b-instruct2411-q40.json,mistral-large:123b-instruct-2411-q4_0
123b-instruct2411-q41,profiles/mistral-large/sizes/123b-instruct2411-q41.json,mistral-large:123b-instruct-2411-q4_1
123b-instruct2411-q5-k-m,profiles/mistral-large/sizes/123b-instruct2411-q5-k-m.json,mistral-large:123b-instruct-2411-q5_K_M
123b-instruct2411-q5-k-s,profiles/mistral-large/sizes/123b-instruct2411-q5-k-s.json,mistral-large:123b-instruct-2411-q5_K_S
123b-instruct2411-q50,profiles/mistral-large/sizes/123b-instruct2411-q50.json,mistral-large:123b-instruct-2411-q5_0
123b-instruct2411-q51,profiles/mistral-large/sizes/123b-instruct2411-q51.json,mistral-large:123b-instruct-2411-q5_1
123b-instruct2411-q6-k,profiles/mistral-large/sizes/123b-instruct2411-q6-k.json,mistral-large:123b-instruct-2411-q6_K
123b-instruct2411-q80,profiles/mistral-large/sizes/123b-instruct2411-q80.json,mistral-large:123b-instruct-2411-q8_0
latest,profiles/mistral-large/sizes/latest.json,mistral-large:latest
