size_slug,ollama_ref,size_file
12b,mistral-nemo:12b,sizes/12b.json
12b-instruct-2407-fp16,mistral-nemo:12b-instruct-2407-fp16,sizes/12b-instruct-2407-fp16.json
12b-instruct-2407-q2_k,mistral-nemo:12b-instruct-2407-q2_K,sizes/12b-instruct-2407-q2_k.json
12b-instruct-2407-q3_k_l,mistral-nemo:12b-instruct-2407-q3_K_L,sizes/12b-instruct-2407-q3_k_l.json
12b-instruct-2407-q3_k_m,mistral-nemo:12b-instruct-2407-q3_K_M,sizes/12b-instruct-2407-q3_k_m.json
12b-instruct-2407-q3_k_s,mistral-nemo:12b-instruct-2407-q3_K_S,sizes/12b-instruct-2407-q3_k_s.json
12b-instruct-2407-q4_0,mistral-nemo:12b-instruct-2407-q4_0,sizes/12b-instruct-2407-q4_0.json
12b-instruct-2407-q4_1,mistral-nemo:12b-instruct-2407-q4_1,sizes/12b-instruct-2407-q4_1.json
12b-instruct-2407-q4_k_m,mistral-nemo:12b-instruct-2407-q4_K_M,sizes/12b-instruct-2407-q4_k_m.json
12b-instruct-2407-q4_k_s,mistral-nemo:12b-instruct-2407-q4_K_S,sizes/12b-instruct-2407-q4_k_s.json
12b-instruct-2407-q5_0,mistral-nemo:12b-instruct-2407-q5_0,sizes/12b-instruct-2407-q5_0.json
12b-instruct-2407-q5_1,mistral-nemo:12b-instruct-2407-q5_1,sizes/12b-instruct-2407-q5_1.json
12b-instruct-2407-q5_k_m,mistral-nemo:12b-instruct-2407-q5_K_M,sizes/12b-instruct-2407-q5_k_m.json
12b-instruct-2407-q5_k_s,mistral-nemo:12b-instruct-2407-q5_K_S,sizes/12b-instruct-2407-q5_k_s.json
12b-instruct-2407-q6_k,mistral-nemo:12b-instruct-2407-q6_K,sizes/12b-instruct-2407-q6_k.json
12b-instruct-2407-q8_0,mistral-nemo:12b-instruct-2407-q8_0,sizes/12b-instruct-2407-q8_0.json
latest,mistral-nemo:latest,sizes/latest.json
