size_slug,ollama_ref,size_file
12b,mistral-nemo:12b,sizes/12b.json
12b-instruct2407-fp16,mistral-nemo:12b-instruct-2407-fp16,sizes/12b-instruct2407-fp16.json
12b-instruct2407-q2-k,mistral-nemo:12b-instruct-2407-q2_K,sizes/12b-instruct2407-q2-k.json
12b-instruct2407-q3-k-l,mistral-nemo:12b-instruct-2407-q3_K_L,sizes/12b-instruct2407-q3-k-l.json
12b-instruct2407-q3-k-m,mistral-nemo:12b-instruct-2407-q3_K_M,sizes/12b-instruct2407-q3-k-m.json
12b-instruct2407-q3-k-s,mistral-nemo:12b-instruct-2407-q3_K_S,sizes/12b-instruct2407-q3-k-s.json
12b-instruct2407-q4-k-m,mistral-nemo:12b-instruct-2407-q4_K_M,sizes/12b-instruct2407-q4-k-m.json
12b-instruct2407-q4-k-s,mistral-nemo:12b-instruct-2407-q4_K_S,sizes/12b-instruct2407-q4-k-s.json
12b-instruct2407-q40,mistral-nemo:12b-instruct-2407-q4_0,sizes/12b-instruct2407-q40.json
12b-instruct2407-q41,mistral-nemo:12b-instruct-2407-q4_1,sizes/12b-instruct2407-q41.json
12b-instruct2407-q5-k-m,mistral-nemo:12b-instruct-2407-q5_K_M,sizes/12b-instruct2407-q5-k-m.json
12b-instruct2407-q5-k-s,mistral-nemo:12b-instruct-2407-q5_K_S,sizes/12b-instruct2407-q5-k-s.json
12b-instruct2407-q50,mistral-nemo:12b-instruct-2407-q5_0,sizes/12b-instruct2407-q50.json
12b-instruct2407-q51,mistral-nemo:12b-instruct-2407-q5_1,sizes/12b-instruct2407-q51.json
12b-instruct2407-q6-k,mistral-nemo:12b-instruct-2407-q6_K,sizes/12b-instruct2407-q6-k.json
12b-instruct2407-q80,mistral-nemo:12b-instruct-2407-q8_0,sizes/12b-instruct2407-q80.json
latest,mistral-nemo:latest,sizes/latest.json
