size_slug,ollama_ref,size_file
24b,mistral-small:24b,sizes/24b.json
24b-instruct2501-fp16,mistral-small:24b-instruct-2501-fp16,sizes/24b-instruct2501-fp16.json
24b-instruct2501-q4-k-m,mistral-small:24b-instruct-2501-q4_K_M,sizes/24b-instruct2501-q4-k-m.json
24b-instruct2501-q80,mistral-small:24b-instruct-2501-q8_0,sizes/24b-instruct2501-q80.json
22b,mistral-small:22b,sizes/22b.json
22b-instruct2409-fp16,mistral-small:22b-instruct-2409-fp16,sizes/22b-instruct2409-fp16.json
22b-instruct2409-q2-k,mistral-small:22b-instruct-2409-q2_K,sizes/22b-instruct2409-q2-k.json
22b-instruct2409-q3-k-l,mistral-small:22b-instruct-2409-q3_K_L,sizes/22b-instruct2409-q3-k-l.json
22b-instruct2409-q3-k-m,mistral-small:22b-instruct-2409-q3_K_M,sizes/22b-instruct2409-q3-k-m.json
22b-instruct2409-q3-k-s,mistral-small:22b-instruct-2409-q3_K_S,sizes/22b-instruct2409-q3-k-s.json
22b-instruct2409-q4-k-m,mistral-small:22b-instruct-2409-q4_K_M,sizes/22b-instruct2409-q4-k-m.json
22b-instruct2409-q4-k-s,mistral-small:22b-instruct-2409-q4_K_S,sizes/22b-instruct2409-q4-k-s.json
22b-instruct2409-q40,mistral-small:22b-instruct-2409-q4_0,sizes/22b-instruct2409-q40.json
22b-instruct2409-q41,mistral-small:22b-instruct-2409-q4_1,sizes/22b-instruct2409-q41.json
22b-instruct2409-q5-k-m,mistral-small:22b-instruct-2409-q5_K_M,sizes/22b-instruct2409-q5-k-m.json
22b-instruct2409-q5-k-s,mistral-small:22b-instruct-2409-q5_K_S,sizes/22b-instruct2409-q5-k-s.json
22b-instruct2409-q50,mistral-small:22b-instruct-2409-q5_0,sizes/22b-instruct2409-q50.json
22b-instruct2409-q51,mistral-small:22b-instruct-2409-q5_1,sizes/22b-instruct2409-q51.json
22b-instruct2409-q6-k,mistral-small:22b-instruct-2409-q6_K,sizes/22b-instruct2409-q6-k.json
22b-instruct2409-q80,mistral-small:22b-instruct-2409-q8_0,sizes/22b-instruct2409-q80.json
latest,mistral-small:latest,sizes/latest.json
