size_slug,size_json_path,ollama_ref
7b,profiles/mistral/sizes/7b.json,mistral:7b
7b-instruct,profiles/mistral/sizes/7b-instruct.json,mistral:7b-instruct
7b-instruct-fp16,profiles/mistral/sizes/7b-instruct-fp16.json,mistral:7b-instruct-fp16
7b-instruct-q2-k,profiles/mistral/sizes/7b-instruct-q2-k.json,mistral:7b-instruct-q2_K
7b-instruct-q3-k-l,profiles/mistral/sizes/7b-instruct-q3-k-l.json,mistral:7b-instruct-q3_K_L
7b-instruct-q3-k-m,profiles/mistral/sizes/7b-instruct-q3-k-m.json,mistral:7b-instruct-q3_K_M
7b-instruct-q3-k-s,profiles/mistral/sizes/7b-instruct-q3-k-s.json,mistral:7b-instruct-q3_K_S
7b-instruct-q4-k-m,profiles/mistral/sizes/7b-instruct-q4-k-m.json,mistral:7b-instruct-q4_K_M
7b-instruct-q4-k-s,profiles/mistral/sizes/7b-instruct-q4-k-s.json,mistral:7b-instruct-q4_K_S
7b-instruct-q40,profiles/mistral/sizes/7b-instruct-q40.json,mistral:7b-instruct-q4_0
7b-instruct-q41,profiles/mistral/sizes/7b-instruct-q41.json,mistral:7b-instruct-q4_1
7b-instruct-q5-k-m,profiles/mistral/sizes/7b-instruct-q5-k-m.json,mistral:7b-instruct-q5_K_M
7b-instruct-q5-k-s,profiles/mistral/sizes/7b-instruct-q5-k-s.json,mistral:7b-instruct-q5_K_S
7b-instruct-q50,profiles/mistral/sizes/7b-instruct-q50.json,mistral:7b-instruct-q5_0
7b-instruct-q51,profiles/mistral/sizes/7b-instruct-q51.json,mistral:7b-instruct-q5_1
7b-instruct-q6-k,profiles/mistral/sizes/7b-instruct-q6-k.json,mistral:7b-instruct-q6_K
7b-instruct-q80,profiles/mistral/sizes/7b-instruct-q80.json,mistral:7b-instruct-q8_0
7b-instruct-v0.2-fp16,profiles/mistral/sizes/7b-instruct-v0.2-fp16.json,mistral:7b-instruct-v0.2-fp16
7b-instruct-v0.2-q2-k,profiles/mistral/sizes/7b-instruct-v0.2-q2-k.json,mistral:7b-instruct-v0.2-q2_K
7b-instruct-v0.2-q3-k-l,profiles/mistral/sizes/7b-instruct-v0.2-q3-k-l.json,mistral:7b-instruct-v0.2-q3_K_L
7b-instruct-v0.2-q3-k-m,profiles/mistral/sizes/7b-instruct-v0.2-q3-k-m.json,mistral:7b-instruct-v0.2-q3_K_M
7b-instruct-v0.2-q3-k-s,profiles/mistral/sizes/7b-instruct-v0.2-q3-k-s.json,mistral:7b-instruct-v0.2-q3_K_S
7b-instruct-v0.2-q4-k-m,profiles/mistral/sizes/7b-instruct-v0.2-q4-k-m.json,mistral:7b-instruct-v0.2-q4_K_M
7b-instruct-v0.2-q4-k-s,profiles/mistral/sizes/7b-instruct-v0.2-q4-k-s.json,mistral:7b-instruct-v0.2-q4_K_S
7b-instruct-v0.2-q40,profiles/mistral/sizes/7b-instruct-v0.2-q40.json,mistral:7b-instruct-v0.2-q4_0
7b-instruct-v0.2-q41,profiles/mistral/sizes/7b-instruct-v0.2-q41.json,mistral:7b-instruct-v0.2-q4_1
7b-instruct-v0.2-q5-k-m,profiles/mistral/sizes/7b-instruct-v0.2-q5-k-m.json,mistral:7b-instruct-v0.2-q5_K_M
7b-instruct-v0.2-q5-k-s,profiles/mistral/sizes/7b-instruct-v0.2-q5-k-s.json,mistral:7b-instruct-v0.2-q5_K_S
7b-instruct-v0.2-q50,profiles/mistral/sizes/7b-instruct-v0.2-q50.json,mistral:7b-instruct-v0.2-q5_0
7b-instruct-v0.2-q51,profiles/mistral/sizes/7b-instruct-v0.2-q51.json,mistral:7b-instruct-v0.2-q5_1
7b-instruct-v0.2-q6-k,profiles/mistral/sizes/7b-instruct-v0.2-q6-k.json,mistral:7b-instruct-v0.2-q6_K
7b-instruct-v0.2-q80,profiles/mistral/sizes/7b-instruct-v0.2-q80.json,mistral:7b-instruct-v0.2-q8_0
7b-instruct-v0.3-fp16,profiles/mistral/sizes/7b-instruct-v0.3-fp16.json,mistral:7b-instruct-v0.3-fp16
7b-instruct-v0.3-q2-k,profiles/mistral/sizes/7b-instruct-v0.3-q2-k.json,mistral:7b-instruct-v0.3-q2_K
7b-instruct-v0.3-q3-k-l,profiles/mistral/sizes/7b-instruct-v0.3-q3-k-l.json,mistral:7b-instruct-v0.3-q3_K_L
7b-instruct-v0.3-q3-k-m,profiles/mistral/sizes/7b-instruct-v0.3-q3-k-m.json,mistral:7b-instruct-v0.3-q3_K_M
7b-instruct-v0.3-q3-k-s,profiles/mistral/sizes/7b-instruct-v0.3-q3-k-s.json,mistral:7b-instruct-v0.3-q3_K_S
7b-instruct-v0.3-q4-k-m,profiles/mistral/sizes/7b-instruct-v0.3-q4-k-m.json,mistral:7b-instruct-v0.3-q4_K_M
7b-instruct-v0.3-q4-k-s,profiles/mistral/sizes/7b-instruct-v0.3-q4-k-s.json,mistral:7b-instruct-v0.3-q4_K_S
7b-instruct-v0.3-q40,profiles/mistral/sizes/7b-instruct-v0.3-q40.json,mistral:7b-instruct-v0.3-q4_0
7b-instruct-v0.3-q41,profiles/mistral/sizes/7b-instruct-v0.3-q41.json,mistral:7b-instruct-v0.3-q4_1
7b-instruct-v0.3-q5-k-m,profiles/mistral/sizes/7b-instruct-v0.3-q5-k-m.json,mistral:7b-instruct-v0.3-q5_K_M
7b-instruct-v0.3-q5-k-s,profiles/mistral/sizes/7b-instruct-v0.3-q5-k-s.json,mistral:7b-instruct-v0.3-q5_K_S
7b-instruct-v0.3-q50,profiles/mistral/sizes/7b-instruct-v0.3-q50.json,mistral:7b-instruct-v0.3-q5_0
7b-instruct-v0.3-q51,profiles/mistral/sizes/7b-instruct-v0.3-q51.json,mistral:7b-instruct-v0.3-q5_1
7b-instruct-v0.3-q6-k,profiles/mistral/sizes/7b-instruct-v0.3-q6-k.json,mistral:7b-instruct-v0.3-q6_K
7b-instruct-v0.3-q80,profiles/mistral/sizes/7b-instruct-v0.3-q80.json,mistral:7b-instruct-v0.3-q8_0
7b-text,profiles/mistral/sizes/7b-text.json,mistral:7b-text
7b-text-fp16,profiles/mistral/sizes/7b-text-fp16.json,mistral:7b-text-fp16
7b-text-q2-k,profiles/mistral/sizes/7b-text-q2-k.json,mistral:7b-text-q2_K
7b-text-q3-k-l,profiles/mistral/sizes/7b-text-q3-k-l.json,mistral:7b-text-q3_K_L
7b-text-q3-k-m,profiles/mistral/sizes/7b-text-q3-k-m.json,mistral:7b-text-q3_K_M
7b-text-q3-k-s,profiles/mistral/sizes/7b-text-q3-k-s.json,mistral:7b-text-q3_K_S
7b-text-q4-k-m,profiles/mistral/sizes/7b-text-q4-k-m.json,mistral:7b-text-q4_K_M
7b-text-q4-k-s,profiles/mistral/sizes/7b-text-q4-k-s.json,mistral:7b-text-q4_K_S
7b-text-q40,profiles/mistral/sizes/7b-text-q40.json,mistral:7b-text-q4_0
