size_slug,ollama_ref,size_file,fit_status
7b,mistrallite:7b,../sizes/7b.json,unknown
7b-v0.1-fp16,mistrallite:7b-v0.1-fp16,../sizes/7b-v0.1-fp16.json,no_fit
7b-v0.1-q2-k,mistrallite:7b-v0.1-q2_K,../sizes/7b-v0.1-q2-k.json,unknown
7b-v0.1-q3-k-l,mistrallite:7b-v0.1-q3_K_L,../sizes/7b-v0.1-q3-k-l.json,unknown
7b-v0.1-q3-k-m,mistrallite:7b-v0.1-q3_K_M,../sizes/7b-v0.1-q3-k-m.json,unknown
7b-v0.1-q3-k-s,mistrallite:7b-v0.1-q3_K_S,../sizes/7b-v0.1-q3-k-s.json,unknown
7b-v0.1-q4-k-m,mistrallite:7b-v0.1-q4_K_M,../sizes/7b-v0.1-q4-k-m.json,unknown
7b-v0.1-q4-k-s,mistrallite:7b-v0.1-q4_K_S,../sizes/7b-v0.1-q4-k-s.json,unknown
7b-v0.1-q40,mistrallite:7b-v0.1-q4_0,../sizes/7b-v0.1-q40.json,unknown
7b-v0.1-q41,mistrallite:7b-v0.1-q4_1,../sizes/7b-v0.1-q41.json,unknown
7b-v0.1-q5-k-m,mistrallite:7b-v0.1-q5_K_M,../sizes/7b-v0.1-q5-k-m.json,unknown
7b-v0.1-q5-k-s,mistrallite:7b-v0.1-q5_K_S,../sizes/7b-v0.1-q5-k-s.json,unknown
7b-v0.1-q50,mistrallite:7b-v0.1-q5_0,../sizes/7b-v0.1-q50.json,unknown
7b-v0.1-q51,mistrallite:7b-v0.1-q5_1,../sizes/7b-v0.1-q51.json,unknown
7b-v0.1-q6-k,mistrallite:7b-v0.1-q6_K,../sizes/7b-v0.1-q6-k.json,no_fit
7b-v0.1-q80,mistrallite:7b-v0.1-q8_0,../sizes/7b-v0.1-q80.json,no_fit
latest,mistrallite:latest,../sizes/latest.json,unknown
