size_slug,size_json_path,ollama_ref
7b,profiles/mistrallite/sizes/7b.json,mistrallite:7b
7b-v0.1-fp16,profiles/mistrallite/sizes/7b-v0.1-fp16.json,mistrallite:7b-v0.1-fp16
7b-v0.1-q2-k,profiles/mistrallite/sizes/7b-v0.1-q2-k.json,mistrallite:7b-v0.1-q2_K
7b-v0.1-q3-k-l,profiles/mistrallite/sizes/7b-v0.1-q3-k-l.json,mistrallite:7b-v0.1-q3_K_L
7b-v0.1-q3-k-m,profiles/mistrallite/sizes/7b-v0.1-q3-k-m.json,mistrallite:7b-v0.1-q3_K_M
7b-v0.1-q3-k-s,profiles/mistrallite/sizes/7b-v0.1-q3-k-s.json,mistrallite:7b-v0.1-q3_K_S
7b-v0.1-q4-k-m,profiles/mistrallite/sizes/7b-v0.1-q4-k-m.json,mistrallite:7b-v0.1-q4_K_M
7b-v0.1-q4-k-s,profiles/mistrallite/sizes/7b-v0.1-q4-k-s.json,mistrallite:7b-v0.1-q4_K_S
7b-v0.1-q40,profiles/mistrallite/sizes/7b-v0.1-q40.json,mistrallite:7b-v0.1-q4_0
7b-v0.1-q41,profiles/mistrallite/sizes/7b-v0.1-q41.json,mistrallite:7b-v0.1-q4_1
7b-v0.1-q5-k-m,profiles/mistrallite/sizes/7b-v0.1-q5-k-m.json,mistrallite:7b-v0.1-q5_K_M
7b-v0.1-q5-k-s,profiles/mistrallite/sizes/7b-v0.1-q5-k-s.json,mistrallite:7b-v0.1-q5_K_S
7b-v0.1-q50,profiles/mistrallite/sizes/7b-v0.1-q50.json,mistrallite:7b-v0.1-q5_0
7b-v0.1-q51,profiles/mistrallite/sizes/7b-v0.1-q51.json,mistrallite:7b-v0.1-q5_1
7b-v0.1-q6-k,profiles/mistrallite/sizes/7b-v0.1-q6-k.json,mistrallite:7b-v0.1-q6_K
7b-v0.1-q80,profiles/mistrallite/sizes/7b-v0.1-q80.json,mistrallite:7b-v0.1-q8_0
latest,profiles/mistrallite/sizes/latest.json,mistrallite:latest
