size_slug,ollama_ref,size_file
1-8b,moondream:1.8b,sizes/1-8b.json
1-8b-v2-fp16,moondream:1.8b-v2-fp16,sizes/1-8b-v2-fp16.json
1-8b-v2-q2_k,moondream:1.8b-v2-q2_K,sizes/1-8b-v2-q2_k.json
1-8b-v2-q3_k_l,moondream:1.8b-v2-q3_K_L,sizes/1-8b-v2-q3_k_l.json
1-8b-v2-q3_k_m,moondream:1.8b-v2-q3_K_M,sizes/1-8b-v2-q3_k_m.json
1-8b-v2-q3_k_s,moondream:1.8b-v2-q3_K_S,sizes/1-8b-v2-q3_k_s.json
1-8b-v2-q4_0,moondream:1.8b-v2-q4_0,sizes/1-8b-v2-q4_0.json
1-8b-v2-q4_1,moondream:1.8b-v2-q4_1,sizes/1-8b-v2-q4_1.json
1-8b-v2-q4_k_m,moondream:1.8b-v2-q4_K_M,sizes/1-8b-v2-q4_k_m.json
1-8b-v2-q4_k_s,moondream:1.8b-v2-q4_K_S,sizes/1-8b-v2-q4_k_s.json
1-8b-v2-q5_0,moondream:1.8b-v2-q5_0,sizes/1-8b-v2-q5_0.json
1-8b-v2-q5_1,moondream:1.8b-v2-q5_1,sizes/1-8b-v2-q5_1.json
1-8b-v2-q5_k_m,moondream:1.8b-v2-q5_K_M,sizes/1-8b-v2-q5_k_m.json
1-8b-v2-q5_k_s,moondream:1.8b-v2-q5_K_S,sizes/1-8b-v2-q5_k_s.json
1-8b-v2-q6_k,moondream:1.8b-v2-q6_K,sizes/1-8b-v2-q6_k.json
1-8b-v2-q8_0,moondream:1.8b-v2-q8_0,sizes/1-8b-v2-q8_0.json
latest,moondream:latest,sizes/latest.json
v2,moondream:v2,sizes/v2.json
