size_slug,ollama_ref,size_file,fit_status
1.8b,moondream:1.8b,../sizes/1.8b.json,fit
1.8b-v2-fp16,moondream:1.8b-v2-fp16,../sizes/1.8b-v2-fp16.json,no_fit
1.8b-v2-q2-k,moondream:1.8b-v2-q2_K,../sizes/1.8b-v2-q2-k.json,fit
1.8b-v2-q3-k-l,moondream:1.8b-v2-q3_K_L,../sizes/1.8b-v2-q3-k-l.json,fit
1.8b-v2-q3-k-m,moondream:1.8b-v2-q3_K_M,../sizes/1.8b-v2-q3-k-m.json,fit
1.8b-v2-q3-k-s,moondream:1.8b-v2-q3_K_S,../sizes/1.8b-v2-q3-k-s.json,fit
1.8b-v2-q4-k-m,moondream:1.8b-v2-q4_K_M,../sizes/1.8b-v2-q4-k-m.json,fit
1.8b-v2-q4-k-s,moondream:1.8b-v2-q4_K_S,../sizes/1.8b-v2-q4-k-s.json,fit
1.8b-v2-q40,moondream:1.8b-v2-q4_0,../sizes/1.8b-v2-q40.json,fit
1.8b-v2-q41,moondream:1.8b-v2-q4_1,../sizes/1.8b-v2-q41.json,fit
1.8b-v2-q5-k-m,moondream:1.8b-v2-q5_K_M,../sizes/1.8b-v2-q5-k-m.json,no_fit
1.8b-v2-q5-k-s,moondream:1.8b-v2-q5_K_S,../sizes/1.8b-v2-q5-k-s.json,fit
1.8b-v2-q50,moondream:1.8b-v2-q5_0,../sizes/1.8b-v2-q50.json,fit
1.8b-v2-q51,moondream:1.8b-v2-q5_1,../sizes/1.8b-v2-q51.json,no_fit
1.8b-v2-q6-k,moondream:1.8b-v2-q6_K,../sizes/1.8b-v2-q6-k.json,no_fit
1.8b-v2-q80,moondream:1.8b-v2-q8_0,../sizes/1.8b-v2-q80.json,no_fit
latest,moondream:latest,../sizes/latest.json,fit
v2,moondream:v2,../sizes/v2.json,fit
