size_slug,ollama_ref,size_file,fit_status
70b,nemotron:70b,../sizes/70b.json,not_listed_in_agents_selection
70b-instruct-fp16,nemotron:70b-instruct-fp16,../sizes/70b-instruct-fp16.json,not_listed_in_agents_selection
70b-instruct-q2_k,nemotron:70b-instruct-q2_K,../sizes/70b-instruct-q2_k.json,not_listed_in_agents_selection
70b-instruct-q3_k_l,nemotron:70b-instruct-q3_K_L,../sizes/70b-instruct-q3_k_l.json,not_listed_in_agents_selection
70b-instruct-q3_k_m,nemotron:70b-instruct-q3_K_M,../sizes/70b-instruct-q3_k_m.json,not_listed_in_agents_selection
70b-instruct-q3_k_s,nemotron:70b-instruct-q3_K_S,../sizes/70b-instruct-q3_k_s.json,not_listed_in_agents_selection
70b-instruct-q4_0,nemotron:70b-instruct-q4_0,../sizes/70b-instruct-q4_0.json,not_listed_in_agents_selection
70b-instruct-q4_1,nemotron:70b-instruct-q4_1,../sizes/70b-instruct-q4_1.json,not_listed_in_agents_selection
70b-instruct-q4_k_m,nemotron:70b-instruct-q4_K_M,../sizes/70b-instruct-q4_k_m.json,not_listed_in_agents_selection
70b-instruct-q4_k_s,nemotron:70b-instruct-q4_K_S,../sizes/70b-instruct-q4_k_s.json,not_listed_in_agents_selection
70b-instruct-q5_0,nemotron:70b-instruct-q5_0,../sizes/70b-instruct-q5_0.json,not_listed_in_agents_selection
70b-instruct-q5_1,nemotron:70b-instruct-q5_1,../sizes/70b-instruct-q5_1.json,not_listed_in_agents_selection
70b-instruct-q5_k_m,nemotron:70b-instruct-q5_K_M,../sizes/70b-instruct-q5_k_m.json,not_listed_in_agents_selection
70b-instruct-q5_k_s,nemotron:70b-instruct-q5_K_S,../sizes/70b-instruct-q5_k_s.json,not_listed_in_agents_selection
70b-instruct-q6_k,nemotron:70b-instruct-q6_K,../sizes/70b-instruct-q6_k.json,not_listed_in_agents_selection
70b-instruct-q8_0,nemotron:70b-instruct-q8_0,../sizes/70b-instruct-q8_0.json,not_listed_in_agents_selection
latest,nemotron:latest,../sizes/latest.json,not_listed_in_agents_selection
