size_slug,ollama_ref,size_file,fit_status
70b,nemotron:70b,../sizes/70b.json,no_fit
70b-instruct-fp16,nemotron:70b-instruct-fp16,../sizes/70b-instruct-fp16.json,no_fit
70b-instruct-q2-k,nemotron:70b-instruct-q2_K,../sizes/70b-instruct-q2-k.json,no_fit
70b-instruct-q3-k-l,nemotron:70b-instruct-q3_K_L,../sizes/70b-instruct-q3-k-l.json,no_fit
70b-instruct-q3-k-m,nemotron:70b-instruct-q3_K_M,../sizes/70b-instruct-q3-k-m.json,no_fit
70b-instruct-q3-k-s,nemotron:70b-instruct-q3_K_S,../sizes/70b-instruct-q3-k-s.json,no_fit
70b-instruct-q4-k-m,nemotron:70b-instruct-q4_K_M,../sizes/70b-instruct-q4-k-m.json,no_fit
70b-instruct-q4-k-s,nemotron:70b-instruct-q4_K_S,../sizes/70b-instruct-q4-k-s.json,no_fit
70b-instruct-q40,nemotron:70b-instruct-q4_0,../sizes/70b-instruct-q40.json,no_fit
70b-instruct-q41,nemotron:70b-instruct-q4_1,../sizes/70b-instruct-q41.json,no_fit
70b-instruct-q5-k-m,nemotron:70b-instruct-q5_K_M,../sizes/70b-instruct-q5-k-m.json,no_fit
70b-instruct-q5-k-s,nemotron:70b-instruct-q5_K_S,../sizes/70b-instruct-q5-k-s.json,no_fit
70b-instruct-q50,nemotron:70b-instruct-q5_0,../sizes/70b-instruct-q50.json,no_fit
70b-instruct-q51,nemotron:70b-instruct-q5_1,../sizes/70b-instruct-q51.json,no_fit
70b-instruct-q6-k,nemotron:70b-instruct-q6_K,../sizes/70b-instruct-q6-k.json,no_fit
70b-instruct-q80,nemotron:70b-instruct-q8_0,../sizes/70b-instruct-q80.json,no_fit
latest,nemotron:latest,../sizes/latest.json,no_fit
