size_slug,ollama_ref,size_file
13b,nexusraven:13b,sizes/13b.json
13b-fp16,nexusraven:13b-fp16,sizes/13b-fp16.json
13b-q2_k,nexusraven:13b-q2_K,sizes/13b-q2_k.json
13b-q3_k_l,nexusraven:13b-q3_K_L,sizes/13b-q3_k_l.json
13b-q3_k_m,nexusraven:13b-q3_K_M,sizes/13b-q3_k_m.json
13b-q3_k_s,nexusraven:13b-q3_K_S,sizes/13b-q3_k_s.json
13b-q4_0,nexusraven:13b-q4_0,sizes/13b-q4_0.json
13b-q4_1,nexusraven:13b-q4_1,sizes/13b-q4_1.json
13b-q4_k_m,nexusraven:13b-q4_K_M,sizes/13b-q4_k_m.json
13b-q4_k_s,nexusraven:13b-q4_K_S,sizes/13b-q4_k_s.json
13b-q5_0,nexusraven:13b-q5_0,sizes/13b-q5_0.json
13b-q5_1,nexusraven:13b-q5_1,sizes/13b-q5_1.json
13b-q5_k_m,nexusraven:13b-q5_K_M,sizes/13b-q5_k_m.json
13b-q5_k_s,nexusraven:13b-q5_K_S,sizes/13b-q5_k_s.json
13b-q6_k,nexusraven:13b-q6_K,sizes/13b-q6_k.json
13b-q8_0,nexusraven:13b-q8_0,sizes/13b-q8_0.json
13b-v2-fp16,nexusraven:13b-v2-fp16,sizes/13b-v2-fp16.json
13b-v2-q2_k,nexusraven:13b-v2-q2_K,sizes/13b-v2-q2_k.json
13b-v2-q3_k_l,nexusraven:13b-v2-q3_K_L,sizes/13b-v2-q3_k_l.json
13b-v2-q3_k_m,nexusraven:13b-v2-q3_K_M,sizes/13b-v2-q3_k_m.json
13b-v2-q3_k_s,nexusraven:13b-v2-q3_K_S,sizes/13b-v2-q3_k_s.json
13b-v2-q4_0,nexusraven:13b-v2-q4_0,sizes/13b-v2-q4_0.json
13b-v2-q4_1,nexusraven:13b-v2-q4_1,sizes/13b-v2-q4_1.json
13b-v2-q4_k_m,nexusraven:13b-v2-q4_K_M,sizes/13b-v2-q4_k_m.json
13b-v2-q4_k_s,nexusraven:13b-v2-q4_K_S,sizes/13b-v2-q4_k_s.json
13b-v2-q5_0,nexusraven:13b-v2-q5_0,sizes/13b-v2-q5_0.json
13b-v2-q5_1,nexusraven:13b-v2-q5_1,sizes/13b-v2-q5_1.json
13b-v2-q5_k_m,nexusraven:13b-v2-q5_K_M,sizes/13b-v2-q5_k_m.json
13b-v2-q5_k_s,nexusraven:13b-v2-q5_K_S,sizes/13b-v2-q5_k_s.json
13b-v2-q6_k,nexusraven:13b-v2-q6_K,sizes/13b-v2-q6_k.json
13b-v2-q8_0,nexusraven:13b-v2-q8_0,sizes/13b-v2-q8_0.json
latest,nexusraven:latest,sizes/latest.json
