size_slug,size_json_path,ollama_ref
7b,profiles/notus/sizes/7b.json,notus:7b
7b-v1,profiles/notus/sizes/7b-v1.json,notus:7b-v1
7b-v1-fp16,profiles/notus/sizes/7b-v1-fp16.json,notus:7b-v1-fp16
7b-v1-q2-k,profiles/notus/sizes/7b-v1-q2-k.json,notus:7b-v1-q2_K
7b-v1-q3-k-l,profiles/notus/sizes/7b-v1-q3-k-l.json,notus:7b-v1-q3_K_L
7b-v1-q3-k-m,profiles/notus/sizes/7b-v1-q3-k-m.json,notus:7b-v1-q3_K_M
7b-v1-q3-k-s,profiles/notus/sizes/7b-v1-q3-k-s.json,notus:7b-v1-q3_K_S
7b-v1-q4-k-m,profiles/notus/sizes/7b-v1-q4-k-m.json,notus:7b-v1-q4_K_M
7b-v1-q4-k-s,profiles/notus/sizes/7b-v1-q4-k-s.json,notus:7b-v1-q4_K_S
7b-v1-q40,profiles/notus/sizes/7b-v1-q40.json,notus:7b-v1-q4_0
7b-v1-q41,profiles/notus/sizes/7b-v1-q41.json,notus:7b-v1-q4_1
7b-v1-q5-k-m,profiles/notus/sizes/7b-v1-q5-k-m.json,notus:7b-v1-q5_K_M
7b-v1-q5-k-s,profiles/notus/sizes/7b-v1-q5-k-s.json,notus:7b-v1-q5_K_S
7b-v1-q50,profiles/notus/sizes/7b-v1-q50.json,notus:7b-v1-q5_0
7b-v1-q51,profiles/notus/sizes/7b-v1-q51.json,notus:7b-v1-q5_1
7b-v1-q6-k,profiles/notus/sizes/7b-v1-q6-k.json,notus:7b-v1-q6_K
7b-v1-q80,profiles/notus/sizes/7b-v1-q80.json,notus:7b-v1-q8_0
latest,profiles/notus/sizes/latest.json,notus:latest
