size_slug,ollama_ref,size_file,fit_status
8x7b,notux:8x7b,../sizes/8x7b.json,listed_in_agents_selection
8x7b-v1,notux:8x7b-v1,../sizes/8x7b-v1.json,not_listed_in_agents_selection
8x7b-v1-fp16,notux:8x7b-v1-fp16,../sizes/8x7b-v1-fp16.json,not_listed_in_agents_selection
8x7b-v1-q2_k,notux:8x7b-v1-q2_K,../sizes/8x7b-v1-q2_k.json,not_listed_in_agents_selection
8x7b-v1-q3_k_l,notux:8x7b-v1-q3_K_L,../sizes/8x7b-v1-q3_k_l.json,not_listed_in_agents_selection
8x7b-v1-q3_k_m,notux:8x7b-v1-q3_K_M,../sizes/8x7b-v1-q3_k_m.json,not_listed_in_agents_selection
8x7b-v1-q3_k_s,notux:8x7b-v1-q3_K_S,../sizes/8x7b-v1-q3_k_s.json,not_listed_in_agents_selection
8x7b-v1-q4_0,notux:8x7b-v1-q4_0,../sizes/8x7b-v1-q4_0.json,not_listed_in_agents_selection
8x7b-v1-q4_1,notux:8x7b-v1-q4_1,../sizes/8x7b-v1-q4_1.json,not_listed_in_agents_selection
8x7b-v1-q4_k_m,notux:8x7b-v1-q4_K_M,../sizes/8x7b-v1-q4_k_m.json,not_listed_in_agents_selection
8x7b-v1-q4_k_s,notux:8x7b-v1-q4_K_S,../sizes/8x7b-v1-q4_k_s.json,not_listed_in_agents_selection
8x7b-v1-q5_0,notux:8x7b-v1-q5_0,../sizes/8x7b-v1-q5_0.json,not_listed_in_agents_selection
8x7b-v1-q5_1,notux:8x7b-v1-q5_1,../sizes/8x7b-v1-q5_1.json,not_listed_in_agents_selection
8x7b-v1-q5_k_m,notux:8x7b-v1-q5_K_M,../sizes/8x7b-v1-q5_k_m.json,not_listed_in_agents_selection
8x7b-v1-q5_k_s,notux:8x7b-v1-q5_K_S,../sizes/8x7b-v1-q5_k_s.json,not_listed_in_agents_selection
8x7b-v1-q6_k,notux:8x7b-v1-q6_K,../sizes/8x7b-v1-q6_k.json,not_listed_in_agents_selection
8x7b-v1-q8_0,notux:8x7b-v1-q8_0,../sizes/8x7b-v1-q8_0.json,not_listed_in_agents_selection
latest,notux:latest,../sizes/latest.json,not_listed_in_agents_selection
