size_slug,size_json_path,ollama_ref
8x7b,profiles/notux/sizes/8x7b.json,notux:8x7b
8x7b-v1,profiles/notux/sizes/8x7b-v1.json,notux:8x7b-v1
8x7b-v1-fp16,profiles/notux/sizes/8x7b-v1-fp16.json,notux:8x7b-v1-fp16
8x7b-v1-q2-k,profiles/notux/sizes/8x7b-v1-q2-k.json,notux:8x7b-v1-q2_K
8x7b-v1-q3-k-l,profiles/notux/sizes/8x7b-v1-q3-k-l.json,notux:8x7b-v1-q3_K_L
8x7b-v1-q3-k-m,profiles/notux/sizes/8x7b-v1-q3-k-m.json,notux:8x7b-v1-q3_K_M
8x7b-v1-q3-k-s,profiles/notux/sizes/8x7b-v1-q3-k-s.json,notux:8x7b-v1-q3_K_S
8x7b-v1-q4-k-m,profiles/notux/sizes/8x7b-v1-q4-k-m.json,notux:8x7b-v1-q4_K_M
8x7b-v1-q4-k-s,profiles/notux/sizes/8x7b-v1-q4-k-s.json,notux:8x7b-v1-q4_K_S
8x7b-v1-q40,profiles/notux/sizes/8x7b-v1-q40.json,notux:8x7b-v1-q4_0
8x7b-v1-q41,profiles/notux/sizes/8x7b-v1-q41.json,notux:8x7b-v1-q4_1
8x7b-v1-q5-k-m,profiles/notux/sizes/8x7b-v1-q5-k-m.json,notux:8x7b-v1-q5_K_M
8x7b-v1-q5-k-s,profiles/notux/sizes/8x7b-v1-q5-k-s.json,notux:8x7b-v1-q5_K_S
8x7b-v1-q50,profiles/notux/sizes/8x7b-v1-q50.json,notux:8x7b-v1-q5_0
8x7b-v1-q51,profiles/notux/sizes/8x7b-v1-q51.json,notux:8x7b-v1-q5_1
8x7b-v1-q6-k,profiles/notux/sizes/8x7b-v1-q6-k.json,notux:8x7b-v1-q6_K
8x7b-v1-q80,profiles/notux/sizes/8x7b-v1-q80.json,notux:8x7b-v1-q8_0
latest,profiles/notux/sizes/latest.json,notux:latest
