size_slug,ollama_ref,size_file
8x7b,notux:8x7b,sizes/8x7b.json
8x7b-v1,notux:8x7b-v1,sizes/8x7b-v1.json
8x7b-v1-fp16,notux:8x7b-v1-fp16,sizes/8x7b-v1-fp16.json
8x7b-v1-q2_k,notux:8x7b-v1-q2_K,sizes/8x7b-v1-q2_k.json
8x7b-v1-q3_k_l,notux:8x7b-v1-q3_K_L,sizes/8x7b-v1-q3_k_l.json
8x7b-v1-q3_k_m,notux:8x7b-v1-q3_K_M,sizes/8x7b-v1-q3_k_m.json
8x7b-v1-q3_k_s,notux:8x7b-v1-q3_K_S,sizes/8x7b-v1-q3_k_s.json
8x7b-v1-q4_0,notux:8x7b-v1-q4_0,sizes/8x7b-v1-q4_0.json
8x7b-v1-q4_1,notux:8x7b-v1-q4_1,sizes/8x7b-v1-q4_1.json
8x7b-v1-q4_k_m,notux:8x7b-v1-q4_K_M,sizes/8x7b-v1-q4_k_m.json
8x7b-v1-q4_k_s,notux:8x7b-v1-q4_K_S,sizes/8x7b-v1-q4_k_s.json
8x7b-v1-q5_0,notux:8x7b-v1-q5_0,sizes/8x7b-v1-q5_0.json
8x7b-v1-q5_1,notux:8x7b-v1-q5_1,sizes/8x7b-v1-q5_1.json
8x7b-v1-q5_k_m,notux:8x7b-v1-q5_K_M,sizes/8x7b-v1-q5_k_m.json
8x7b-v1-q5_k_s,notux:8x7b-v1-q5_K_S,sizes/8x7b-v1-q5_k_s.json
8x7b-v1-q6_k,notux:8x7b-v1-q6_K,sizes/8x7b-v1-q6_k.json
8x7b-v1-q8_0,notux:8x7b-v1-q8_0,sizes/8x7b-v1-q8_0.json
latest,notux:latest,sizes/latest.json
