size_slug,ollama_ref,size_file,fit_status
10-7b,nous-hermes2:10.7b,../sizes/10-7b.json,not_listed_in_agents_selection
10-7b-solar-fp16,nous-hermes2:10.7b-solar-fp16,../sizes/10-7b-solar-fp16.json,not_listed_in_agents_selection
10-7b-solar-q2_k,nous-hermes2:10.7b-solar-q2_K,../sizes/10-7b-solar-q2_k.json,not_listed_in_agents_selection
10-7b-solar-q3_k_l,nous-hermes2:10.7b-solar-q3_K_L,../sizes/10-7b-solar-q3_k_l.json,not_listed_in_agents_selection
10-7b-solar-q3_k_m,nous-hermes2:10.7b-solar-q3_K_M,../sizes/10-7b-solar-q3_k_m.json,not_listed_in_agents_selection
10-7b-solar-q3_k_s,nous-hermes2:10.7b-solar-q3_K_S,../sizes/10-7b-solar-q3_k_s.json,not_listed_in_agents_selection
10-7b-solar-q4_0,nous-hermes2:10.7b-solar-q4_0,../sizes/10-7b-solar-q4_0.json,not_listed_in_agents_selection
10-7b-solar-q4_1,nous-hermes2:10.7b-solar-q4_1,../sizes/10-7b-solar-q4_1.json,not_listed_in_agents_selection
10-7b-solar-q4_k_m,nous-hermes2:10.7b-solar-q4_K_M,../sizes/10-7b-solar-q4_k_m.json,not_listed_in_agents_selection
10-7b-solar-q4_k_s,nous-hermes2:10.7b-solar-q4_K_S,../sizes/10-7b-solar-q4_k_s.json,not_listed_in_agents_selection
10-7b-solar-q5_0,nous-hermes2:10.7b-solar-q5_0,../sizes/10-7b-solar-q5_0.json,not_listed_in_agents_selection
10-7b-solar-q5_1,nous-hermes2:10.7b-solar-q5_1,../sizes/10-7b-solar-q5_1.json,not_listed_in_agents_selection
10-7b-solar-q5_k_m,nous-hermes2:10.7b-solar-q5_K_M,../sizes/10-7b-solar-q5_k_m.json,not_listed_in_agents_selection
10-7b-solar-q5_k_s,nous-hermes2:10.7b-solar-q5_K_S,../sizes/10-7b-solar-q5_k_s.json,not_listed_in_agents_selection
10-7b-solar-q6_k,nous-hermes2:10.7b-solar-q6_K,../sizes/10-7b-solar-q6_k.json,not_listed_in_agents_selection
10-7b-solar-q8_0,nous-hermes2:10.7b-solar-q8_0,../sizes/10-7b-solar-q8_0.json,not_listed_in_agents_selection
latest,nous-hermes2:latest,../sizes/latest.json,not_listed_in_agents_selection
