size_slug,size_json_path,ollama_ref
8x7b,profiles/nous-hermes2-mixtral/sizes/8x7b.json,nous-hermes2-mixtral:8x7b
8x7b-dpo-fp16,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-fp16.json,nous-hermes2-mixtral:8x7b-dpo-fp16
8x7b-dpo-q2-k,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q2-k.json,nous-hermes2-mixtral:8x7b-dpo-q2_K
8x7b-dpo-q3-k-l,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q3-k-l.json,nous-hermes2-mixtral:8x7b-dpo-q3_K_L
8x7b-dpo-q3-k-m,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q3-k-m.json,nous-hermes2-mixtral:8x7b-dpo-q3_K_M
8x7b-dpo-q3-k-s,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q3-k-s.json,nous-hermes2-mixtral:8x7b-dpo-q3_K_S
8x7b-dpo-q4-k-m,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q4-k-m.json,nous-hermes2-mixtral:8x7b-dpo-q4_K_M
8x7b-dpo-q4-k-s,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q4-k-s.json,nous-hermes2-mixtral:8x7b-dpo-q4_K_S
8x7b-dpo-q40,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q40.json,nous-hermes2-mixtral:8x7b-dpo-q4_0
8x7b-dpo-q41,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q41.json,nous-hermes2-mixtral:8x7b-dpo-q4_1
8x7b-dpo-q5-k-m,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q5-k-m.json,nous-hermes2-mixtral:8x7b-dpo-q5_K_M
8x7b-dpo-q5-k-s,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q5-k-s.json,nous-hermes2-mixtral:8x7b-dpo-q5_K_S
8x7b-dpo-q50,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q50.json,nous-hermes2-mixtral:8x7b-dpo-q5_0
8x7b-dpo-q51,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q51.json,nous-hermes2-mixtral:8x7b-dpo-q5_1
8x7b-dpo-q6-k,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q6-k.json,nous-hermes2-mixtral:8x7b-dpo-q6_K
8x7b-dpo-q80,profiles/nous-hermes2-mixtral/sizes/8x7b-dpo-q80.json,nous-hermes2-mixtral:8x7b-dpo-q8_0
dpo,profiles/nous-hermes2-mixtral/sizes/dpo.json,nous-hermes2-mixtral:dpo
latest,profiles/nous-hermes2-mixtral/sizes/latest.json,nous-hermes2-mixtral:latest
