size_slug,ollama_ref,size_file,fit_status
8x7b,nous-hermes2-mixtral:8x7b,../sizes/8x7b.json,no_fit
8x7b-dpo-fp16,nous-hermes2-mixtral:8x7b-dpo-fp16,../sizes/8x7b-dpo-fp16.json,no_fit
8x7b-dpo-q2-k,nous-hermes2-mixtral:8x7b-dpo-q2_K,../sizes/8x7b-dpo-q2-k.json,no_fit
8x7b-dpo-q3-k-l,nous-hermes2-mixtral:8x7b-dpo-q3_K_L,../sizes/8x7b-dpo-q3-k-l.json,no_fit
8x7b-dpo-q3-k-m,nous-hermes2-mixtral:8x7b-dpo-q3_K_M,../sizes/8x7b-dpo-q3-k-m.json,no_fit
8x7b-dpo-q3-k-s,nous-hermes2-mixtral:8x7b-dpo-q3_K_S,../sizes/8x7b-dpo-q3-k-s.json,no_fit
8x7b-dpo-q4-k-m,nous-hermes2-mixtral:8x7b-dpo-q4_K_M,../sizes/8x7b-dpo-q4-k-m.json,no_fit
8x7b-dpo-q4-k-s,nous-hermes2-mixtral:8x7b-dpo-q4_K_S,../sizes/8x7b-dpo-q4-k-s.json,no_fit
8x7b-dpo-q40,nous-hermes2-mixtral:8x7b-dpo-q4_0,../sizes/8x7b-dpo-q40.json,no_fit
8x7b-dpo-q41,nous-hermes2-mixtral:8x7b-dpo-q4_1,../sizes/8x7b-dpo-q41.json,no_fit
8x7b-dpo-q5-k-m,nous-hermes2-mixtral:8x7b-dpo-q5_K_M,../sizes/8x7b-dpo-q5-k-m.json,no_fit
8x7b-dpo-q5-k-s,nous-hermes2-mixtral:8x7b-dpo-q5_K_S,../sizes/8x7b-dpo-q5-k-s.json,no_fit
8x7b-dpo-q50,nous-hermes2-mixtral:8x7b-dpo-q5_0,../sizes/8x7b-dpo-q50.json,no_fit
8x7b-dpo-q51,nous-hermes2-mixtral:8x7b-dpo-q5_1,../sizes/8x7b-dpo-q51.json,no_fit
8x7b-dpo-q6-k,nous-hermes2-mixtral:8x7b-dpo-q6_K,../sizes/8x7b-dpo-q6-k.json,no_fit
8x7b-dpo-q80,nous-hermes2-mixtral:8x7b-dpo-q8_0,../sizes/8x7b-dpo-q80.json,no_fit
dpo,nous-hermes2-mixtral:dpo,../sizes/dpo.json,no_fit
latest,nous-hermes2-mixtral:latest,../sizes/latest.json,no_fit
