size_slug,ollama_ref,size_file,fit_status
8x7b,nous-hermes2-mixtral:8x7b,../sizes/8x7b.json,not_listed_in_agents_selection
8x7b-dpo-fp16,nous-hermes2-mixtral:8x7b-dpo-fp16,../sizes/8x7b-dpo-fp16.json,not_listed_in_agents_selection
8x7b-dpo-q2_k,nous-hermes2-mixtral:8x7b-dpo-q2_K,../sizes/8x7b-dpo-q2_k.json,not_listed_in_agents_selection
8x7b-dpo-q3_k_l,nous-hermes2-mixtral:8x7b-dpo-q3_K_L,../sizes/8x7b-dpo-q3_k_l.json,not_listed_in_agents_selection
8x7b-dpo-q3_k_m,nous-hermes2-mixtral:8x7b-dpo-q3_K_M,../sizes/8x7b-dpo-q3_k_m.json,not_listed_in_agents_selection
8x7b-dpo-q3_k_s,nous-hermes2-mixtral:8x7b-dpo-q3_K_S,../sizes/8x7b-dpo-q3_k_s.json,not_listed_in_agents_selection
8x7b-dpo-q4_0,nous-hermes2-mixtral:8x7b-dpo-q4_0,../sizes/8x7b-dpo-q4_0.json,not_listed_in_agents_selection
8x7b-dpo-q4_1,nous-hermes2-mixtral:8x7b-dpo-q4_1,../sizes/8x7b-dpo-q4_1.json,not_listed_in_agents_selection
8x7b-dpo-q4_k_m,nous-hermes2-mixtral:8x7b-dpo-q4_K_M,../sizes/8x7b-dpo-q4_k_m.json,not_listed_in_agents_selection
8x7b-dpo-q4_k_s,nous-hermes2-mixtral:8x7b-dpo-q4_K_S,../sizes/8x7b-dpo-q4_k_s.json,not_listed_in_agents_selection
8x7b-dpo-q5_0,nous-hermes2-mixtral:8x7b-dpo-q5_0,../sizes/8x7b-dpo-q5_0.json,not_listed_in_agents_selection
8x7b-dpo-q5_1,nous-hermes2-mixtral:8x7b-dpo-q5_1,../sizes/8x7b-dpo-q5_1.json,not_listed_in_agents_selection
8x7b-dpo-q5_k_m,nous-hermes2-mixtral:8x7b-dpo-q5_K_M,../sizes/8x7b-dpo-q5_k_m.json,not_listed_in_agents_selection
8x7b-dpo-q5_k_s,nous-hermes2-mixtral:8x7b-dpo-q5_K_S,../sizes/8x7b-dpo-q5_k_s.json,not_listed_in_agents_selection
8x7b-dpo-q6_k,nous-hermes2-mixtral:8x7b-dpo-q6_K,../sizes/8x7b-dpo-q6_k.json,not_listed_in_agents_selection
8x7b-dpo-q8_0,nous-hermes2-mixtral:8x7b-dpo-q8_0,../sizes/8x7b-dpo-q8_0.json,not_listed_in_agents_selection
dpo,nous-hermes2-mixtral:dpo,../sizes/dpo.json,not_listed_in_agents_selection
latest,nous-hermes2-mixtral:latest,../sizes/latest.json,not_listed_in_agents_selection
