size_slug,ollama_ref,size_file,fit_status
34b,nous-hermes2:34b,../sizes/34b.json,no_fit
34b-yi-fp16,nous-hermes2:34b-yi-fp16,../sizes/34b-yi-fp16.json,no_fit
34b-yi-q2-k,nous-hermes2:34b-yi-q2_K,../sizes/34b-yi-q2-k.json,fit
34b-yi-q3-k-l,nous-hermes2:34b-yi-q3_K_L,../sizes/34b-yi-q3-k-l.json,no_fit
34b-yi-q3-k-m,nous-hermes2:34b-yi-q3_K_M,../sizes/34b-yi-q3-k-m.json,no_fit
34b-yi-q3-k-s,nous-hermes2:34b-yi-q3_K_S,../sizes/34b-yi-q3-k-s.json,fit
34b-yi-q4-k-m,nous-hermes2:34b-yi-q4_K_M,../sizes/34b-yi-q4-k-m.json,no_fit
34b-yi-q4-k-s,nous-hermes2:34b-yi-q4_K_S,../sizes/34b-yi-q4-k-s.json,no_fit
34b-yi-q40,nous-hermes2:34b-yi-q4_0,../sizes/34b-yi-q40.json,no_fit
34b-yi-q41,nous-hermes2:34b-yi-q4_1,../sizes/34b-yi-q41.json,no_fit
34b-yi-q5-k-m,nous-hermes2:34b-yi-q5_K_M,../sizes/34b-yi-q5-k-m.json,no_fit
34b-yi-q5-k-s,nous-hermes2:34b-yi-q5_K_S,../sizes/34b-yi-q5-k-s.json,no_fit
34b-yi-q50,nous-hermes2:34b-yi-q5_0,../sizes/34b-yi-q50.json,no_fit
34b-yi-q51,nous-hermes2:34b-yi-q5_1,../sizes/34b-yi-q51.json,no_fit
34b-yi-q6-k,nous-hermes2:34b-yi-q6_K,../sizes/34b-yi-q6-k.json,no_fit
34b-yi-q80,nous-hermes2:34b-yi-q8_0,../sizes/34b-yi-q80.json,no_fit
10.7b,nous-hermes2:10.7b,../sizes/10.7b.json,fit
10.7b-solar-fp16,nous-hermes2:10.7b-solar-fp16,../sizes/10.7b-solar-fp16.json,no_fit
10.7b-solar-q2-k,nous-hermes2:10.7b-solar-q2_K,../sizes/10.7b-solar-q2-k.json,fit
10.7b-solar-q3-k-l,nous-hermes2:10.7b-solar-q3_K_L,../sizes/10.7b-solar-q3-k-l.json,fit
10.7b-solar-q3-k-m,nous-hermes2:10.7b-solar-q3_K_M,../sizes/10.7b-solar-q3-k-m.json,fit
10.7b-solar-q3-k-s,nous-hermes2:10.7b-solar-q3_K_S,../sizes/10.7b-solar-q3-k-s.json,fit
10.7b-solar-q4-k-m,nous-hermes2:10.7b-solar-q4_K_M,../sizes/10.7b-solar-q4-k-m.json,fit
10.7b-solar-q4-k-s,nous-hermes2:10.7b-solar-q4_K_S,../sizes/10.7b-solar-q4-k-s.json,fit
10.7b-solar-q40,nous-hermes2:10.7b-solar-q4_0,../sizes/10.7b-solar-q40.json,fit
10.7b-solar-q41,nous-hermes2:10.7b-solar-q4_1,../sizes/10.7b-solar-q41.json,fit
10.7b-solar-q5-k-m,nous-hermes2:10.7b-solar-q5_K_M,../sizes/10.7b-solar-q5-k-m.json,fit
10.7b-solar-q5-k-s,nous-hermes2:10.7b-solar-q5_K_S,../sizes/10.7b-solar-q5-k-s.json,fit
10.7b-solar-q50,nous-hermes2:10.7b-solar-q5_0,../sizes/10.7b-solar-q50.json,fit
10.7b-solar-q51,nous-hermes2:10.7b-solar-q5_1,../sizes/10.7b-solar-q51.json,fit
10.7b-solar-q6-k,nous-hermes2:10.7b-solar-q6_K,../sizes/10.7b-solar-q6-k.json,fit
10.7b-solar-q80,nous-hermes2:10.7b-solar-q8_0,../sizes/10.7b-solar-q80.json,fit
latest,nous-hermes2:latest,../sizes/latest.json,fit
