size_slug,ollama_ref,size_file,fit_status
3-8b,nuextract:3.8b,../sizes/3-8b.json,not_listed_in_agents_selection
3-8b-fp16,nuextract:3.8b-fp16,../sizes/3-8b-fp16.json,not_listed_in_agents_selection
3-8b-q2_k,nuextract:3.8b-q2_K,../sizes/3-8b-q2_k.json,not_listed_in_agents_selection
3-8b-q3_k_l,nuextract:3.8b-q3_K_L,../sizes/3-8b-q3_k_l.json,not_listed_in_agents_selection
3-8b-q3_k_m,nuextract:3.8b-q3_K_M,../sizes/3-8b-q3_k_m.json,not_listed_in_agents_selection
3-8b-q3_k_s,nuextract:3.8b-q3_K_S,../sizes/3-8b-q3_k_s.json,not_listed_in_agents_selection
3-8b-q4_0,nuextract:3.8b-q4_0,../sizes/3-8b-q4_0.json,not_listed_in_agents_selection
3-8b-q4_1,nuextract:3.8b-q4_1,../sizes/3-8b-q4_1.json,not_listed_in_agents_selection
3-8b-q4_k_m,nuextract:3.8b-q4_K_M,../sizes/3-8b-q4_k_m.json,not_listed_in_agents_selection
3-8b-q4_k_s,nuextract:3.8b-q4_K_S,../sizes/3-8b-q4_k_s.json,not_listed_in_agents_selection
3-8b-q5_0,nuextract:3.8b-q5_0,../sizes/3-8b-q5_0.json,not_listed_in_agents_selection
3-8b-q5_1,nuextract:3.8b-q5_1,../sizes/3-8b-q5_1.json,not_listed_in_agents_selection
3-8b-q5_k_m,nuextract:3.8b-q5_K_M,../sizes/3-8b-q5_k_m.json,not_listed_in_agents_selection
3-8b-q5_k_s,nuextract:3.8b-q5_K_S,../sizes/3-8b-q5_k_s.json,not_listed_in_agents_selection
3-8b-q6_k,nuextract:3.8b-q6_K,../sizes/3-8b-q6_k.json,not_listed_in_agents_selection
3-8b-q8_0,nuextract:3.8b-q8_0,../sizes/3-8b-q8_0.json,not_listed_in_agents_selection
latest,nuextract:latest,../sizes/latest.json,not_listed_in_agents_selection
