size_slug,ollama_ref,size_file,fit_status
32b,olmo-3.1:32b,../sizes/32b.json,not_listed_in_agents_selection
32b-instruct,olmo-3.1:32b-instruct,../sizes/32b-instruct.json,not_listed_in_agents_selection
32b-instruct-fp16,olmo-3.1:32b-instruct-fp16,../sizes/32b-instruct-fp16.json,not_listed_in_agents_selection
32b-instruct-q4_k_m,olmo-3.1:32b-instruct-q4_K_M,../sizes/32b-instruct-q4_k_m.json,not_listed_in_agents_selection
32b-instruct-q8_0,olmo-3.1:32b-instruct-q8_0,../sizes/32b-instruct-q8_0.json,not_listed_in_agents_selection
32b-think,olmo-3.1:32b-think,../sizes/32b-think.json,not_listed_in_agents_selection
32b-think-fp16,olmo-3.1:32b-think-fp16,../sizes/32b-think-fp16.json,not_listed_in_agents_selection
32b-think-q4_k_m,olmo-3.1:32b-think-q4_K_M,../sizes/32b-think-q4_k_m.json,not_listed_in_agents_selection
32b-think-q8_0,olmo-3.1:32b-think-q8_0,../sizes/32b-think-q8_0.json,not_listed_in_agents_selection
latest,olmo-3.1:latest,../sizes/latest.json,not_listed_in_agents_selection
