size_slug,ollama_ref,size_file,fit_status
13b,open-orca-platypus2:13b,../sizes/13b.json,fit
13b-fp16,open-orca-platypus2:13b-fp16,../sizes/13b-fp16.json,no_fit
13b-q2-k,open-orca-platypus2:13b-q2_K,../sizes/13b-q2-k.json,fit
13b-q3-k-l,open-orca-platypus2:13b-q3_K_L,../sizes/13b-q3-k-l.json,fit
13b-q3-k-m,open-orca-platypus2:13b-q3_K_M,../sizes/13b-q3-k-m.json,fit
13b-q3-k-s,open-orca-platypus2:13b-q3_K_S,../sizes/13b-q3-k-s.json,fit
13b-q4-k-m,open-orca-platypus2:13b-q4_K_M,../sizes/13b-q4-k-m.json,fit
13b-q4-k-s,open-orca-platypus2:13b-q4_K_S,../sizes/13b-q4-k-s.json,fit
13b-q40,open-orca-platypus2:13b-q4_0,../sizes/13b-q40.json,fit
13b-q41,open-orca-platypus2:13b-q4_1,../sizes/13b-q41.json,fit
13b-q5-k-m,open-orca-platypus2:13b-q5_K_M,../sizes/13b-q5-k-m.json,fit
13b-q5-k-s,open-orca-platypus2:13b-q5_K_S,../sizes/13b-q5-k-s.json,fit
13b-q50,open-orca-platypus2:13b-q5_0,../sizes/13b-q50.json,fit
13b-q51,open-orca-platypus2:13b-q5_1,../sizes/13b-q51.json,fit
13b-q6-k,open-orca-platypus2:13b-q6_K,../sizes/13b-q6-k.json,fit
13b-q80,open-orca-platypus2:13b-q8_0,../sizes/13b-q80.json,no_fit
latest,open-orca-platypus2:latest,../sizes/latest.json,fit
