size_slug,size_json_path,ollama_ref
7b,profiles/openchat/sizes/7b.json,openchat:7b
7b-v3.5,profiles/openchat/sizes/7b-v3.5.json,openchat:7b-v3.5
7b-v3.5-fp16,profiles/openchat/sizes/7b-v3.5-fp16.json,openchat:7b-v3.5-fp16
7b-v3.5-q2-k,profiles/openchat/sizes/7b-v3.5-q2-k.json,openchat:7b-v3.5-q2_K
7b-v3.5-q3-k-l,profiles/openchat/sizes/7b-v3.5-q3-k-l.json,openchat:7b-v3.5-q3_K_L
7b-v3.5-q3-k-m,profiles/openchat/sizes/7b-v3.5-q3-k-m.json,openchat:7b-v3.5-q3_K_M
7b-v3.5-q3-k-s,profiles/openchat/sizes/7b-v3.5-q3-k-s.json,openchat:7b-v3.5-q3_K_S
7b-v3.5-q4-k-m,profiles/openchat/sizes/7b-v3.5-q4-k-m.json,openchat:7b-v3.5-q4_K_M
7b-v3.5-q4-k-s,profiles/openchat/sizes/7b-v3.5-q4-k-s.json,openchat:7b-v3.5-q4_K_S
7b-v3.5-q40,profiles/openchat/sizes/7b-v3.5-q40.json,openchat:7b-v3.5-q4_0
7b-v3.5-q41,profiles/openchat/sizes/7b-v3.5-q41.json,openchat:7b-v3.5-q4_1
7b-v3.5-q5-k-m,profiles/openchat/sizes/7b-v3.5-q5-k-m.json,openchat:7b-v3.5-q5_K_M
7b-v3.5-q5-k-s,profiles/openchat/sizes/7b-v3.5-q5-k-s.json,openchat:7b-v3.5-q5_K_S
7b-v3.5-q50,profiles/openchat/sizes/7b-v3.5-q50.json,openchat:7b-v3.5-q5_0
7b-v3.5-q51,profiles/openchat/sizes/7b-v3.5-q51.json,openchat:7b-v3.5-q5_1
7b-v3.5-q6-k,profiles/openchat/sizes/7b-v3.5-q6-k.json,openchat:7b-v3.5-q6_K
7b-v3.5-q80,profiles/openchat/sizes/7b-v3.5-q80.json,openchat:7b-v3.5-q8_0
7b-v3.50106,profiles/openchat/sizes/7b-v3.50106.json,openchat:7b-v3.5-0106
7b-v3.50106-fp16,profiles/openchat/sizes/7b-v3.50106-fp16.json,openchat:7b-v3.5-0106-fp16
7b-v3.50106-q2-k,profiles/openchat/sizes/7b-v3.50106-q2-k.json,openchat:7b-v3.5-0106-q2_K
7b-v3.50106-q3-k-l,profiles/openchat/sizes/7b-v3.50106-q3-k-l.json,openchat:7b-v3.5-0106-q3_K_L
