size_slug,ollama_ref,size_file,fit_status
7b,openchat:7b,../sizes/7b.json,fit
7b-v3.5,openchat:7b-v3.5,../sizes/7b-v3.5.json,fit
7b-v3.5-fp16,openchat:7b-v3.5-fp16,../sizes/7b-v3.5-fp16.json,no_fit
7b-v3.5-q2-k,openchat:7b-v3.5-q2_K,../sizes/7b-v3.5-q2-k.json,fit
7b-v3.5-q3-k-l,openchat:7b-v3.5-q3_K_L,../sizes/7b-v3.5-q3-k-l.json,fit
7b-v3.5-q3-k-m,openchat:7b-v3.5-q3_K_M,../sizes/7b-v3.5-q3-k-m.json,fit
7b-v3.5-q3-k-s,openchat:7b-v3.5-q3_K_S,../sizes/7b-v3.5-q3-k-s.json,fit
7b-v3.5-q4-k-m,openchat:7b-v3.5-q4_K_M,../sizes/7b-v3.5-q4-k-m.json,fit
7b-v3.5-q4-k-s,openchat:7b-v3.5-q4_K_S,../sizes/7b-v3.5-q4-k-s.json,fit
7b-v3.5-q40,openchat:7b-v3.5-q4_0,../sizes/7b-v3.5-q40.json,fit
7b-v3.5-q41,openchat:7b-v3.5-q4_1,../sizes/7b-v3.5-q41.json,no_fit
7b-v3.5-q5-k-m,openchat:7b-v3.5-q5_K_M,../sizes/7b-v3.5-q5-k-m.json,no_fit
7b-v3.5-q5-k-s,openchat:7b-v3.5-q5_K_S,../sizes/7b-v3.5-q5-k-s.json,no_fit
7b-v3.5-q50,openchat:7b-v3.5-q5_0,../sizes/7b-v3.5-q50.json,no_fit
7b-v3.5-q51,openchat:7b-v3.5-q5_1,../sizes/7b-v3.5-q51.json,no_fit
7b-v3.5-q6-k,openchat:7b-v3.5-q6_K,../sizes/7b-v3.5-q6-k.json,no_fit
7b-v3.5-q80,openchat:7b-v3.5-q8_0,../sizes/7b-v3.5-q80.json,no_fit
7b-v3.50106,openchat:7b-v3.5-0106,../sizes/7b-v3.50106.json,fit
7b-v3.50106-fp16,openchat:7b-v3.5-0106-fp16,../sizes/7b-v3.50106-fp16.json,no_fit
7b-v3.50106-q2-k,openchat:7b-v3.5-0106-q2_K,../sizes/7b-v3.50106-q2-k.json,fit
7b-v3.50106-q3-k-l,openchat:7b-v3.5-0106-q3_K_L,../sizes/7b-v3.50106-q3-k-l.json,fit
7b-v3.50106-q3-k-m,openchat:7b-v3.5-0106-q3_K_M,../sizes/7b-v3.50106-q3-k-m.json,fit
7b-v3.50106-q3-k-s,openchat:7b-v3.5-0106-q3_K_S,../sizes/7b-v3.50106-q3-k-s.json,fit
7b-v3.50106-q4-k-m,openchat:7b-v3.5-0106-q4_K_M,../sizes/7b-v3.50106-q4-k-m.json,fit
7b-v3.50106-q4-k-s,openchat:7b-v3.5-0106-q4_K_S,../sizes/7b-v3.50106-q4-k-s.json,fit
7b-v3.50106-q40,openchat:7b-v3.5-0106-q4_0,../sizes/7b-v3.50106-q40.json,fit
7b-v3.50106-q41,openchat:7b-v3.5-0106-q4_1,../sizes/7b-v3.50106-q41.json,no_fit
7b-v3.50106-q5-k-m,openchat:7b-v3.5-0106-q5_K_M,../sizes/7b-v3.50106-q5-k-m.json,no_fit
7b-v3.50106-q5-k-s,openchat:7b-v3.5-0106-q5_K_S,../sizes/7b-v3.50106-q5-k-s.json,no_fit
7b-v3.50106-q50,openchat:7b-v3.5-0106-q5_0,../sizes/7b-v3.50106-q50.json,no_fit
7b-v3.50106-q51,openchat:7b-v3.5-0106-q5_1,../sizes/7b-v3.50106-q51.json,no_fit
7b-v3.50106-q6-k,openchat:7b-v3.5-0106-q6_K,../sizes/7b-v3.50106-q6-k.json,no_fit
7b-v3.50106-q80,openchat:7b-v3.5-0106-q8_0,../sizes/7b-v3.50106-q80.json,no_fit
7b-v3.51210,openchat:7b-v3.5-1210,../sizes/7b-v3.51210.json,fit
7b-v3.51210-fp16,openchat:7b-v3.5-1210-fp16,../sizes/7b-v3.51210-fp16.json,no_fit
7b-v3.51210-q2-k,openchat:7b-v3.5-1210-q2_K,../sizes/7b-v3.51210-q2-k.json,fit
7b-v3.51210-q3-k-l,openchat:7b-v3.5-1210-q3_K_L,../sizes/7b-v3.51210-q3-k-l.json,fit
7b-v3.51210-q3-k-m,openchat:7b-v3.5-1210-q3_K_M,../sizes/7b-v3.51210-q3-k-m.json,fit
7b-v3.51210-q3-k-s,openchat:7b-v3.5-1210-q3_K_S,../sizes/7b-v3.51210-q3-k-s.json,fit
7b-v3.51210-q4-k-m,openchat:7b-v3.5-1210-q4_K_M,../sizes/7b-v3.51210-q4-k-m.json,fit
7b-v3.51210-q4-k-s,openchat:7b-v3.5-1210-q4_K_S,../sizes/7b-v3.51210-q4-k-s.json,fit
7b-v3.51210-q40,openchat:7b-v3.5-1210-q4_0,../sizes/7b-v3.51210-q40.json,fit
7b-v3.51210-q41,openchat:7b-v3.5-1210-q4_1,../sizes/7b-v3.51210-q41.json,no_fit
7b-v3.51210-q5-k-m,openchat:7b-v3.5-1210-q5_K_M,../sizes/7b-v3.51210-q5-k-m.json,no_fit
7b-v3.51210-q5-k-s,openchat:7b-v3.5-1210-q5_K_S,../sizes/7b-v3.51210-q5-k-s.json,no_fit
7b-v3.51210-q50,openchat:7b-v3.5-1210-q5_0,../sizes/7b-v3.51210-q50.json,no_fit
7b-v3.51210-q51,openchat:7b-v3.5-1210-q5_1,../sizes/7b-v3.51210-q51.json,no_fit
7b-v3.51210-q6-k,openchat:7b-v3.5-1210-q6_K,../sizes/7b-v3.51210-q6-k.json,no_fit
7b-v3.51210-q80,openchat:7b-v3.5-1210-q8_0,../sizes/7b-v3.51210-q80.json,no_fit
latest,openchat:latest,../sizes/latest.json,fit
