size_slug,ollama_ref,size_file,fit_status
70b,orca-mini:70b,../sizes/70b.json,no_fit
70b-v3,orca-mini:70b-v3,../sizes/70b-v3.json,no_fit
70b-v3-fp16,orca-mini:70b-v3-fp16,../sizes/70b-v3-fp16.json,no_fit
70b-v3-q2-k,orca-mini:70b-v3-q2_K,../sizes/70b-v3-q2-k.json,no_fit
70b-v3-q3-k-l,orca-mini:70b-v3-q3_K_L,../sizes/70b-v3-q3-k-l.json,no_fit
70b-v3-q3-k-m,orca-mini:70b-v3-q3_K_M,../sizes/70b-v3-q3-k-m.json,no_fit
70b-v3-q3-k-s,orca-mini:70b-v3-q3_K_S,../sizes/70b-v3-q3-k-s.json,no_fit
70b-v3-q4-k-m,orca-mini:70b-v3-q4_K_M,../sizes/70b-v3-q4-k-m.json,no_fit
70b-v3-q4-k-s,orca-mini:70b-v3-q4_K_S,../sizes/70b-v3-q4-k-s.json,no_fit
70b-v3-q40,orca-mini:70b-v3-q4_0,../sizes/70b-v3-q40.json,no_fit
70b-v3-q41,orca-mini:70b-v3-q4_1,../sizes/70b-v3-q41.json,no_fit
70b-v3-q5-k-m,orca-mini:70b-v3-q5_K_M,../sizes/70b-v3-q5-k-m.json,no_fit
70b-v3-q5-k-s,orca-mini:70b-v3-q5_K_S,../sizes/70b-v3-q5-k-s.json,no_fit
70b-v3-q50,orca-mini:70b-v3-q5_0,../sizes/70b-v3-q50.json,no_fit
70b-v3-q51,orca-mini:70b-v3-q5_1,../sizes/70b-v3-q51.json,no_fit
70b-v3-q6-k,orca-mini:70b-v3-q6_K,../sizes/70b-v3-q6-k.json,no_fit
70b-v3-q80,orca-mini:70b-v3-q8_0,../sizes/70b-v3-q80.json,no_fit
13b,orca-mini:13b,../sizes/13b.json,fit
13b-fp16,orca-mini:13b-fp16,../sizes/13b-fp16.json,no_fit
13b-q2-k,orca-mini:13b-q2_K,../sizes/13b-q2-k.json,fit
13b-q3-k-l,orca-mini:13b-q3_K_L,../sizes/13b-q3-k-l.json,fit
13b-q3-k-m,orca-mini:13b-q3_K_M,../sizes/13b-q3-k-m.json,fit
13b-q3-k-s,orca-mini:13b-q3_K_S,../sizes/13b-q3-k-s.json,fit
13b-q4-k-m,orca-mini:13b-q4_K_M,../sizes/13b-q4-k-m.json,fit
13b-q4-k-s,orca-mini:13b-q4_K_S,../sizes/13b-q4-k-s.json,fit
