size_slug,size_json_path,ollama_ref
70b,profiles/orca-mini/sizes/70b.json,orca-mini:70b
70b-v3,profiles/orca-mini/sizes/70b-v3.json,orca-mini:70b-v3
70b-v3-fp16,profiles/orca-mini/sizes/70b-v3-fp16.json,orca-mini:70b-v3-fp16
70b-v3-q2-k,profiles/orca-mini/sizes/70b-v3-q2-k.json,orca-mini:70b-v3-q2_K
70b-v3-q3-k-l,profiles/orca-mini/sizes/70b-v3-q3-k-l.json,orca-mini:70b-v3-q3_K_L
70b-v3-q3-k-m,profiles/orca-mini/sizes/70b-v3-q3-k-m.json,orca-mini:70b-v3-q3_K_M
70b-v3-q3-k-s,profiles/orca-mini/sizes/70b-v3-q3-k-s.json,orca-mini:70b-v3-q3_K_S
70b-v3-q4-k-m,profiles/orca-mini/sizes/70b-v3-q4-k-m.json,orca-mini:70b-v3-q4_K_M
70b-v3-q4-k-s,profiles/orca-mini/sizes/70b-v3-q4-k-s.json,orca-mini:70b-v3-q4_K_S
70b-v3-q40,profiles/orca-mini/sizes/70b-v3-q40.json,orca-mini:70b-v3-q4_0
70b-v3-q41,profiles/orca-mini/sizes/70b-v3-q41.json,orca-mini:70b-v3-q4_1
70b-v3-q5-k-m,profiles/orca-mini/sizes/70b-v3-q5-k-m.json,orca-mini:70b-v3-q5_K_M
70b-v3-q5-k-s,profiles/orca-mini/sizes/70b-v3-q5-k-s.json,orca-mini:70b-v3-q5_K_S
70b-v3-q50,profiles/orca-mini/sizes/70b-v3-q50.json,orca-mini:70b-v3-q5_0
70b-v3-q51,profiles/orca-mini/sizes/70b-v3-q51.json,orca-mini:70b-v3-q5_1
70b-v3-q6-k,profiles/orca-mini/sizes/70b-v3-q6-k.json,orca-mini:70b-v3-q6_K
70b-v3-q80,profiles/orca-mini/sizes/70b-v3-q80.json,orca-mini:70b-v3-q8_0
13b,profiles/orca-mini/sizes/13b.json,orca-mini:13b
13b-fp16,profiles/orca-mini/sizes/13b-fp16.json,orca-mini:13b-fp16
13b-q2-k,profiles/orca-mini/sizes/13b-q2-k.json,orca-mini:13b-q2_K
13b-q3-k-l,profiles/orca-mini/sizes/13b-q3-k-l.json,orca-mini:13b-q3_K_L
13b-q3-k-m,profiles/orca-mini/sizes/13b-q3-k-m.json,orca-mini:13b-q3_K_M
13b-q3-k-s,profiles/orca-mini/sizes/13b-q3-k-s.json,orca-mini:13b-q3_K_S
13b-q4-k-m,profiles/orca-mini/sizes/13b-q4-k-m.json,orca-mini:13b-q4_K_M
13b-q4-k-s,profiles/orca-mini/sizes/13b-q4-k-s.json,orca-mini:13b-q4_K_S
13b-q40,profiles/orca-mini/sizes/13b-q40.json,orca-mini:13b-q4_0
13b-q41,profiles/orca-mini/sizes/13b-q41.json,orca-mini:13b-q4_1
13b-q5-k-m,profiles/orca-mini/sizes/13b-q5-k-m.json,orca-mini:13b-q5_K_M
13b-q5-k-s,profiles/orca-mini/sizes/13b-q5-k-s.json,orca-mini:13b-q5_K_S
13b-q50,profiles/orca-mini/sizes/13b-q50.json,orca-mini:13b-q5_0
13b-q51,profiles/orca-mini/sizes/13b-q51.json,orca-mini:13b-q5_1
13b-q6-k,profiles/orca-mini/sizes/13b-q6-k.json,orca-mini:13b-q6_K
13b-q80,profiles/orca-mini/sizes/13b-q80.json,orca-mini:13b-q8_0
13b-v2-fp16,profiles/orca-mini/sizes/13b-v2-fp16.json,orca-mini:13b-v2-fp16
13b-v2-q2-k,profiles/orca-mini/sizes/13b-v2-q2-k.json,orca-mini:13b-v2-q2_K
13b-v2-q3-k-l,profiles/orca-mini/sizes/13b-v2-q3-k-l.json,orca-mini:13b-v2-q3_K_L
13b-v2-q3-k-m,profiles/orca-mini/sizes/13b-v2-q3-k-m.json,orca-mini:13b-v2-q3_K_M
13b-v2-q3-k-s,profiles/orca-mini/sizes/13b-v2-q3-k-s.json,orca-mini:13b-v2-q3_K_S
13b-v2-q4-k-m,profiles/orca-mini/sizes/13b-v2-q4-k-m.json,orca-mini:13b-v2-q4_K_M
13b-v2-q4-k-s,profiles/orca-mini/sizes/13b-v2-q4-k-s.json,orca-mini:13b-v2-q4_K_S
13b-v2-q40,profiles/orca-mini/sizes/13b-v2-q40.json,orca-mini:13b-v2-q4_0
13b-v2-q41,profiles/orca-mini/sizes/13b-v2-q41.json,orca-mini:13b-v2-q4_1
13b-v2-q5-k-m,profiles/orca-mini/sizes/13b-v2-q5-k-m.json,orca-mini:13b-v2-q5_K_M
13b-v2-q5-k-s,profiles/orca-mini/sizes/13b-v2-q5-k-s.json,orca-mini:13b-v2-q5_K_S
13b-v2-q50,profiles/orca-mini/sizes/13b-v2-q50.json,orca-mini:13b-v2-q5_0
13b-v2-q51,profiles/orca-mini/sizes/13b-v2-q51.json,orca-mini:13b-v2-q5_1
13b-v2-q6-k,profiles/orca-mini/sizes/13b-v2-q6-k.json,orca-mini:13b-v2-q6_K
13b-v2-q80,profiles/orca-mini/sizes/13b-v2-q80.json,orca-mini:13b-v2-q8_0
13b-v3,profiles/orca-mini/sizes/13b-v3.json,orca-mini:13b-v3
13b-v3-fp16,profiles/orca-mini/sizes/13b-v3-fp16.json,orca-mini:13b-v3-fp16
13b-v3-q2-k,profiles/orca-mini/sizes/13b-v3-q2-k.json,orca-mini:13b-v3-q2_K
13b-v3-q3-k-l,profiles/orca-mini/sizes/13b-v3-q3-k-l.json,orca-mini:13b-v3-q3_K_L
13b-v3-q3-k-m,profiles/orca-mini/sizes/13b-v3-q3-k-m.json,orca-mini:13b-v3-q3_K_M
13b-v3-q3-k-s,profiles/orca-mini/sizes/13b-v3-q3-k-s.json,orca-mini:13b-v3-q3_K_S
13b-v3-q4-k-m,profiles/orca-mini/sizes/13b-v3-q4-k-m.json,orca-mini:13b-v3-q4_K_M
13b-v3-q4-k-s,profiles/orca-mini/sizes/13b-v3-q4-k-s.json,orca-mini:13b-v3-q4_K_S
13b-v3-q40,profiles/orca-mini/sizes/13b-v3-q40.json,orca-mini:13b-v3-q4_0
13b-v3-q41,profiles/orca-mini/sizes/13b-v3-q41.json,orca-mini:13b-v3-q4_1
13b-v3-q5-k-m,profiles/orca-mini/sizes/13b-v3-q5-k-m.json,orca-mini:13b-v3-q5_K_M
13b-v3-q5-k-s,profiles/orca-mini/sizes/13b-v3-q5-k-s.json,orca-mini:13b-v3-q5_K_S
13b-v3-q50,profiles/orca-mini/sizes/13b-v3-q50.json,orca-mini:13b-v3-q5_0
13b-v3-q51,profiles/orca-mini/sizes/13b-v3-q51.json,orca-mini:13b-v3-q5_1
13b-v3-q6-k,profiles/orca-mini/sizes/13b-v3-q6-k.json,orca-mini:13b-v3-q6_K
13b-v3-q80,profiles/orca-mini/sizes/13b-v3-q80.json,orca-mini:13b-v3-q8_0
7b,profiles/orca-mini/sizes/7b.json,orca-mini:7b
7b-fp16,profiles/orca-mini/sizes/7b-fp16.json,orca-mini:7b-fp16
7b-q2-k,profiles/orca-mini/sizes/7b-q2-k.json,orca-mini:7b-q2_K
7b-q3-k-l,profiles/orca-mini/sizes/7b-q3-k-l.json,orca-mini:7b-q3_K_L
7b-q3-k-m,profiles/orca-mini/sizes/7b-q3-k-m.json,orca-mini:7b-q3_K_M
7b-q3-k-s,profiles/orca-mini/sizes/7b-q3-k-s.json,orca-mini:7b-q3_K_S
7b-q4-k-m,profiles/orca-mini/sizes/7b-q4-k-m.json,orca-mini:7b-q4_K_M
7b-q4-k-s,profiles/orca-mini/sizes/7b-q4-k-s.json,orca-mini:7b-q4_K_S
7b-q40,profiles/orca-mini/sizes/7b-q40.json,orca-mini:7b-q4_0
7b-q41,profiles/orca-mini/sizes/7b-q41.json,orca-mini:7b-q4_1
7b-q5-k-m,profiles/orca-mini/sizes/7b-q5-k-m.json,orca-mini:7b-q5_K_M
7b-q5-k-s,profiles/orca-mini/sizes/7b-q5-k-s.json,orca-mini:7b-q5_K_S
7b-q50,profiles/orca-mini/sizes/7b-q50.json,orca-mini:7b-q5_0
7b-q51,profiles/orca-mini/sizes/7b-q51.json,orca-mini:7b-q5_1
7b-q6-k,profiles/orca-mini/sizes/7b-q6-k.json,orca-mini:7b-q6_K
7b-q80,profiles/orca-mini/sizes/7b-q80.json,orca-mini:7b-q8_0
7b-v2-fp16,profiles/orca-mini/sizes/7b-v2-fp16.json,orca-mini:7b-v2-fp16
7b-v2-q2-k,profiles/orca-mini/sizes/7b-v2-q2-k.json,orca-mini:7b-v2-q2_K
7b-v2-q3-k-l,profiles/orca-mini/sizes/7b-v2-q3-k-l.json,orca-mini:7b-v2-q3_K_L
7b-v2-q3-k-m,profiles/orca-mini/sizes/7b-v2-q3-k-m.json,orca-mini:7b-v2-q3_K_M
7b-v2-q3-k-s,profiles/orca-mini/sizes/7b-v2-q3-k-s.json,orca-mini:7b-v2-q3_K_S
7b-v2-q4-k-m,profiles/orca-mini/sizes/7b-v2-q4-k-m.json,orca-mini:7b-v2-q4_K_M
7b-v2-q4-k-s,profiles/orca-mini/sizes/7b-v2-q4-k-s.json,orca-mini:7b-v2-q4_K_S
7b-v2-q40,profiles/orca-mini/sizes/7b-v2-q40.json,orca-mini:7b-v2-q4_0
7b-v2-q41,profiles/orca-mini/sizes/7b-v2-q41.json,orca-mini:7b-v2-q4_1
7b-v2-q5-k-m,profiles/orca-mini/sizes/7b-v2-q5-k-m.json,orca-mini:7b-v2-q5_K_M
7b-v2-q5-k-s,profiles/orca-mini/sizes/7b-v2-q5-k-s.json,orca-mini:7b-v2-q5_K_S
7b-v2-q50,profiles/orca-mini/sizes/7b-v2-q50.json,orca-mini:7b-v2-q5_0
7b-v2-q51,profiles/orca-mini/sizes/7b-v2-q51.json,orca-mini:7b-v2-q5_1
7b-v2-q6-k,profiles/orca-mini/sizes/7b-v2-q6-k.json,orca-mini:7b-v2-q6_K
7b-v2-q80,profiles/orca-mini/sizes/7b-v2-q80.json,orca-mini:7b-v2-q8_0
7b-v3,profiles/orca-mini/sizes/7b-v3.json,orca-mini:7b-v3
7b-v3-fp16,profiles/orca-mini/sizes/7b-v3-fp16.json,orca-mini:7b-v3-fp16
7b-v3-q2-k,profiles/orca-mini/sizes/7b-v3-q2-k.json,orca-mini:7b-v3-q2_K
7b-v3-q3-k-l,profiles/orca-mini/sizes/7b-v3-q3-k-l.json,orca-mini:7b-v3-q3_K_L
7b-v3-q3-k-m,profiles/orca-mini/sizes/7b-v3-q3-k-m.json,orca-mini:7b-v3-q3_K_M
7b-v3-q3-k-s,profiles/orca-mini/sizes/7b-v3-q3-k-s.json,orca-mini:7b-v3-q3_K_S
7b-v3-q4-k-m,profiles/orca-mini/sizes/7b-v3-q4-k-m.json,orca-mini:7b-v3-q4_K_M
7b-v3-q4-k-s,profiles/orca-mini/sizes/7b-v3-q4-k-s.json,orca-mini:7b-v3-q4_K_S
7b-v3-q40,profiles/orca-mini/sizes/7b-v3-q40.json,orca-mini:7b-v3-q4_0
7b-v3-q41,profiles/orca-mini/sizes/7b-v3-q41.json,orca-mini:7b-v3-q4_1
7b-v3-q5-k-m,profiles/orca-mini/sizes/7b-v3-q5-k-m.json,orca-mini:7b-v3-q5_K_M
7b-v3-q5-k-s,profiles/orca-mini/sizes/7b-v3-q5-k-s.json,orca-mini:7b-v3-q5_K_S
7b-v3-q50,profiles/orca-mini/sizes/7b-v3-q50.json,orca-mini:7b-v3-q5_0
7b-v3-q51,profiles/orca-mini/sizes/7b-v3-q51.json,orca-mini:7b-v3-q5_1
7b-v3-q6-k,profiles/orca-mini/sizes/7b-v3-q6-k.json,orca-mini:7b-v3-q6_K
7b-v3-q80,profiles/orca-mini/sizes/7b-v3-q80.json,orca-mini:7b-v3-q8_0
3b,profiles/orca-mini/sizes/3b.json,orca-mini:3b
3b-fp16,profiles/orca-mini/sizes/3b-fp16.json,orca-mini:3b-fp16
3b-q40,profiles/orca-mini/sizes/3b-q40.json,orca-mini:3b-q4_0
3b-q41,profiles/orca-mini/sizes/3b-q41.json,orca-mini:3b-q4_1
3b-q50,profiles/orca-mini/sizes/3b-q50.json,orca-mini:3b-q5_0
3b-q51,profiles/orca-mini/sizes/3b-q51.json,orca-mini:3b-q5_1
3b-q80,profiles/orca-mini/sizes/3b-q80.json,orca-mini:3b-q8_0
latest,profiles/orca-mini/sizes/latest.json,orca-mini:latest
