size_slug,size_json_path,ollama_ref
13b,profiles/orca2/sizes/13b.json,orca2:13b
13b-fp16,profiles/orca2/sizes/13b-fp16.json,orca2:13b-fp16
13b-q2-k,profiles/orca2/sizes/13b-q2-k.json,orca2:13b-q2_K
13b-q3-k-l,profiles/orca2/sizes/13b-q3-k-l.json,orca2:13b-q3_K_L
13b-q3-k-m,profiles/orca2/sizes/13b-q3-k-m.json,orca2:13b-q3_K_M
13b-q3-k-s,profiles/orca2/sizes/13b-q3-k-s.json,orca2:13b-q3_K_S
13b-q4-k-m,profiles/orca2/sizes/13b-q4-k-m.json,orca2:13b-q4_K_M
13b-q4-k-s,profiles/orca2/sizes/13b-q4-k-s.json,orca2:13b-q4_K_S
13b-q40,profiles/orca2/sizes/13b-q40.json,orca2:13b-q4_0
13b-q41,profiles/orca2/sizes/13b-q41.json,orca2:13b-q4_1
13b-q5-k-m,profiles/orca2/sizes/13b-q5-k-m.json,orca2:13b-q5_K_M
13b-q5-k-s,profiles/orca2/sizes/13b-q5-k-s.json,orca2:13b-q5_K_S
13b-q50,profiles/orca2/sizes/13b-q50.json,orca2:13b-q5_0
13b-q51,profiles/orca2/sizes/13b-q51.json,orca2:13b-q5_1
13b-q6-k,profiles/orca2/sizes/13b-q6-k.json,orca2:13b-q6_K
13b-q80,profiles/orca2/sizes/13b-q80.json,orca2:13b-q8_0
7b,profiles/orca2/sizes/7b.json,orca2:7b
7b-fp16,profiles/orca2/sizes/7b-fp16.json,orca2:7b-fp16
7b-q2-k,profiles/orca2/sizes/7b-q2-k.json,orca2:7b-q2_K
7b-q3-k-l,profiles/orca2/sizes/7b-q3-k-l.json,orca2:7b-q3_K_L
7b-q3-k-m,profiles/orca2/sizes/7b-q3-k-m.json,orca2:7b-q3_K_M
7b-q3-k-s,profiles/orca2/sizes/7b-q3-k-s.json,orca2:7b-q3_K_S
7b-q4-k-m,profiles/orca2/sizes/7b-q4-k-m.json,orca2:7b-q4_K_M
7b-q4-k-s,profiles/orca2/sizes/7b-q4-k-s.json,orca2:7b-q4_K_S
7b-q40,profiles/orca2/sizes/7b-q40.json,orca2:7b-q4_0
7b-q41,profiles/orca2/sizes/7b-q41.json,orca2:7b-q4_1
7b-q5-k-m,profiles/orca2/sizes/7b-q5-k-m.json,orca2:7b-q5_K_M
7b-q5-k-s,profiles/orca2/sizes/7b-q5-k-s.json,orca2:7b-q5_K_S
7b-q50,profiles/orca2/sizes/7b-q50.json,orca2:7b-q5_0
7b-q51,profiles/orca2/sizes/7b-q51.json,orca2:7b-q5_1
7b-q6-k,profiles/orca2/sizes/7b-q6-k.json,orca2:7b-q6_K
7b-q80,profiles/orca2/sizes/7b-q80.json,orca2:7b-q8_0
latest,profiles/orca2/sizes/latest.json,orca2:latest
