size_slug,ollama_ref,size_file,fit_status
13b,orca2:13b,../sizes/13b.json,no_fit
13b-fp16,orca2:13b-fp16,../sizes/13b-fp16.json,no_fit
13b-q2-k,orca2:13b-q2_K,../sizes/13b-q2-k.json,no_fit
13b-q3-k-l,orca2:13b-q3_K_L,../sizes/13b-q3-k-l.json,no_fit
13b-q3-k-m,orca2:13b-q3_K_M,../sizes/13b-q3-k-m.json,no_fit
13b-q3-k-s,orca2:13b-q3_K_S,../sizes/13b-q3-k-s.json,no_fit
13b-q4-k-m,orca2:13b-q4_K_M,../sizes/13b-q4-k-m.json,no_fit
13b-q4-k-s,orca2:13b-q4_K_S,../sizes/13b-q4-k-s.json,no_fit
13b-q40,orca2:13b-q4_0,../sizes/13b-q40.json,no_fit
13b-q41,orca2:13b-q4_1,../sizes/13b-q41.json,no_fit
13b-q5-k-m,orca2:13b-q5_K_M,../sizes/13b-q5-k-m.json,no_fit
13b-q5-k-s,orca2:13b-q5_K_S,../sizes/13b-q5-k-s.json,no_fit
13b-q50,orca2:13b-q5_0,../sizes/13b-q50.json,no_fit
13b-q51,orca2:13b-q5_1,../sizes/13b-q51.json,no_fit
13b-q6-k,orca2:13b-q6_K,../sizes/13b-q6-k.json,no_fit
13b-q80,orca2:13b-q8_0,../sizes/13b-q80.json,no_fit
7b,orca2:7b,../sizes/7b.json,fit
7b-fp16,orca2:7b-fp16,../sizes/7b-fp16.json,no_fit
7b-q2-k,orca2:7b-q2_K,../sizes/7b-q2-k.json,fit
7b-q3-k-l,orca2:7b-q3_K_L,../sizes/7b-q3-k-l.json,fit
7b-q3-k-m,orca2:7b-q3_K_M,../sizes/7b-q3-k-m.json,fit
7b-q3-k-s,orca2:7b-q3_K_S,../sizes/7b-q3-k-s.json,fit
7b-q4-k-m,orca2:7b-q4_K_M,../sizes/7b-q4-k-m.json,fit
7b-q4-k-s,orca2:7b-q4_K_S,../sizes/7b-q4-k-s.json,fit
7b-q40,orca2:7b-q4_0,../sizes/7b-q40.json,fit
7b-q41,orca2:7b-q4_1,../sizes/7b-q41.json,fit
7b-q5-k-m,orca2:7b-q5_K_M,../sizes/7b-q5-k-m.json,no_fit
7b-q5-k-s,orca2:7b-q5_K_S,../sizes/7b-q5-k-s.json,no_fit
7b-q50,orca2:7b-q5_0,../sizes/7b-q50.json,no_fit
7b-q51,orca2:7b-q5_1,../sizes/7b-q51.json,no_fit
7b-q6-k,orca2:7b-q6_K,../sizes/7b-q6-k.json,no_fit
7b-q80,orca2:7b-q8_0,../sizes/7b-q80.json,no_fit
latest,orca2:latest,../sizes/latest.json,fit
