size_slug,ollama_ref,size_file
2.7b,phi:2.7b,sizes/2.7b.json
2.7b-chat-v2-fp16,phi:2.7b-chat-v2-fp16,sizes/2.7b-chat-v2-fp16.json
2.7b-chat-v2-q2-k,phi:2.7b-chat-v2-q2_K,sizes/2.7b-chat-v2-q2-k.json
2.7b-chat-v2-q3-k-l,phi:2.7b-chat-v2-q3_K_L,sizes/2.7b-chat-v2-q3-k-l.json
2.7b-chat-v2-q3-k-m,phi:2.7b-chat-v2-q3_K_M,sizes/2.7b-chat-v2-q3-k-m.json
2.7b-chat-v2-q3-k-s,phi:2.7b-chat-v2-q3_K_S,sizes/2.7b-chat-v2-q3-k-s.json
2.7b-chat-v2-q4-k-m,phi:2.7b-chat-v2-q4_K_M,sizes/2.7b-chat-v2-q4-k-m.json
2.7b-chat-v2-q4-k-s,phi:2.7b-chat-v2-q4_K_S,sizes/2.7b-chat-v2-q4-k-s.json
2.7b-chat-v2-q40,phi:2.7b-chat-v2-q4_0,sizes/2.7b-chat-v2-q40.json
2.7b-chat-v2-q41,phi:2.7b-chat-v2-q4_1,sizes/2.7b-chat-v2-q41.json
2.7b-chat-v2-q5-k-m,phi:2.7b-chat-v2-q5_K_M,sizes/2.7b-chat-v2-q5-k-m.json
2.7b-chat-v2-q5-k-s,phi:2.7b-chat-v2-q5_K_S,sizes/2.7b-chat-v2-q5-k-s.json
2.7b-chat-v2-q50,phi:2.7b-chat-v2-q5_0,sizes/2.7b-chat-v2-q50.json
2.7b-chat-v2-q51,phi:2.7b-chat-v2-q5_1,sizes/2.7b-chat-v2-q51.json
2.7b-chat-v2-q6-k,phi:2.7b-chat-v2-q6_K,sizes/2.7b-chat-v2-q6-k.json
2.7b-chat-v2-q80,phi:2.7b-chat-v2-q8_0,sizes/2.7b-chat-v2-q80.json
chat,phi:chat,sizes/chat.json
latest,phi:latest,sizes/latest.json
