size_slug,ollama_ref,size_file,fit_status
14b,phi3:14b,../sizes/14b.json,not_listed_in_agents_selection
14b-instruct,phi3:14b-instruct,../sizes/14b-instruct.json,not_listed_in_agents_selection
14b-medium-128k-instruct-fp16,phi3:14b-medium-128k-instruct-fp16,../sizes/14b-medium-128k-instruct-fp16.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q2_k,phi3:14b-medium-128k-instruct-q2_K,../sizes/14b-medium-128k-instruct-q2_k.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q3_k_l,phi3:14b-medium-128k-instruct-q3_K_L,../sizes/14b-medium-128k-instruct-q3_k_l.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q3_k_m,phi3:14b-medium-128k-instruct-q3_K_M,../sizes/14b-medium-128k-instruct-q3_k_m.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q3_k_s,phi3:14b-medium-128k-instruct-q3_K_S,../sizes/14b-medium-128k-instruct-q3_k_s.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q4_0,phi3:14b-medium-128k-instruct-q4_0,../sizes/14b-medium-128k-instruct-q4_0.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q4_1,phi3:14b-medium-128k-instruct-q4_1,../sizes/14b-medium-128k-instruct-q4_1.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q4_k_m,phi3:14b-medium-128k-instruct-q4_K_M,../sizes/14b-medium-128k-instruct-q4_k_m.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q4_k_s,phi3:14b-medium-128k-instruct-q4_K_S,../sizes/14b-medium-128k-instruct-q4_k_s.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q5_0,phi3:14b-medium-128k-instruct-q5_0,../sizes/14b-medium-128k-instruct-q5_0.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q5_1,phi3:14b-medium-128k-instruct-q5_1,../sizes/14b-medium-128k-instruct-q5_1.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q5_k_m,phi3:14b-medium-128k-instruct-q5_K_M,../sizes/14b-medium-128k-instruct-q5_k_m.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q5_k_s,phi3:14b-medium-128k-instruct-q5_K_S,../sizes/14b-medium-128k-instruct-q5_k_s.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q6_k,phi3:14b-medium-128k-instruct-q6_K,../sizes/14b-medium-128k-instruct-q6_k.json,not_listed_in_agents_selection
14b-medium-128k-instruct-q8_0,phi3:14b-medium-128k-instruct-q8_0,../sizes/14b-medium-128k-instruct-q8_0.json,not_listed_in_agents_selection
14b-medium-4k-instruct-fp16,phi3:14b-medium-4k-instruct-fp16,../sizes/14b-medium-4k-instruct-fp16.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q2_k,phi3:14b-medium-4k-instruct-q2_K,../sizes/14b-medium-4k-instruct-q2_k.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q3_k_l,phi3:14b-medium-4k-instruct-q3_K_L,../sizes/14b-medium-4k-instruct-q3_k_l.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q3_k_m,phi3:14b-medium-4k-instruct-q3_K_M,../sizes/14b-medium-4k-instruct-q3_k_m.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q3_k_s,phi3:14b-medium-4k-instruct-q3_K_S,../sizes/14b-medium-4k-instruct-q3_k_s.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q4_0,phi3:14b-medium-4k-instruct-q4_0,../sizes/14b-medium-4k-instruct-q4_0.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q4_1,phi3:14b-medium-4k-instruct-q4_1,../sizes/14b-medium-4k-instruct-q4_1.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q4_k_m,phi3:14b-medium-4k-instruct-q4_K_M,../sizes/14b-medium-4k-instruct-q4_k_m.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q4_k_s,phi3:14b-medium-4k-instruct-q4_K_S,../sizes/14b-medium-4k-instruct-q4_k_s.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q5_0,phi3:14b-medium-4k-instruct-q5_0,../sizes/14b-medium-4k-instruct-q5_0.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q5_1,phi3:14b-medium-4k-instruct-q5_1,../sizes/14b-medium-4k-instruct-q5_1.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q5_k_m,phi3:14b-medium-4k-instruct-q5_K_M,../sizes/14b-medium-4k-instruct-q5_k_m.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q5_k_s,phi3:14b-medium-4k-instruct-q5_K_S,../sizes/14b-medium-4k-instruct-q5_k_s.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q6_k,phi3:14b-medium-4k-instruct-q6_K,../sizes/14b-medium-4k-instruct-q6_k.json,not_listed_in_agents_selection
14b-medium-4k-instruct-q8_0,phi3:14b-medium-4k-instruct-q8_0,../sizes/14b-medium-4k-instruct-q8_0.json,not_listed_in_agents_selection
medium,phi3:medium,../sizes/medium.json,not_listed_in_agents_selection
medium-128k,phi3:medium-128k,../sizes/medium-128k.json,not_listed_in_agents_selection
medium-4k,phi3:medium-4k,../sizes/medium-4k.json,not_listed_in_agents_selection
