size_slug,ollama_ref,size_file
3-8b,phi3.5:3.8b,sizes/3-8b.json
3-8b-mini-instruct-fp16,phi3.5:3.8b-mini-instruct-fp16,sizes/3-8b-mini-instruct-fp16.json
3-8b-mini-instruct-q2_k,phi3.5:3.8b-mini-instruct-q2_K,sizes/3-8b-mini-instruct-q2_k.json
3-8b-mini-instruct-q3_k_l,phi3.5:3.8b-mini-instruct-q3_K_L,sizes/3-8b-mini-instruct-q3_k_l.json
3-8b-mini-instruct-q3_k_m,phi3.5:3.8b-mini-instruct-q3_K_M,sizes/3-8b-mini-instruct-q3_k_m.json
3-8b-mini-instruct-q3_k_s,phi3.5:3.8b-mini-instruct-q3_K_S,sizes/3-8b-mini-instruct-q3_k_s.json
3-8b-mini-instruct-q4_0,phi3.5:3.8b-mini-instruct-q4_0,sizes/3-8b-mini-instruct-q4_0.json
3-8b-mini-instruct-q4_1,phi3.5:3.8b-mini-instruct-q4_1,sizes/3-8b-mini-instruct-q4_1.json
3-8b-mini-instruct-q4_k_m,phi3.5:3.8b-mini-instruct-q4_K_M,sizes/3-8b-mini-instruct-q4_k_m.json
3-8b-mini-instruct-q4_k_s,phi3.5:3.8b-mini-instruct-q4_K_S,sizes/3-8b-mini-instruct-q4_k_s.json
3-8b-mini-instruct-q5_0,phi3.5:3.8b-mini-instruct-q5_0,sizes/3-8b-mini-instruct-q5_0.json
3-8b-mini-instruct-q5_1,phi3.5:3.8b-mini-instruct-q5_1,sizes/3-8b-mini-instruct-q5_1.json
3-8b-mini-instruct-q5_k_m,phi3.5:3.8b-mini-instruct-q5_K_M,sizes/3-8b-mini-instruct-q5_k_m.json
3-8b-mini-instruct-q5_k_s,phi3.5:3.8b-mini-instruct-q5_K_S,sizes/3-8b-mini-instruct-q5_k_s.json
3-8b-mini-instruct-q6_k,phi3.5:3.8b-mini-instruct-q6_K,sizes/3-8b-mini-instruct-q6_k.json
3-8b-mini-instruct-q8_0,phi3.5:3.8b-mini-instruct-q8_0,sizes/3-8b-mini-instruct-q8_0.json
latest,phi3.5:latest,sizes/latest.json
