size_slug,size_json_path,ollama_ref
3.8b,profiles/phi3.5/sizes/3.8b.json,phi3.5:3.8b
3.8b-mini-instruct-fp16,profiles/phi3.5/sizes/3.8b-mini-instruct-fp16.json,phi3.5:3.8b-mini-instruct-fp16
3.8b-mini-instruct-q2-k,profiles/phi3.5/sizes/3.8b-mini-instruct-q2-k.json,phi3.5:3.8b-mini-instruct-q2_K
3.8b-mini-instruct-q3-k-l,profiles/phi3.5/sizes/3.8b-mini-instruct-q3-k-l.json,phi3.5:3.8b-mini-instruct-q3_K_L
3.8b-mini-instruct-q3-k-m,profiles/phi3.5/sizes/3.8b-mini-instruct-q3-k-m.json,phi3.5:3.8b-mini-instruct-q3_K_M
3.8b-mini-instruct-q3-k-s,profiles/phi3.5/sizes/3.8b-mini-instruct-q3-k-s.json,phi3.5:3.8b-mini-instruct-q3_K_S
3.8b-mini-instruct-q4-k-m,profiles/phi3.5/sizes/3.8b-mini-instruct-q4-k-m.json,phi3.5:3.8b-mini-instruct-q4_K_M
3.8b-mini-instruct-q4-k-s,profiles/phi3.5/sizes/3.8b-mini-instruct-q4-k-s.json,phi3.5:3.8b-mini-instruct-q4_K_S
3.8b-mini-instruct-q40,profiles/phi3.5/sizes/3.8b-mini-instruct-q40.json,phi3.5:3.8b-mini-instruct-q4_0
3.8b-mini-instruct-q41,profiles/phi3.5/sizes/3.8b-mini-instruct-q41.json,phi3.5:3.8b-mini-instruct-q4_1
3.8b-mini-instruct-q5-k-m,profiles/phi3.5/sizes/3.8b-mini-instruct-q5-k-m.json,phi3.5:3.8b-mini-instruct-q5_K_M
3.8b-mini-instruct-q5-k-s,profiles/phi3.5/sizes/3.8b-mini-instruct-q5-k-s.json,phi3.5:3.8b-mini-instruct-q5_K_S
3.8b-mini-instruct-q50,profiles/phi3.5/sizes/3.8b-mini-instruct-q50.json,phi3.5:3.8b-mini-instruct-q5_0
3.8b-mini-instruct-q51,profiles/phi3.5/sizes/3.8b-mini-instruct-q51.json,phi3.5:3.8b-mini-instruct-q5_1
3.8b-mini-instruct-q6-k,profiles/phi3.5/sizes/3.8b-mini-instruct-q6-k.json,phi3.5:3.8b-mini-instruct-q6_K
3.8b-mini-instruct-q80,profiles/phi3.5/sizes/3.8b-mini-instruct-q80.json,phi3.5:3.8b-mini-instruct-q8_0
latest,profiles/phi3.5/sizes/latest.json,phi3.5:latest
