size_slug,size_json_path,ollama_ref
14b,profiles/phi3/sizes/14b.json,phi3:14b
14b-instruct,profiles/phi3/sizes/14b-instruct.json,phi3:14b-instruct
14b-medium128k-instruct-fp16,profiles/phi3/sizes/14b-medium128k-instruct-fp16.json,phi3:14b-medium-128k-instruct-fp16
14b-medium128k-instruct-q2-k,profiles/phi3/sizes/14b-medium128k-instruct-q2-k.json,phi3:14b-medium-128k-instruct-q2_K
14b-medium128k-instruct-q3-k-l,profiles/phi3/sizes/14b-medium128k-instruct-q3-k-l.json,phi3:14b-medium-128k-instruct-q3_K_L
14b-medium128k-instruct-q3-k-m,profiles/phi3/sizes/14b-medium128k-instruct-q3-k-m.json,phi3:14b-medium-128k-instruct-q3_K_M
14b-medium128k-instruct-q3-k-s,profiles/phi3/sizes/14b-medium128k-instruct-q3-k-s.json,phi3:14b-medium-128k-instruct-q3_K_S
14b-medium128k-instruct-q4-k-m,profiles/phi3/sizes/14b-medium128k-instruct-q4-k-m.json,phi3:14b-medium-128k-instruct-q4_K_M
14b-medium128k-instruct-q4-k-s,profiles/phi3/sizes/14b-medium128k-instruct-q4-k-s.json,phi3:14b-medium-128k-instruct-q4_K_S
14b-medium128k-instruct-q40,profiles/phi3/sizes/14b-medium128k-instruct-q40.json,phi3:14b-medium-128k-instruct-q4_0
14b-medium128k-instruct-q41,profiles/phi3/sizes/14b-medium128k-instruct-q41.json,phi3:14b-medium-128k-instruct-q4_1
14b-medium128k-instruct-q5-k-m,profiles/phi3/sizes/14b-medium128k-instruct-q5-k-m.json,phi3:14b-medium-128k-instruct-q5_K_M
14b-medium128k-instruct-q5-k-s,profiles/phi3/sizes/14b-medium128k-instruct-q5-k-s.json,phi3:14b-medium-128k-instruct-q5_K_S
14b-medium128k-instruct-q50,profiles/phi3/sizes/14b-medium128k-instruct-q50.json,phi3:14b-medium-128k-instruct-q5_0
14b-medium128k-instruct-q51,profiles/phi3/sizes/14b-medium128k-instruct-q51.json,phi3:14b-medium-128k-instruct-q5_1
14b-medium128k-instruct-q6-k,profiles/phi3/sizes/14b-medium128k-instruct-q6-k.json,phi3:14b-medium-128k-instruct-q6_K
