size_slug,size_json_path,ollama_ref
34b,profiles/phind-codellama/sizes/34b.json,phind-codellama:34b
34b-fp16,profiles/phind-codellama/sizes/34b-fp16.json,phind-codellama:34b-fp16
34b-python,profiles/phind-codellama/sizes/34b-python.json,phind-codellama:34b-python
34b-python-fp16,profiles/phind-codellama/sizes/34b-python-fp16.json,phind-codellama:34b-python-fp16
34b-python-q2-k,profiles/phind-codellama/sizes/34b-python-q2-k.json,phind-codellama:34b-python-q2_K
34b-python-q3-k-l,profiles/phind-codellama/sizes/34b-python-q3-k-l.json,phind-codellama:34b-python-q3_K_L
34b-python-q3-k-m,profiles/phind-codellama/sizes/34b-python-q3-k-m.json,phind-codellama:34b-python-q3_K_M
34b-python-q3-k-s,profiles/phind-codellama/sizes/34b-python-q3-k-s.json,phind-codellama:34b-python-q3_K_S
34b-python-q4-k-m,profiles/phind-codellama/sizes/34b-python-q4-k-m.json,phind-codellama:34b-python-q4_K_M
34b-python-q4-k-s,profiles/phind-codellama/sizes/34b-python-q4-k-s.json,phind-codellama:34b-python-q4_K_S
34b-python-q40,profiles/phind-codellama/sizes/34b-python-q40.json,phind-codellama:34b-python-q4_0
34b-python-q41,profiles/phind-codellama/sizes/34b-python-q41.json,phind-codellama:34b-python-q4_1
34b-python-q5-k-m,profiles/phind-codellama/sizes/34b-python-q5-k-m.json,phind-codellama:34b-python-q5_K_M
34b-python-q5-k-s,profiles/phind-codellama/sizes/34b-python-q5-k-s.json,phind-codellama:34b-python-q5_K_S
34b-python-q50,profiles/phind-codellama/sizes/34b-python-q50.json,phind-codellama:34b-python-q5_0
34b-python-q51,profiles/phind-codellama/sizes/34b-python-q51.json,phind-codellama:34b-python-q5_1
34b-python-q6-k,profiles/phind-codellama/sizes/34b-python-q6-k.json,phind-codellama:34b-python-q6_K
34b-python-q80,profiles/phind-codellama/sizes/34b-python-q80.json,phind-codellama:34b-python-q8_0
34b-q2-k,profiles/phind-codellama/sizes/34b-q2-k.json,phind-codellama:34b-q2_K
34b-q3-k-l,profiles/phind-codellama/sizes/34b-q3-k-l.json,phind-codellama:34b-q3_K_L
34b-q3-k-m,profiles/phind-codellama/sizes/34b-q3-k-m.json,phind-codellama:34b-q3_K_M
34b-q3-k-s,profiles/phind-codellama/sizes/34b-q3-k-s.json,phind-codellama:34b-q3_K_S
34b-q4-k-m,profiles/phind-codellama/sizes/34b-q4-k-m.json,phind-codellama:34b-q4_K_M
34b-q4-k-s,profiles/phind-codellama/sizes/34b-q4-k-s.json,phind-codellama:34b-q4_K_S
34b-q40,profiles/phind-codellama/sizes/34b-q40.json,phind-codellama:34b-q4_0
34b-q41,profiles/phind-codellama/sizes/34b-q41.json,phind-codellama:34b-q4_1
34b-q5-k-m,profiles/phind-codellama/sizes/34b-q5-k-m.json,phind-codellama:34b-q5_K_M
34b-q5-k-s,profiles/phind-codellama/sizes/34b-q5-k-s.json,phind-codellama:34b-q5_K_S
34b-q50,profiles/phind-codellama/sizes/34b-q50.json,phind-codellama:34b-q5_0
34b-q51,profiles/phind-codellama/sizes/34b-q51.json,phind-codellama:34b-q5_1
34b-q6-k,profiles/phind-codellama/sizes/34b-q6-k.json,phind-codellama:34b-q6_K
34b-q80,profiles/phind-codellama/sizes/34b-q80.json,phind-codellama:34b-q8_0
34b-v2,profiles/phind-codellama/sizes/34b-v2.json,phind-codellama:34b-v2
34b-v2-fp16,profiles/phind-codellama/sizes/34b-v2-fp16.json,phind-codellama:34b-v2-fp16
34b-v2-q2-k,profiles/phind-codellama/sizes/34b-v2-q2-k.json,phind-codellama:34b-v2-q2_K
34b-v2-q3-k-l,profiles/phind-codellama/sizes/34b-v2-q3-k-l.json,phind-codellama:34b-v2-q3_K_L
34b-v2-q3-k-m,profiles/phind-codellama/sizes/34b-v2-q3-k-m.json,phind-codellama:34b-v2-q3_K_M
34b-v2-q3-k-s,profiles/phind-codellama/sizes/34b-v2-q3-k-s.json,phind-codellama:34b-v2-q3_K_S
34b-v2-q4-k-m,profiles/phind-codellama/sizes/34b-v2-q4-k-m.json,phind-codellama:34b-v2-q4_K_M
34b-v2-q4-k-s,profiles/phind-codellama/sizes/34b-v2-q4-k-s.json,phind-codellama:34b-v2-q4_K_S
34b-v2-q40,profiles/phind-codellama/sizes/34b-v2-q40.json,phind-codellama:34b-v2-q4_0
34b-v2-q41,profiles/phind-codellama/sizes/34b-v2-q41.json,phind-codellama:34b-v2-q4_1
34b-v2-q5-k-m,profiles/phind-codellama/sizes/34b-v2-q5-k-m.json,phind-codellama:34b-v2-q5_K_M
34b-v2-q5-k-s,profiles/phind-codellama/sizes/34b-v2-q5-k-s.json,phind-codellama:34b-v2-q5_K_S
34b-v2-q50,profiles/phind-codellama/sizes/34b-v2-q50.json,phind-codellama:34b-v2-q5_0
34b-v2-q51,profiles/phind-codellama/sizes/34b-v2-q51.json,phind-codellama:34b-v2-q5_1
34b-v2-q6-k,profiles/phind-codellama/sizes/34b-v2-q6-k.json,phind-codellama:34b-v2-q6_K
34b-v2-q80,profiles/phind-codellama/sizes/34b-v2-q80.json,phind-codellama:34b-v2-q8_0
latest,profiles/phind-codellama/sizes/latest.json,phind-codellama:latest
