size_slug,ollama_ref,size_file
34b,phind-codellama:34b,sizes/34b.json
34b-fp16,phind-codellama:34b-fp16,sizes/34b-fp16.json
34b-python,phind-codellama:34b-python,sizes/34b-python.json
34b-python-fp16,phind-codellama:34b-python-fp16,sizes/34b-python-fp16.json
34b-python-q2-k,phind-codellama:34b-python-q2_K,sizes/34b-python-q2-k.json
34b-python-q3-k-l,phind-codellama:34b-python-q3_K_L,sizes/34b-python-q3-k-l.json
34b-python-q3-k-m,phind-codellama:34b-python-q3_K_M,sizes/34b-python-q3-k-m.json
34b-python-q3-k-s,phind-codellama:34b-python-q3_K_S,sizes/34b-python-q3-k-s.json
34b-python-q4-k-m,phind-codellama:34b-python-q4_K_M,sizes/34b-python-q4-k-m.json
34b-python-q4-k-s,phind-codellama:34b-python-q4_K_S,sizes/34b-python-q4-k-s.json
34b-python-q40,phind-codellama:34b-python-q4_0,sizes/34b-python-q40.json
34b-python-q41,phind-codellama:34b-python-q4_1,sizes/34b-python-q41.json
34b-python-q5-k-m,phind-codellama:34b-python-q5_K_M,sizes/34b-python-q5-k-m.json
34b-python-q5-k-s,phind-codellama:34b-python-q5_K_S,sizes/34b-python-q5-k-s.json
34b-python-q50,phind-codellama:34b-python-q5_0,sizes/34b-python-q50.json
34b-python-q51,phind-codellama:34b-python-q5_1,sizes/34b-python-q51.json
34b-python-q6-k,phind-codellama:34b-python-q6_K,sizes/34b-python-q6-k.json
34b-python-q80,phind-codellama:34b-python-q8_0,sizes/34b-python-q80.json
34b-q2-k,phind-codellama:34b-q2_K,sizes/34b-q2-k.json
34b-q3-k-l,phind-codellama:34b-q3_K_L,sizes/34b-q3-k-l.json
34b-q3-k-m,phind-codellama:34b-q3_K_M,sizes/34b-q3-k-m.json
34b-q3-k-s,phind-codellama:34b-q3_K_S,sizes/34b-q3-k-s.json
34b-q4-k-m,phind-codellama:34b-q4_K_M,sizes/34b-q4-k-m.json
34b-q4-k-s,phind-codellama:34b-q4_K_S,sizes/34b-q4-k-s.json
34b-q40,phind-codellama:34b-q4_0,sizes/34b-q40.json
34b-q41,phind-codellama:34b-q4_1,sizes/34b-q41.json
34b-q5-k-m,phind-codellama:34b-q5_K_M,sizes/34b-q5-k-m.json
34b-q5-k-s,phind-codellama:34b-q5_K_S,sizes/34b-q5-k-s.json
34b-q50,phind-codellama:34b-q5_0,sizes/34b-q50.json
34b-q51,phind-codellama:34b-q5_1,sizes/34b-q51.json
34b-q6-k,phind-codellama:34b-q6_K,sizes/34b-q6-k.json
34b-q80,phind-codellama:34b-q8_0,sizes/34b-q80.json
34b-v2,phind-codellama:34b-v2,sizes/34b-v2.json
34b-v2-fp16,phind-codellama:34b-v2-fp16,sizes/34b-v2-fp16.json
34b-v2-q2-k,phind-codellama:34b-v2-q2_K,sizes/34b-v2-q2-k.json
34b-v2-q3-k-l,phind-codellama:34b-v2-q3_K_L,sizes/34b-v2-q3-k-l.json
34b-v2-q3-k-m,phind-codellama:34b-v2-q3_K_M,sizes/34b-v2-q3-k-m.json
34b-v2-q3-k-s,phind-codellama:34b-v2-q3_K_S,sizes/34b-v2-q3-k-s.json
34b-v2-q4-k-m,phind-codellama:34b-v2-q4_K_M,sizes/34b-v2-q4-k-m.json
34b-v2-q4-k-s,phind-codellama:34b-v2-q4_K_S,sizes/34b-v2-q4-k-s.json
34b-v2-q40,phind-codellama:34b-v2-q4_0,sizes/34b-v2-q40.json
34b-v2-q41,phind-codellama:34b-v2-q4_1,sizes/34b-v2-q41.json
34b-v2-q5-k-m,phind-codellama:34b-v2-q5_K_M,sizes/34b-v2-q5-k-m.json
34b-v2-q5-k-s,phind-codellama:34b-v2-q5_K_S,sizes/34b-v2-q5-k-s.json
34b-v2-q50,phind-codellama:34b-v2-q5_0,sizes/34b-v2-q50.json
34b-v2-q51,phind-codellama:34b-v2-q5_1,sizes/34b-v2-q51.json
34b-v2-q6-k,phind-codellama:34b-v2-q6_K,sizes/34b-v2-q6-k.json
34b-v2-q80,phind-codellama:34b-v2-q8_0,sizes/34b-v2-q80.json
latest,phind-codellama:latest,sizes/latest.json
