size_slug,ollama_ref,size_file,fit_status
1-8b,qwen:1.8b,../sizes/1-8b.json,not_listed_in_agents_selection
1-8b-chat,qwen:1.8b-chat,../sizes/1-8b-chat.json,not_listed_in_agents_selection
1-8b-chat-fp16,qwen:1.8b-chat-fp16,../sizes/1-8b-chat-fp16.json,not_listed_in_agents_selection
1-8b-chat-q2_k,qwen:1.8b-chat-q2_K,../sizes/1-8b-chat-q2_k.json,not_listed_in_agents_selection
1-8b-chat-q3_k_l,qwen:1.8b-chat-q3_K_L,../sizes/1-8b-chat-q3_k_l.json,not_listed_in_agents_selection
1-8b-chat-q3_k_m,qwen:1.8b-chat-q3_K_M,../sizes/1-8b-chat-q3_k_m.json,not_listed_in_agents_selection
1-8b-chat-q3_k_s,qwen:1.8b-chat-q3_K_S,../sizes/1-8b-chat-q3_k_s.json,not_listed_in_agents_selection
1-8b-chat-q4_0,qwen:1.8b-chat-q4_0,../sizes/1-8b-chat-q4_0.json,not_listed_in_agents_selection
1-8b-chat-q4_1,qwen:1.8b-chat-q4_1,../sizes/1-8b-chat-q4_1.json,not_listed_in_agents_selection
1-8b-chat-q4_k_m,qwen:1.8b-chat-q4_K_M,../sizes/1-8b-chat-q4_k_m.json,not_listed_in_agents_selection
1-8b-chat-q4_k_s,qwen:1.8b-chat-q4_K_S,../sizes/1-8b-chat-q4_k_s.json,not_listed_in_agents_selection
1-8b-chat-q5_0,qwen:1.8b-chat-q5_0,../sizes/1-8b-chat-q5_0.json,not_listed_in_agents_selection
1-8b-chat-q5_1,qwen:1.8b-chat-q5_1,../sizes/1-8b-chat-q5_1.json,not_listed_in_agents_selection
1-8b-chat-q5_k_m,qwen:1.8b-chat-q5_K_M,../sizes/1-8b-chat-q5_k_m.json,not_listed_in_agents_selection
1-8b-chat-q5_k_s,qwen:1.8b-chat-q5_K_S,../sizes/1-8b-chat-q5_k_s.json,not_listed_in_agents_selection
1-8b-chat-q6_k,qwen:1.8b-chat-q6_K,../sizes/1-8b-chat-q6_k.json,not_listed_in_agents_selection
1-8b-chat-q8_0,qwen:1.8b-chat-q8_0,../sizes/1-8b-chat-q8_0.json,not_listed_in_agents_selection
1-8b-chat-v1-5-fp16,qwen:1.8b-chat-v1.5-fp16,../sizes/1-8b-chat-v1-5-fp16.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q2_k,qwen:1.8b-chat-v1.5-q2_K,../sizes/1-8b-chat-v1-5-q2_k.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q3_k_l,qwen:1.8b-chat-v1.5-q3_K_L,../sizes/1-8b-chat-v1-5-q3_k_l.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q3_k_m,qwen:1.8b-chat-v1.5-q3_K_M,../sizes/1-8b-chat-v1-5-q3_k_m.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q3_k_s,qwen:1.8b-chat-v1.5-q3_K_S,../sizes/1-8b-chat-v1-5-q3_k_s.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q4_0,qwen:1.8b-chat-v1.5-q4_0,../sizes/1-8b-chat-v1-5-q4_0.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q4_1,qwen:1.8b-chat-v1.5-q4_1,../sizes/1-8b-chat-v1-5-q4_1.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q4_k_m,qwen:1.8b-chat-v1.5-q4_K_M,../sizes/1-8b-chat-v1-5-q4_k_m.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q4_k_s,qwen:1.8b-chat-v1.5-q4_K_S,../sizes/1-8b-chat-v1-5-q4_k_s.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q5_0,qwen:1.8b-chat-v1.5-q5_0,../sizes/1-8b-chat-v1-5-q5_0.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q5_1,qwen:1.8b-chat-v1.5-q5_1,../sizes/1-8b-chat-v1-5-q5_1.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q5_k_m,qwen:1.8b-chat-v1.5-q5_K_M,../sizes/1-8b-chat-v1-5-q5_k_m.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q5_k_s,qwen:1.8b-chat-v1.5-q5_K_S,../sizes/1-8b-chat-v1-5-q5_k_s.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q6_k,qwen:1.8b-chat-v1.5-q6_K,../sizes/1-8b-chat-v1-5-q6_k.json,not_listed_in_agents_selection
1-8b-chat-v1-5-q8_0,qwen:1.8b-chat-v1.5-q8_0,../sizes/1-8b-chat-v1-5-q8_0.json,not_listed_in_agents_selection
1-8b-text,qwen:1.8b-text,../sizes/1-8b-text.json,not_listed_in_agents_selection
1-8b-text-fp16,qwen:1.8b-text-fp16,../sizes/1-8b-text-fp16.json,not_listed_in_agents_selection
1-8b-text-q2_k,qwen:1.8b-text-q2_K,../sizes/1-8b-text-q2_k.json,not_listed_in_agents_selection
1-8b-text-q3_k_l,qwen:1.8b-text-q3_K_L,../sizes/1-8b-text-q3_k_l.json,not_listed_in_agents_selection
1-8b-text-q3_k_m,qwen:1.8b-text-q3_K_M,../sizes/1-8b-text-q3_k_m.json,not_listed_in_agents_selection
1-8b-text-q3_k_s,qwen:1.8b-text-q3_K_S,../sizes/1-8b-text-q3_k_s.json,not_listed_in_agents_selection
1-8b-text-q4_0,qwen:1.8b-text-q4_0,../sizes/1-8b-text-q4_0.json,not_listed_in_agents_selection
1-8b-text-q4_1,qwen:1.8b-text-q4_1,../sizes/1-8b-text-q4_1.json,not_listed_in_agents_selection
1-8b-text-q4_k_m,qwen:1.8b-text-q4_K_M,../sizes/1-8b-text-q4_k_m.json,not_listed_in_agents_selection
1-8b-text-q4_k_s,qwen:1.8b-text-q4_K_S,../sizes/1-8b-text-q4_k_s.json,not_listed_in_agents_selection
1-8b-text-q5_0,qwen:1.8b-text-q5_0,../sizes/1-8b-text-q5_0.json,not_listed_in_agents_selection
1-8b-text-q5_1,qwen:1.8b-text-q5_1,../sizes/1-8b-text-q5_1.json,not_listed_in_agents_selection
1-8b-text-q5_k_m,qwen:1.8b-text-q5_K_M,../sizes/1-8b-text-q5_k_m.json,not_listed_in_agents_selection
1-8b-text-q5_k_s,qwen:1.8b-text-q5_K_S,../sizes/1-8b-text-q5_k_s.json,not_listed_in_agents_selection
1-8b-text-q6_k,qwen:1.8b-text-q6_K,../sizes/1-8b-text-q6_k.json,not_listed_in_agents_selection
1-8b-text-q8_0,qwen:1.8b-text-q8_0,../sizes/1-8b-text-q8_0.json,not_listed_in_agents_selection
1-8b-text-v1-5-fp16,qwen:1.8b-text-v1.5-fp16,../sizes/1-8b-text-v1-5-fp16.json,not_listed_in_agents_selection
1-8b-text-v1-5-q2_k,qwen:1.8b-text-v1.5-q2_K,../sizes/1-8b-text-v1-5-q2_k.json,not_listed_in_agents_selection
1-8b-text-v1-5-q3_k_l,qwen:1.8b-text-v1.5-q3_K_L,../sizes/1-8b-text-v1-5-q3_k_l.json,not_listed_in_agents_selection
1-8b-text-v1-5-q3_k_m,qwen:1.8b-text-v1.5-q3_K_M,../sizes/1-8b-text-v1-5-q3_k_m.json,not_listed_in_agents_selection
1-8b-text-v1-5-q3_k_s,qwen:1.8b-text-v1.5-q3_K_S,../sizes/1-8b-text-v1-5-q3_k_s.json,not_listed_in_agents_selection
1-8b-text-v1-5-q4_0,qwen:1.8b-text-v1.5-q4_0,../sizes/1-8b-text-v1-5-q4_0.json,not_listed_in_agents_selection
1-8b-text-v1-5-q4_1,qwen:1.8b-text-v1.5-q4_1,../sizes/1-8b-text-v1-5-q4_1.json,not_listed_in_agents_selection
1-8b-text-v1-5-q4_k_m,qwen:1.8b-text-v1.5-q4_K_M,../sizes/1-8b-text-v1-5-q4_k_m.json,not_listed_in_agents_selection
1-8b-text-v1-5-q4_k_s,qwen:1.8b-text-v1.5-q4_K_S,../sizes/1-8b-text-v1-5-q4_k_s.json,not_listed_in_agents_selection
1-8b-text-v1-5-q5_0,qwen:1.8b-text-v1.5-q5_0,../sizes/1-8b-text-v1-5-q5_0.json,not_listed_in_agents_selection
1-8b-text-v1-5-q5_1,qwen:1.8b-text-v1.5-q5_1,../sizes/1-8b-text-v1-5-q5_1.json,not_listed_in_agents_selection
1-8b-text-v1-5-q5_k_m,qwen:1.8b-text-v1.5-q5_K_M,../sizes/1-8b-text-v1-5-q5_k_m.json,not_listed_in_agents_selection
1-8b-text-v1-5-q5_k_s,qwen:1.8b-text-v1.5-q5_K_S,../sizes/1-8b-text-v1-5-q5_k_s.json,not_listed_in_agents_selection
1-8b-text-v1-5-q6_k,qwen:1.8b-text-v1.5-q6_K,../sizes/1-8b-text-v1-5-q6_k.json,not_listed_in_agents_selection
1-8b-text-v1-5-q8_0,qwen:1.8b-text-v1.5-q8_0,../sizes/1-8b-text-v1-5-q8_0.json,not_listed_in_agents_selection
