size_slug,ollama_ref,size_file,fit_status
14b,qwen:14b,../sizes/14b.json,not_listed_in_agents_selection
14b-chat,qwen:14b-chat,../sizes/14b-chat.json,not_listed_in_agents_selection
14b-chat-fp16,qwen:14b-chat-fp16,../sizes/14b-chat-fp16.json,not_listed_in_agents_selection
14b-chat-q2_k,qwen:14b-chat-q2_K,../sizes/14b-chat-q2_k.json,not_listed_in_agents_selection
14b-chat-q3_k_l,qwen:14b-chat-q3_K_L,../sizes/14b-chat-q3_k_l.json,not_listed_in_agents_selection
14b-chat-q3_k_m,qwen:14b-chat-q3_K_M,../sizes/14b-chat-q3_k_m.json,not_listed_in_agents_selection
14b-chat-q3_k_s,qwen:14b-chat-q3_K_S,../sizes/14b-chat-q3_k_s.json,not_listed_in_agents_selection
14b-chat-q4_0,qwen:14b-chat-q4_0,../sizes/14b-chat-q4_0.json,not_listed_in_agents_selection
14b-chat-q4_1,qwen:14b-chat-q4_1,../sizes/14b-chat-q4_1.json,not_listed_in_agents_selection
14b-chat-q4_k_m,qwen:14b-chat-q4_K_M,../sizes/14b-chat-q4_k_m.json,not_listed_in_agents_selection
14b-chat-q4_k_s,qwen:14b-chat-q4_K_S,../sizes/14b-chat-q4_k_s.json,not_listed_in_agents_selection
14b-chat-q5_0,qwen:14b-chat-q5_0,../sizes/14b-chat-q5_0.json,not_listed_in_agents_selection
14b-chat-q5_1,qwen:14b-chat-q5_1,../sizes/14b-chat-q5_1.json,not_listed_in_agents_selection
14b-chat-q5_k_m,qwen:14b-chat-q5_K_M,../sizes/14b-chat-q5_k_m.json,not_listed_in_agents_selection
14b-chat-q5_k_s,qwen:14b-chat-q5_K_S,../sizes/14b-chat-q5_k_s.json,not_listed_in_agents_selection
14b-chat-q6_k,qwen:14b-chat-q6_K,../sizes/14b-chat-q6_k.json,not_listed_in_agents_selection
14b-chat-q8_0,qwen:14b-chat-q8_0,../sizes/14b-chat-q8_0.json,not_listed_in_agents_selection
14b-chat-v1-5-fp16,qwen:14b-chat-v1.5-fp16,../sizes/14b-chat-v1-5-fp16.json,not_listed_in_agents_selection
14b-chat-v1-5-q2_k,qwen:14b-chat-v1.5-q2_K,../sizes/14b-chat-v1-5-q2_k.json,not_listed_in_agents_selection
14b-chat-v1-5-q3_k_l,qwen:14b-chat-v1.5-q3_K_L,../sizes/14b-chat-v1-5-q3_k_l.json,not_listed_in_agents_selection
14b-chat-v1-5-q3_k_m,qwen:14b-chat-v1.5-q3_K_M,../sizes/14b-chat-v1-5-q3_k_m.json,not_listed_in_agents_selection
14b-chat-v1-5-q3_k_s,qwen:14b-chat-v1.5-q3_K_S,../sizes/14b-chat-v1-5-q3_k_s.json,not_listed_in_agents_selection
14b-chat-v1-5-q4_0,qwen:14b-chat-v1.5-q4_0,../sizes/14b-chat-v1-5-q4_0.json,not_listed_in_agents_selection
14b-chat-v1-5-q4_1,qwen:14b-chat-v1.5-q4_1,../sizes/14b-chat-v1-5-q4_1.json,not_listed_in_agents_selection
14b-chat-v1-5-q4_k_m,qwen:14b-chat-v1.5-q4_K_M,../sizes/14b-chat-v1-5-q4_k_m.json,not_listed_in_agents_selection
14b-chat-v1-5-q4_k_s,qwen:14b-chat-v1.5-q4_K_S,../sizes/14b-chat-v1-5-q4_k_s.json,not_listed_in_agents_selection
14b-chat-v1-5-q5_0,qwen:14b-chat-v1.5-q5_0,../sizes/14b-chat-v1-5-q5_0.json,not_listed_in_agents_selection
14b-chat-v1-5-q5_1,qwen:14b-chat-v1.5-q5_1,../sizes/14b-chat-v1-5-q5_1.json,not_listed_in_agents_selection
14b-chat-v1-5-q5_k_m,qwen:14b-chat-v1.5-q5_K_M,../sizes/14b-chat-v1-5-q5_k_m.json,not_listed_in_agents_selection
14b-chat-v1-5-q5_k_s,qwen:14b-chat-v1.5-q5_K_S,../sizes/14b-chat-v1-5-q5_k_s.json,not_listed_in_agents_selection
14b-chat-v1-5-q6_k,qwen:14b-chat-v1.5-q6_K,../sizes/14b-chat-v1-5-q6_k.json,not_listed_in_agents_selection
14b-chat-v1-5-q8_0,qwen:14b-chat-v1.5-q8_0,../sizes/14b-chat-v1-5-q8_0.json,not_listed_in_agents_selection
14b-text,qwen:14b-text,../sizes/14b-text.json,not_listed_in_agents_selection
14b-text-fp16,qwen:14b-text-fp16,../sizes/14b-text-fp16.json,not_listed_in_agents_selection
14b-text-q2_k,qwen:14b-text-q2_K,../sizes/14b-text-q2_k.json,not_listed_in_agents_selection
14b-text-q3_k_l,qwen:14b-text-q3_K_L,../sizes/14b-text-q3_k_l.json,not_listed_in_agents_selection
14b-text-q3_k_m,qwen:14b-text-q3_K_M,../sizes/14b-text-q3_k_m.json,not_listed_in_agents_selection
14b-text-q3_k_s,qwen:14b-text-q3_K_S,../sizes/14b-text-q3_k_s.json,not_listed_in_agents_selection
14b-text-q4_0,qwen:14b-text-q4_0,../sizes/14b-text-q4_0.json,not_listed_in_agents_selection
14b-text-q4_1,qwen:14b-text-q4_1,../sizes/14b-text-q4_1.json,not_listed_in_agents_selection
14b-text-q4_k_m,qwen:14b-text-q4_K_M,../sizes/14b-text-q4_k_m.json,not_listed_in_agents_selection
14b-text-q4_k_s,qwen:14b-text-q4_K_S,../sizes/14b-text-q4_k_s.json,not_listed_in_agents_selection
14b-text-q5_0,qwen:14b-text-q5_0,../sizes/14b-text-q5_0.json,not_listed_in_agents_selection
14b-text-q5_1,qwen:14b-text-q5_1,../sizes/14b-text-q5_1.json,not_listed_in_agents_selection
14b-text-q5_k_m,qwen:14b-text-q5_K_M,../sizes/14b-text-q5_k_m.json,not_listed_in_agents_selection
14b-text-q5_k_s,qwen:14b-text-q5_K_S,../sizes/14b-text-q5_k_s.json,not_listed_in_agents_selection
14b-text-q6_k,qwen:14b-text-q6_K,../sizes/14b-text-q6_k.json,not_listed_in_agents_selection
