size_slug,ollama_ref,size_file,fit_status
4b,qwen:4b,../sizes/4b.json,not_listed_in_agents_selection
4b-chat,qwen:4b-chat,../sizes/4b-chat.json,not_listed_in_agents_selection
4b-chat-v1-5-fp16,qwen:4b-chat-v1.5-fp16,../sizes/4b-chat-v1-5-fp16.json,not_listed_in_agents_selection
4b-chat-v1-5-q2_k,qwen:4b-chat-v1.5-q2_K,../sizes/4b-chat-v1-5-q2_k.json,not_listed_in_agents_selection
4b-chat-v1-5-q3_k_l,qwen:4b-chat-v1.5-q3_K_L,../sizes/4b-chat-v1-5-q3_k_l.json,not_listed_in_agents_selection
4b-chat-v1-5-q3_k_m,qwen:4b-chat-v1.5-q3_K_M,../sizes/4b-chat-v1-5-q3_k_m.json,not_listed_in_agents_selection
4b-chat-v1-5-q3_k_s,qwen:4b-chat-v1.5-q3_K_S,../sizes/4b-chat-v1-5-q3_k_s.json,not_listed_in_agents_selection
4b-chat-v1-5-q4_0,qwen:4b-chat-v1.5-q4_0,../sizes/4b-chat-v1-5-q4_0.json,not_listed_in_agents_selection
4b-chat-v1-5-q4_1,qwen:4b-chat-v1.5-q4_1,../sizes/4b-chat-v1-5-q4_1.json,not_listed_in_agents_selection
4b-chat-v1-5-q4_k_m,qwen:4b-chat-v1.5-q4_K_M,../sizes/4b-chat-v1-5-q4_k_m.json,not_listed_in_agents_selection
4b-chat-v1-5-q4_k_s,qwen:4b-chat-v1.5-q4_K_S,../sizes/4b-chat-v1-5-q4_k_s.json,not_listed_in_agents_selection
4b-chat-v1-5-q5_0,qwen:4b-chat-v1.5-q5_0,../sizes/4b-chat-v1-5-q5_0.json,not_listed_in_agents_selection
4b-chat-v1-5-q5_1,qwen:4b-chat-v1.5-q5_1,../sizes/4b-chat-v1-5-q5_1.json,not_listed_in_agents_selection
4b-chat-v1-5-q5_k_m,qwen:4b-chat-v1.5-q5_K_M,../sizes/4b-chat-v1-5-q5_k_m.json,not_listed_in_agents_selection
4b-chat-v1-5-q5_k_s,qwen:4b-chat-v1.5-q5_K_S,../sizes/4b-chat-v1-5-q5_k_s.json,not_listed_in_agents_selection
4b-chat-v1-5-q6_k,qwen:4b-chat-v1.5-q6_K,../sizes/4b-chat-v1-5-q6_k.json,not_listed_in_agents_selection
4b-chat-v1-5-q8_0,qwen:4b-chat-v1.5-q8_0,../sizes/4b-chat-v1-5-q8_0.json,not_listed_in_agents_selection
4b-text,qwen:4b-text,../sizes/4b-text.json,not_listed_in_agents_selection
4b-text-v1-5-fp16,qwen:4b-text-v1.5-fp16,../sizes/4b-text-v1-5-fp16.json,not_listed_in_agents_selection
4b-text-v1-5-q2_k,qwen:4b-text-v1.5-q2_K,../sizes/4b-text-v1-5-q2_k.json,not_listed_in_agents_selection
4b-text-v1-5-q3_k_l,qwen:4b-text-v1.5-q3_K_L,../sizes/4b-text-v1-5-q3_k_l.json,not_listed_in_agents_selection
4b-text-v1-5-q3_k_m,qwen:4b-text-v1.5-q3_K_M,../sizes/4b-text-v1-5-q3_k_m.json,not_listed_in_agents_selection
4b-text-v1-5-q3_k_s,qwen:4b-text-v1.5-q3_K_S,../sizes/4b-text-v1-5-q3_k_s.json,not_listed_in_agents_selection
4b-text-v1-5-q4_0,qwen:4b-text-v1.5-q4_0,../sizes/4b-text-v1-5-q4_0.json,not_listed_in_agents_selection
4b-text-v1-5-q4_1,qwen:4b-text-v1.5-q4_1,../sizes/4b-text-v1-5-q4_1.json,not_listed_in_agents_selection
4b-text-v1-5-q4_k_m,qwen:4b-text-v1.5-q4_K_M,../sizes/4b-text-v1-5-q4_k_m.json,not_listed_in_agents_selection
4b-text-v1-5-q4_k_s,qwen:4b-text-v1.5-q4_K_S,../sizes/4b-text-v1-5-q4_k_s.json,not_listed_in_agents_selection
4b-text-v1-5-q5_0,qwen:4b-text-v1.5-q5_0,../sizes/4b-text-v1-5-q5_0.json,not_listed_in_agents_selection
4b-text-v1-5-q5_1,qwen:4b-text-v1.5-q5_1,../sizes/4b-text-v1-5-q5_1.json,not_listed_in_agents_selection
4b-text-v1-5-q5_k_m,qwen:4b-text-v1.5-q5_K_M,../sizes/4b-text-v1-5-q5_k_m.json,not_listed_in_agents_selection
4b-text-v1-5-q5_k_s,qwen:4b-text-v1.5-q5_K_S,../sizes/4b-text-v1-5-q5_k_s.json,not_listed_in_agents_selection
4b-text-v1-5-q6_k,qwen:4b-text-v1.5-q6_K,../sizes/4b-text-v1-5-q6_k.json,not_listed_in_agents_selection
4b-text-v1-5-q8_0,qwen:4b-text-v1.5-q8_0,../sizes/4b-text-v1-5-q8_0.json,not_listed_in_agents_selection
latest,qwen:latest,../sizes/latest.json,not_listed_in_agents_selection
