size_slug,ollama_ref,size_file
72b,qwen:72b,sizes/72b.json
72b-chat,qwen:72b-chat,sizes/72b-chat.json
72b-chat-fp16,qwen:72b-chat-fp16,sizes/72b-chat-fp16.json
72b-chat-q2_k,qwen:72b-chat-q2_K,sizes/72b-chat-q2_k.json
72b-chat-q3_k_l,qwen:72b-chat-q3_K_L,sizes/72b-chat-q3_k_l.json
72b-chat-q3_k_m,qwen:72b-chat-q3_K_M,sizes/72b-chat-q3_k_m.json
72b-chat-q3_k_s,qwen:72b-chat-q3_K_S,sizes/72b-chat-q3_k_s.json
72b-chat-q4_0,qwen:72b-chat-q4_0,sizes/72b-chat-q4_0.json
72b-chat-q4_1,qwen:72b-chat-q4_1,sizes/72b-chat-q4_1.json
72b-chat-q4_k_m,qwen:72b-chat-q4_K_M,sizes/72b-chat-q4_k_m.json
72b-chat-q4_k_s,qwen:72b-chat-q4_K_S,sizes/72b-chat-q4_k_s.json
72b-chat-q5_0,qwen:72b-chat-q5_0,sizes/72b-chat-q5_0.json
72b-chat-q5_1,qwen:72b-chat-q5_1,sizes/72b-chat-q5_1.json
72b-chat-q5_k_m,qwen:72b-chat-q5_K_M,sizes/72b-chat-q5_k_m.json
72b-chat-q5_k_s,qwen:72b-chat-q5_K_S,sizes/72b-chat-q5_k_s.json
72b-chat-q6_k,qwen:72b-chat-q6_K,sizes/72b-chat-q6_k.json
72b-chat-q8_0,qwen:72b-chat-q8_0,sizes/72b-chat-q8_0.json
72b-chat-v1-5-fp16,qwen:72b-chat-v1.5-fp16,sizes/72b-chat-v1-5-fp16.json
72b-chat-v1-5-q2_k,qwen:72b-chat-v1.5-q2_K,sizes/72b-chat-v1-5-q2_k.json
72b-chat-v1-5-q3_k_l,qwen:72b-chat-v1.5-q3_K_L,sizes/72b-chat-v1-5-q3_k_l.json
72b-chat-v1-5-q3_k_m,qwen:72b-chat-v1.5-q3_K_M,sizes/72b-chat-v1-5-q3_k_m.json
72b-chat-v1-5-q3_k_s,qwen:72b-chat-v1.5-q3_K_S,sizes/72b-chat-v1-5-q3_k_s.json
72b-chat-v1-5-q4_0,qwen:72b-chat-v1.5-q4_0,sizes/72b-chat-v1-5-q4_0.json
72b-chat-v1-5-q4_1,qwen:72b-chat-v1.5-q4_1,sizes/72b-chat-v1-5-q4_1.json
72b-chat-v1-5-q4_k_m,qwen:72b-chat-v1.5-q4_K_M,sizes/72b-chat-v1-5-q4_k_m.json
72b-chat-v1-5-q4_k_s,qwen:72b-chat-v1.5-q4_K_S,sizes/72b-chat-v1-5-q4_k_s.json
72b-chat-v1-5-q5_0,qwen:72b-chat-v1.5-q5_0,sizes/72b-chat-v1-5-q5_0.json
72b-chat-v1-5-q5_1,qwen:72b-chat-v1.5-q5_1,sizes/72b-chat-v1-5-q5_1.json
72b-chat-v1-5-q5_k_m,qwen:72b-chat-v1.5-q5_K_M,sizes/72b-chat-v1-5-q5_k_m.json
72b-chat-v1-5-q5_k_s,qwen:72b-chat-v1.5-q5_K_S,sizes/72b-chat-v1-5-q5_k_s.json
72b-chat-v1-5-q6_k,qwen:72b-chat-v1.5-q6_K,sizes/72b-chat-v1-5-q6_k.json
