size_slug,ollama_ref,size_file
1-5b,qwen2:1.5b,sizes/1-5b.json
1-5b-instruct,qwen2:1.5b-instruct,sizes/1-5b-instruct.json
1-5b-instruct-fp16,qwen2:1.5b-instruct-fp16,sizes/1-5b-instruct-fp16.json
1-5b-instruct-q2_k,qwen2:1.5b-instruct-q2_K,sizes/1-5b-instruct-q2_k.json
1-5b-instruct-q3_k_l,qwen2:1.5b-instruct-q3_K_L,sizes/1-5b-instruct-q3_k_l.json
1-5b-instruct-q3_k_m,qwen2:1.5b-instruct-q3_K_M,sizes/1-5b-instruct-q3_k_m.json
1-5b-instruct-q3_k_s,qwen2:1.5b-instruct-q3_K_S,sizes/1-5b-instruct-q3_k_s.json
1-5b-instruct-q4_0,qwen2:1.5b-instruct-q4_0,sizes/1-5b-instruct-q4_0.json
1-5b-instruct-q4_1,qwen2:1.5b-instruct-q4_1,sizes/1-5b-instruct-q4_1.json
1-5b-instruct-q4_k_m,qwen2:1.5b-instruct-q4_K_M,sizes/1-5b-instruct-q4_k_m.json
1-5b-instruct-q4_k_s,qwen2:1.5b-instruct-q4_K_S,sizes/1-5b-instruct-q4_k_s.json
1-5b-instruct-q5_0,qwen2:1.5b-instruct-q5_0,sizes/1-5b-instruct-q5_0.json
1-5b-instruct-q5_1,qwen2:1.5b-instruct-q5_1,sizes/1-5b-instruct-q5_1.json
1-5b-instruct-q5_k_m,qwen2:1.5b-instruct-q5_K_M,sizes/1-5b-instruct-q5_k_m.json
1-5b-instruct-q5_k_s,qwen2:1.5b-instruct-q5_K_S,sizes/1-5b-instruct-q5_k_s.json
1-5b-instruct-q6_k,qwen2:1.5b-instruct-q6_K,sizes/1-5b-instruct-q6_k.json
1-5b-instruct-q8_0,qwen2:1.5b-instruct-q8_0,sizes/1-5b-instruct-q8_0.json
