size_slug,ollama_ref,size_file
0-5b,qwen2.5-coder:0.5b,sizes/0-5b.json
0-5b-base,qwen2.5-coder:0.5b-base,sizes/0-5b-base.json
0-5b-base-fp16,qwen2.5-coder:0.5b-base-fp16,sizes/0-5b-base-fp16.json
0-5b-base-q2_k,qwen2.5-coder:0.5b-base-q2_K,sizes/0-5b-base-q2_k.json
0-5b-base-q3_k_l,qwen2.5-coder:0.5b-base-q3_K_L,sizes/0-5b-base-q3_k_l.json
0-5b-base-q3_k_m,qwen2.5-coder:0.5b-base-q3_K_M,sizes/0-5b-base-q3_k_m.json
0-5b-base-q3_k_s,qwen2.5-coder:0.5b-base-q3_K_S,sizes/0-5b-base-q3_k_s.json
0-5b-base-q4_0,qwen2.5-coder:0.5b-base-q4_0,sizes/0-5b-base-q4_0.json
0-5b-base-q4_1,qwen2.5-coder:0.5b-base-q4_1,sizes/0-5b-base-q4_1.json
0-5b-base-q4_k_m,qwen2.5-coder:0.5b-base-q4_K_M,sizes/0-5b-base-q4_k_m.json
0-5b-base-q4_k_s,qwen2.5-coder:0.5b-base-q4_K_S,sizes/0-5b-base-q4_k_s.json
0-5b-base-q5_0,qwen2.5-coder:0.5b-base-q5_0,sizes/0-5b-base-q5_0.json
0-5b-base-q5_1,qwen2.5-coder:0.5b-base-q5_1,sizes/0-5b-base-q5_1.json
0-5b-base-q5_k_m,qwen2.5-coder:0.5b-base-q5_K_M,sizes/0-5b-base-q5_k_m.json
0-5b-base-q5_k_s,qwen2.5-coder:0.5b-base-q5_K_S,sizes/0-5b-base-q5_k_s.json
0-5b-base-q6_k,qwen2.5-coder:0.5b-base-q6_K,sizes/0-5b-base-q6_k.json
0-5b-base-q8_0,qwen2.5-coder:0.5b-base-q8_0,sizes/0-5b-base-q8_0.json
0-5b-instruct,qwen2.5-coder:0.5b-instruct,sizes/0-5b-instruct.json
0-5b-instruct-fp16,qwen2.5-coder:0.5b-instruct-fp16,sizes/0-5b-instruct-fp16.json
0-5b-instruct-q2_k,qwen2.5-coder:0.5b-instruct-q2_K,sizes/0-5b-instruct-q2_k.json
0-5b-instruct-q3_k_l,qwen2.5-coder:0.5b-instruct-q3_K_L,sizes/0-5b-instruct-q3_k_l.json
0-5b-instruct-q3_k_m,qwen2.5-coder:0.5b-instruct-q3_K_M,sizes/0-5b-instruct-q3_k_m.json
0-5b-instruct-q3_k_s,qwen2.5-coder:0.5b-instruct-q3_K_S,sizes/0-5b-instruct-q3_k_s.json
0-5b-instruct-q4_0,qwen2.5-coder:0.5b-instruct-q4_0,sizes/0-5b-instruct-q4_0.json
0-5b-instruct-q4_1,qwen2.5-coder:0.5b-instruct-q4_1,sizes/0-5b-instruct-q4_1.json
0-5b-instruct-q4_k_m,qwen2.5-coder:0.5b-instruct-q4_K_M,sizes/0-5b-instruct-q4_k_m.json
0-5b-instruct-q4_k_s,qwen2.5-coder:0.5b-instruct-q4_K_S,sizes/0-5b-instruct-q4_k_s.json
0-5b-instruct-q5_0,qwen2.5-coder:0.5b-instruct-q5_0,sizes/0-5b-instruct-q5_0.json
0-5b-instruct-q5_1,qwen2.5-coder:0.5b-instruct-q5_1,sizes/0-5b-instruct-q5_1.json
0-5b-instruct-q5_k_m,qwen2.5-coder:0.5b-instruct-q5_K_M,sizes/0-5b-instruct-q5_k_m.json
0-5b-instruct-q5_k_s,qwen2.5-coder:0.5b-instruct-q5_K_S,sizes/0-5b-instruct-q5_k_s.json
0-5b-instruct-q6_k,qwen2.5-coder:0.5b-instruct-q6_K,sizes/0-5b-instruct-q6_k.json
0-5b-instruct-q8_0,qwen2.5-coder:0.5b-instruct-q8_0,sizes/0-5b-instruct-q8_0.json
