size_slug,ollama_ref,size_file,fit_status
14b,qwen2.5-coder:14b,../sizes/14b.json,not_listed_in_agents_selection
14b-base,qwen2.5-coder:14b-base,../sizes/14b-base.json,not_listed_in_agents_selection
14b-base-fp16,qwen2.5-coder:14b-base-fp16,../sizes/14b-base-fp16.json,not_listed_in_agents_selection
14b-base-q2_k,qwen2.5-coder:14b-base-q2_K,../sizes/14b-base-q2_k.json,not_listed_in_agents_selection
14b-base-q3_k_l,qwen2.5-coder:14b-base-q3_K_L,../sizes/14b-base-q3_k_l.json,not_listed_in_agents_selection
14b-base-q3_k_m,qwen2.5-coder:14b-base-q3_K_M,../sizes/14b-base-q3_k_m.json,not_listed_in_agents_selection
14b-base-q3_k_s,qwen2.5-coder:14b-base-q3_K_S,../sizes/14b-base-q3_k_s.json,not_listed_in_agents_selection
14b-base-q4_0,qwen2.5-coder:14b-base-q4_0,../sizes/14b-base-q4_0.json,not_listed_in_agents_selection
14b-base-q4_1,qwen2.5-coder:14b-base-q4_1,../sizes/14b-base-q4_1.json,not_listed_in_agents_selection
14b-base-q4_k_m,qwen2.5-coder:14b-base-q4_K_M,../sizes/14b-base-q4_k_m.json,not_listed_in_agents_selection
14b-base-q4_k_s,qwen2.5-coder:14b-base-q4_K_S,../sizes/14b-base-q4_k_s.json,not_listed_in_agents_selection
14b-base-q5_0,qwen2.5-coder:14b-base-q5_0,../sizes/14b-base-q5_0.json,not_listed_in_agents_selection
14b-base-q5_1,qwen2.5-coder:14b-base-q5_1,../sizes/14b-base-q5_1.json,not_listed_in_agents_selection
14b-base-q5_k_m,qwen2.5-coder:14b-base-q5_K_M,../sizes/14b-base-q5_k_m.json,not_listed_in_agents_selection
14b-base-q5_k_s,qwen2.5-coder:14b-base-q5_K_S,../sizes/14b-base-q5_k_s.json,not_listed_in_agents_selection
14b-base-q6_k,qwen2.5-coder:14b-base-q6_K,../sizes/14b-base-q6_k.json,not_listed_in_agents_selection
14b-base-q8_0,qwen2.5-coder:14b-base-q8_0,../sizes/14b-base-q8_0.json,not_listed_in_agents_selection
14b-instruct,qwen2.5-coder:14b-instruct,../sizes/14b-instruct.json,not_listed_in_agents_selection
14b-instruct-fp16,qwen2.5-coder:14b-instruct-fp16,../sizes/14b-instruct-fp16.json,not_listed_in_agents_selection
14b-instruct-q2_k,qwen2.5-coder:14b-instruct-q2_K,../sizes/14b-instruct-q2_k.json,not_listed_in_agents_selection
14b-instruct-q3_k_l,qwen2.5-coder:14b-instruct-q3_K_L,../sizes/14b-instruct-q3_k_l.json,not_listed_in_agents_selection
14b-instruct-q3_k_m,qwen2.5-coder:14b-instruct-q3_K_M,../sizes/14b-instruct-q3_k_m.json,not_listed_in_agents_selection
14b-instruct-q3_k_s,qwen2.5-coder:14b-instruct-q3_K_S,../sizes/14b-instruct-q3_k_s.json,not_listed_in_agents_selection
14b-instruct-q4_0,qwen2.5-coder:14b-instruct-q4_0,../sizes/14b-instruct-q4_0.json,not_listed_in_agents_selection
14b-instruct-q4_1,qwen2.5-coder:14b-instruct-q4_1,../sizes/14b-instruct-q4_1.json,not_listed_in_agents_selection
14b-instruct-q4_k_m,qwen2.5-coder:14b-instruct-q4_K_M,../sizes/14b-instruct-q4_k_m.json,not_listed_in_agents_selection
14b-instruct-q4_k_s,qwen2.5-coder:14b-instruct-q4_K_S,../sizes/14b-instruct-q4_k_s.json,not_listed_in_agents_selection
14b-instruct-q5_0,qwen2.5-coder:14b-instruct-q5_0,../sizes/14b-instruct-q5_0.json,not_listed_in_agents_selection
14b-instruct-q5_1,qwen2.5-coder:14b-instruct-q5_1,../sizes/14b-instruct-q5_1.json,not_listed_in_agents_selection
14b-instruct-q5_k_m,qwen2.5-coder:14b-instruct-q5_K_M,../sizes/14b-instruct-q5_k_m.json,not_listed_in_agents_selection
14b-instruct-q5_k_s,qwen2.5-coder:14b-instruct-q5_K_S,../sizes/14b-instruct-q5_k_s.json,not_listed_in_agents_selection
14b-instruct-q6_k,qwen2.5-coder:14b-instruct-q6_K,../sizes/14b-instruct-q6_k.json,not_listed_in_agents_selection
14b-instruct-q8_0,qwen2.5-coder:14b-instruct-q8_0,../sizes/14b-instruct-q8_0.json,not_listed_in_agents_selection
