size_slug,ollama_ref,size_file
72b,qwen2-math:72b,sizes/72b.json
72b-instruct,qwen2-math:72b-instruct,sizes/72b-instruct.json
72b-instruct-fp16,qwen2-math:72b-instruct-fp16,sizes/72b-instruct-fp16.json
72b-instruct-q2_k,qwen2-math:72b-instruct-q2_K,sizes/72b-instruct-q2_k.json
72b-instruct-q3_k_l,qwen2-math:72b-instruct-q3_K_L,sizes/72b-instruct-q3_k_l.json
72b-instruct-q3_k_m,qwen2-math:72b-instruct-q3_K_M,sizes/72b-instruct-q3_k_m.json
72b-instruct-q3_k_s,qwen2-math:72b-instruct-q3_K_S,sizes/72b-instruct-q3_k_s.json
72b-instruct-q4_0,qwen2-math:72b-instruct-q4_0,sizes/72b-instruct-q4_0.json
72b-instruct-q4_1,qwen2-math:72b-instruct-q4_1,sizes/72b-instruct-q4_1.json
72b-instruct-q4_k_m,qwen2-math:72b-instruct-q4_K_M,sizes/72b-instruct-q4_k_m.json
72b-instruct-q4_k_s,qwen2-math:72b-instruct-q4_K_S,sizes/72b-instruct-q4_k_s.json
72b-instruct-q5_0,qwen2-math:72b-instruct-q5_0,sizes/72b-instruct-q5_0.json
72b-instruct-q5_1,qwen2-math:72b-instruct-q5_1,sizes/72b-instruct-q5_1.json
72b-instruct-q5_k_m,qwen2-math:72b-instruct-q5_K_M,sizes/72b-instruct-q5_k_m.json
72b-instruct-q5_k_s,qwen2-math:72b-instruct-q5_K_S,sizes/72b-instruct-q5_k_s.json
72b-instruct-q6_k,qwen2-math:72b-instruct-q6_K,sizes/72b-instruct-q6_k.json
72b-instruct-q8_0,qwen2-math:72b-instruct-q8_0,sizes/72b-instruct-q8_0.json
