size_slug,size_json_path,ollama_ref
72b,profiles/qwen2-math/sizes/72b.json,qwen2-math:72b
72b-instruct,profiles/qwen2-math/sizes/72b-instruct.json,qwen2-math:72b-instruct
72b-instruct-fp16,profiles/qwen2-math/sizes/72b-instruct-fp16.json,qwen2-math:72b-instruct-fp16
72b-instruct-q2-k,profiles/qwen2-math/sizes/72b-instruct-q2-k.json,qwen2-math:72b-instruct-q2_K
72b-instruct-q3-k-l,profiles/qwen2-math/sizes/72b-instruct-q3-k-l.json,qwen2-math:72b-instruct-q3_K_L
72b-instruct-q3-k-m,profiles/qwen2-math/sizes/72b-instruct-q3-k-m.json,qwen2-math:72b-instruct-q3_K_M
72b-instruct-q3-k-s,profiles/qwen2-math/sizes/72b-instruct-q3-k-s.json,qwen2-math:72b-instruct-q3_K_S
72b-instruct-q4-k-m,profiles/qwen2-math/sizes/72b-instruct-q4-k-m.json,qwen2-math:72b-instruct-q4_K_M
72b-instruct-q4-k-s,profiles/qwen2-math/sizes/72b-instruct-q4-k-s.json,qwen2-math:72b-instruct-q4_K_S
72b-instruct-q40,profiles/qwen2-math/sizes/72b-instruct-q40.json,qwen2-math:72b-instruct-q4_0
72b-instruct-q41,profiles/qwen2-math/sizes/72b-instruct-q41.json,qwen2-math:72b-instruct-q4_1
72b-instruct-q5-k-m,profiles/qwen2-math/sizes/72b-instruct-q5-k-m.json,qwen2-math:72b-instruct-q5_K_M
72b-instruct-q5-k-s,profiles/qwen2-math/sizes/72b-instruct-q5-k-s.json,qwen2-math:72b-instruct-q5_K_S
72b-instruct-q50,profiles/qwen2-math/sizes/72b-instruct-q50.json,qwen2-math:72b-instruct-q5_0
72b-instruct-q51,profiles/qwen2-math/sizes/72b-instruct-q51.json,qwen2-math:72b-instruct-q5_1
72b-instruct-q6-k,profiles/qwen2-math/sizes/72b-instruct-q6-k.json,qwen2-math:72b-instruct-q6_K
72b-instruct-q80,profiles/qwen2-math/sizes/72b-instruct-q80.json,qwen2-math:72b-instruct-q8_0
7b,profiles/qwen2-math/sizes/7b.json,qwen2-math:7b
7b-instruct,profiles/qwen2-math/sizes/7b-instruct.json,qwen2-math:7b-instruct
7b-instruct-fp16,profiles/qwen2-math/sizes/7b-instruct-fp16.json,qwen2-math:7b-instruct-fp16
7b-instruct-q2-k,profiles/qwen2-math/sizes/7b-instruct-q2-k.json,qwen2-math:7b-instruct-q2_K
7b-instruct-q3-k-l,profiles/qwen2-math/sizes/7b-instruct-q3-k-l.json,qwen2-math:7b-instruct-q3_K_L
7b-instruct-q3-k-m,profiles/qwen2-math/sizes/7b-instruct-q3-k-m.json,qwen2-math:7b-instruct-q3_K_M
7b-instruct-q3-k-s,profiles/qwen2-math/sizes/7b-instruct-q3-k-s.json,qwen2-math:7b-instruct-q3_K_S
7b-instruct-q4-k-m,profiles/qwen2-math/sizes/7b-instruct-q4-k-m.json,qwen2-math:7b-instruct-q4_K_M
7b-instruct-q4-k-s,profiles/qwen2-math/sizes/7b-instruct-q4-k-s.json,qwen2-math:7b-instruct-q4_K_S
7b-instruct-q40,profiles/qwen2-math/sizes/7b-instruct-q40.json,qwen2-math:7b-instruct-q4_0
7b-instruct-q41,profiles/qwen2-math/sizes/7b-instruct-q41.json,qwen2-math:7b-instruct-q4_1
7b-instruct-q5-k-m,profiles/qwen2-math/sizes/7b-instruct-q5-k-m.json,qwen2-math:7b-instruct-q5_K_M
7b-instruct-q5-k-s,profiles/qwen2-math/sizes/7b-instruct-q5-k-s.json,qwen2-math:7b-instruct-q5_K_S
7b-instruct-q50,profiles/qwen2-math/sizes/7b-instruct-q50.json,qwen2-math:7b-instruct-q5_0
7b-instruct-q51,profiles/qwen2-math/sizes/7b-instruct-q51.json,qwen2-math:7b-instruct-q5_1
7b-instruct-q6-k,profiles/qwen2-math/sizes/7b-instruct-q6-k.json,qwen2-math:7b-instruct-q6_K
7b-instruct-q80,profiles/qwen2-math/sizes/7b-instruct-q80.json,qwen2-math:7b-instruct-q8_0
1.5b,profiles/qwen2-math/sizes/1.5b.json,qwen2-math:1.5b
1.5b-instruct,profiles/qwen2-math/sizes/1.5b-instruct.json,qwen2-math:1.5b-instruct
1.5b-instruct-fp16,profiles/qwen2-math/sizes/1.5b-instruct-fp16.json,qwen2-math:1.5b-instruct-fp16
1.5b-instruct-q2-k,profiles/qwen2-math/sizes/1.5b-instruct-q2-k.json,qwen2-math:1.5b-instruct-q2_K
1.5b-instruct-q3-k-l,profiles/qwen2-math/sizes/1.5b-instruct-q3-k-l.json,qwen2-math:1.5b-instruct-q3_K_L
1.5b-instruct-q3-k-m,profiles/qwen2-math/sizes/1.5b-instruct-q3-k-m.json,qwen2-math:1.5b-instruct-q3_K_M
1.5b-instruct-q3-k-s,profiles/qwen2-math/sizes/1.5b-instruct-q3-k-s.json,qwen2-math:1.5b-instruct-q3_K_S
1.5b-instruct-q4-k-m,profiles/qwen2-math/sizes/1.5b-instruct-q4-k-m.json,qwen2-math:1.5b-instruct-q4_K_M
1.5b-instruct-q4-k-s,profiles/qwen2-math/sizes/1.5b-instruct-q4-k-s.json,qwen2-math:1.5b-instruct-q4_K_S
1.5b-instruct-q40,profiles/qwen2-math/sizes/1.5b-instruct-q40.json,qwen2-math:1.5b-instruct-q4_0
1.5b-instruct-q41,profiles/qwen2-math/sizes/1.5b-instruct-q41.json,qwen2-math:1.5b-instruct-q4_1
1.5b-instruct-q5-k-m,profiles/qwen2-math/sizes/1.5b-instruct-q5-k-m.json,qwen2-math:1.5b-instruct-q5_K_M
1.5b-instruct-q5-k-s,profiles/qwen2-math/sizes/1.5b-instruct-q5-k-s.json,qwen2-math:1.5b-instruct-q5_K_S
1.5b-instruct-q50,profiles/qwen2-math/sizes/1.5b-instruct-q50.json,qwen2-math:1.5b-instruct-q5_0
1.5b-instruct-q51,profiles/qwen2-math/sizes/1.5b-instruct-q51.json,qwen2-math:1.5b-instruct-q5_1
1.5b-instruct-q6-k,profiles/qwen2-math/sizes/1.5b-instruct-q6-k.json,qwen2-math:1.5b-instruct-q6_K
1.5b-instruct-q80,profiles/qwen2-math/sizes/1.5b-instruct-q80.json,qwen2-math:1.5b-instruct-q8_0
latest,profiles/qwen2-math/sizes/latest.json,qwen2-math:latest
