size_slug,ollama_ref,size_file,fit_status
72b,qwen2.5:72b,../sizes/72b.json,no_fit
72b-instruct,qwen2.5:72b-instruct,../sizes/72b-instruct.json,no_fit
72b-instruct-fp16,qwen2.5:72b-instruct-fp16,../sizes/72b-instruct-fp16.json,no_fit
72b-instruct-q2-k,qwen2.5:72b-instruct-q2_K,../sizes/72b-instruct-q2-k.json,no_fit
72b-instruct-q3-k-l,qwen2.5:72b-instruct-q3_K_L,../sizes/72b-instruct-q3-k-l.json,no_fit
72b-instruct-q3-k-m,qwen2.5:72b-instruct-q3_K_M,../sizes/72b-instruct-q3-k-m.json,no_fit
72b-instruct-q3-k-s,qwen2.5:72b-instruct-q3_K_S,../sizes/72b-instruct-q3-k-s.json,no_fit
72b-instruct-q4-k-m,qwen2.5:72b-instruct-q4_K_M,../sizes/72b-instruct-q4-k-m.json,no_fit
72b-instruct-q4-k-s,qwen2.5:72b-instruct-q4_K_S,../sizes/72b-instruct-q4-k-s.json,no_fit
72b-instruct-q40,qwen2.5:72b-instruct-q4_0,../sizes/72b-instruct-q40.json,no_fit
72b-instruct-q41,qwen2.5:72b-instruct-q4_1,../sizes/72b-instruct-q41.json,no_fit
72b-instruct-q5-k-m,qwen2.5:72b-instruct-q5_K_M,../sizes/72b-instruct-q5-k-m.json,no_fit
72b-instruct-q5-k-s,qwen2.5:72b-instruct-q5_K_S,../sizes/72b-instruct-q5-k-s.json,no_fit
72b-instruct-q50,qwen2.5:72b-instruct-q5_0,../sizes/72b-instruct-q50.json,no_fit
72b-instruct-q51,qwen2.5:72b-instruct-q5_1,../sizes/72b-instruct-q51.json,no_fit
72b-instruct-q6-k,qwen2.5:72b-instruct-q6_K,../sizes/72b-instruct-q6-k.json,no_fit
72b-instruct-q80,qwen2.5:72b-instruct-q8_0,../sizes/72b-instruct-q80.json,no_fit
32b,qwen2.5:32b,../sizes/32b.json,no_fit
32b-instruct,qwen2.5:32b-instruct,../sizes/32b-instruct.json,no_fit
32b-instruct-fp16,qwen2.5:32b-instruct-fp16,../sizes/32b-instruct-fp16.json,no_fit
32b-instruct-q2-k,qwen2.5:32b-instruct-q2_K,../sizes/32b-instruct-q2-k.json,fit
32b-instruct-q3-k-l,qwen2.5:32b-instruct-q3_K_L,../sizes/32b-instruct-q3-k-l.json,no_fit
32b-instruct-q3-k-m,qwen2.5:32b-instruct-q3_K_M,../sizes/32b-instruct-q3-k-m.json,fit
32b-instruct-q3-k-s,qwen2.5:32b-instruct-q3_K_S,../sizes/32b-instruct-q3-k-s.json,fit
32b-instruct-q4-k-m,qwen2.5:32b-instruct-q4_K_M,../sizes/32b-instruct-q4-k-m.json,no_fit
32b-instruct-q4-k-s,qwen2.5:32b-instruct-q4_K_S,../sizes/32b-instruct-q4-k-s.json,no_fit
32b-instruct-q40,qwen2.5:32b-instruct-q4_0,../sizes/32b-instruct-q40.json,no_fit
32b-instruct-q41,qwen2.5:32b-instruct-q4_1,../sizes/32b-instruct-q41.json,no_fit
32b-instruct-q5-k-m,qwen2.5:32b-instruct-q5_K_M,../sizes/32b-instruct-q5-k-m.json,no_fit
32b-instruct-q5-k-s,qwen2.5:32b-instruct-q5_K_S,../sizes/32b-instruct-q5-k-s.json,no_fit
32b-instruct-q50,qwen2.5:32b-instruct-q5_0,../sizes/32b-instruct-q50.json,no_fit
32b-instruct-q51,qwen2.5:32b-instruct-q5_1,../sizes/32b-instruct-q51.json,no_fit
32b-instruct-q6-k,qwen2.5:32b-instruct-q6_K,../sizes/32b-instruct-q6-k.json,no_fit
32b-instruct-q80,qwen2.5:32b-instruct-q8_0,../sizes/32b-instruct-q80.json,no_fit
14b,qwen2.5:14b,../sizes/14b.json,fit
14b-instruct,qwen2.5:14b-instruct,../sizes/14b-instruct.json,fit
14b-instruct-fp16,qwen2.5:14b-instruct-fp16,../sizes/14b-instruct-fp16.json,no_fit
14b-instruct-q2-k,qwen2.5:14b-instruct-q2_K,../sizes/14b-instruct-q2-k.json,fit
14b-instruct-q3-k-l,qwen2.5:14b-instruct-q3_K_L,../sizes/14b-instruct-q3-k-l.json,fit
14b-instruct-q3-k-m,qwen2.5:14b-instruct-q3_K_M,../sizes/14b-instruct-q3-k-m.json,fit
14b-instruct-q3-k-s,qwen2.5:14b-instruct-q3_K_S,../sizes/14b-instruct-q3-k-s.json,fit
14b-instruct-q4-k-m,qwen2.5:14b-instruct-q4_K_M,../sizes/14b-instruct-q4-k-m.json,fit
14b-instruct-q4-k-s,qwen2.5:14b-instruct-q4_K_S,../sizes/14b-instruct-q4-k-s.json,fit
14b-instruct-q40,qwen2.5:14b-instruct-q4_0,../sizes/14b-instruct-q40.json,fit
14b-instruct-q41,qwen2.5:14b-instruct-q4_1,../sizes/14b-instruct-q41.json,fit
14b-instruct-q5-k-m,qwen2.5:14b-instruct-q5_K_M,../sizes/14b-instruct-q5-k-m.json,fit
14b-instruct-q5-k-s,qwen2.5:14b-instruct-q5_K_S,../sizes/14b-instruct-q5-k-s.json,fit
14b-instruct-q50,qwen2.5:14b-instruct-q5_0,../sizes/14b-instruct-q50.json,fit
14b-instruct-q51,qwen2.5:14b-instruct-q5_1,../sizes/14b-instruct-q51.json,fit
