size_slug,size_json_path,ollama_ref
72b,profiles/qwen2.5/sizes/72b.json,qwen2.5:72b
72b-instruct,profiles/qwen2.5/sizes/72b-instruct.json,qwen2.5:72b-instruct
72b-instruct-fp16,profiles/qwen2.5/sizes/72b-instruct-fp16.json,qwen2.5:72b-instruct-fp16
72b-instruct-q2-k,profiles/qwen2.5/sizes/72b-instruct-q2-k.json,qwen2.5:72b-instruct-q2_K
72b-instruct-q3-k-l,profiles/qwen2.5/sizes/72b-instruct-q3-k-l.json,qwen2.5:72b-instruct-q3_K_L
72b-instruct-q3-k-m,profiles/qwen2.5/sizes/72b-instruct-q3-k-m.json,qwen2.5:72b-instruct-q3_K_M
72b-instruct-q3-k-s,profiles/qwen2.5/sizes/72b-instruct-q3-k-s.json,qwen2.5:72b-instruct-q3_K_S
72b-instruct-q4-k-m,profiles/qwen2.5/sizes/72b-instruct-q4-k-m.json,qwen2.5:72b-instruct-q4_K_M
72b-instruct-q4-k-s,profiles/qwen2.5/sizes/72b-instruct-q4-k-s.json,qwen2.5:72b-instruct-q4_K_S
72b-instruct-q40,profiles/qwen2.5/sizes/72b-instruct-q40.json,qwen2.5:72b-instruct-q4_0
72b-instruct-q41,profiles/qwen2.5/sizes/72b-instruct-q41.json,qwen2.5:72b-instruct-q4_1
72b-instruct-q5-k-m,profiles/qwen2.5/sizes/72b-instruct-q5-k-m.json,qwen2.5:72b-instruct-q5_K_M
72b-instruct-q5-k-s,profiles/qwen2.5/sizes/72b-instruct-q5-k-s.json,qwen2.5:72b-instruct-q5_K_S
72b-instruct-q50,profiles/qwen2.5/sizes/72b-instruct-q50.json,qwen2.5:72b-instruct-q5_0
72b-instruct-q51,profiles/qwen2.5/sizes/72b-instruct-q51.json,qwen2.5:72b-instruct-q5_1
72b-instruct-q6-k,profiles/qwen2.5/sizes/72b-instruct-q6-k.json,qwen2.5:72b-instruct-q6_K
72b-instruct-q80,profiles/qwen2.5/sizes/72b-instruct-q80.json,qwen2.5:72b-instruct-q8_0
