size_slug,ollama_ref,size_file
72b,qwen2.5:72b,sizes/72b.json
72b-instruct,qwen2.5:72b-instruct,sizes/72b-instruct.json
72b-instruct-fp16,qwen2.5:72b-instruct-fp16,sizes/72b-instruct-fp16.json
72b-instruct-q2-k,qwen2.5:72b-instruct-q2_K,sizes/72b-instruct-q2-k.json
72b-instruct-q3-k-l,qwen2.5:72b-instruct-q3_K_L,sizes/72b-instruct-q3-k-l.json
72b-instruct-q3-k-m,qwen2.5:72b-instruct-q3_K_M,sizes/72b-instruct-q3-k-m.json
72b-instruct-q3-k-s,qwen2.5:72b-instruct-q3_K_S,sizes/72b-instruct-q3-k-s.json
72b-instruct-q4-k-m,qwen2.5:72b-instruct-q4_K_M,sizes/72b-instruct-q4-k-m.json
72b-instruct-q4-k-s,qwen2.5:72b-instruct-q4_K_S,sizes/72b-instruct-q4-k-s.json
72b-instruct-q40,qwen2.5:72b-instruct-q4_0,sizes/72b-instruct-q40.json
72b-instruct-q41,qwen2.5:72b-instruct-q4_1,sizes/72b-instruct-q41.json
72b-instruct-q5-k-m,qwen2.5:72b-instruct-q5_K_M,sizes/72b-instruct-q5-k-m.json
72b-instruct-q5-k-s,qwen2.5:72b-instruct-q5_K_S,sizes/72b-instruct-q5-k-s.json
72b-instruct-q50,qwen2.5:72b-instruct-q5_0,sizes/72b-instruct-q50.json
72b-instruct-q51,qwen2.5:72b-instruct-q5_1,sizes/72b-instruct-q51.json
72b-instruct-q6-k,qwen2.5:72b-instruct-q6_K,sizes/72b-instruct-q6-k.json
72b-instruct-q80,qwen2.5:72b-instruct-q8_0,sizes/72b-instruct-q80.json
32b,qwen2.5:32b,sizes/32b.json
32b-instruct,qwen2.5:32b-instruct,sizes/32b-instruct.json
32b-instruct-fp16,qwen2.5:32b-instruct-fp16,sizes/32b-instruct-fp16.json
32b-instruct-q2-k,qwen2.5:32b-instruct-q2_K,sizes/32b-instruct-q2-k.json
32b-instruct-q3-k-l,qwen2.5:32b-instruct-q3_K_L,sizes/32b-instruct-q3-k-l.json
32b-instruct-q3-k-m,qwen2.5:32b-instruct-q3_K_M,sizes/32b-instruct-q3-k-m.json
32b-instruct-q3-k-s,qwen2.5:32b-instruct-q3_K_S,sizes/32b-instruct-q3-k-s.json
32b-instruct-q4-k-m,qwen2.5:32b-instruct-q4_K_M,sizes/32b-instruct-q4-k-m.json
32b-instruct-q4-k-s,qwen2.5:32b-instruct-q4_K_S,sizes/32b-instruct-q4-k-s.json
32b-instruct-q40,qwen2.5:32b-instruct-q4_0,sizes/32b-instruct-q40.json
32b-instruct-q41,qwen2.5:32b-instruct-q4_1,sizes/32b-instruct-q41.json
32b-instruct-q5-k-m,qwen2.5:32b-instruct-q5_K_M,sizes/32b-instruct-q5-k-m.json
32b-instruct-q5-k-s,qwen2.5:32b-instruct-q5_K_S,sizes/32b-instruct-q5-k-s.json
32b-instruct-q50,qwen2.5:32b-instruct-q5_0,sizes/32b-instruct-q50.json
32b-instruct-q51,qwen2.5:32b-instruct-q5_1,sizes/32b-instruct-q51.json
32b-instruct-q6-k,qwen2.5:32b-instruct-q6_K,sizes/32b-instruct-q6-k.json
32b-instruct-q80,qwen2.5:32b-instruct-q8_0,sizes/32b-instruct-q80.json
14b,qwen2.5:14b,sizes/14b.json
14b-instruct,qwen2.5:14b-instruct,sizes/14b-instruct.json
14b-instruct-fp16,qwen2.5:14b-instruct-fp16,sizes/14b-instruct-fp16.json
14b-instruct-q2-k,qwen2.5:14b-instruct-q2_K,sizes/14b-instruct-q2-k.json
14b-instruct-q3-k-l,qwen2.5:14b-instruct-q3_K_L,sizes/14b-instruct-q3-k-l.json
14b-instruct-q3-k-m,qwen2.5:14b-instruct-q3_K_M,sizes/14b-instruct-q3-k-m.json
14b-instruct-q3-k-s,qwen2.5:14b-instruct-q3_K_S,sizes/14b-instruct-q3-k-s.json
14b-instruct-q4-k-m,qwen2.5:14b-instruct-q4_K_M,sizes/14b-instruct-q4-k-m.json
14b-instruct-q4-k-s,qwen2.5:14b-instruct-q4_K_S,sizes/14b-instruct-q4-k-s.json
14b-instruct-q40,qwen2.5:14b-instruct-q4_0,sizes/14b-instruct-q40.json
14b-instruct-q41,qwen2.5:14b-instruct-q4_1,sizes/14b-instruct-q41.json
14b-instruct-q5-k-m,qwen2.5:14b-instruct-q5_K_M,sizes/14b-instruct-q5-k-m.json
14b-instruct-q5-k-s,qwen2.5:14b-instruct-q5_K_S,sizes/14b-instruct-q5-k-s.json
14b-instruct-q50,qwen2.5:14b-instruct-q5_0,sizes/14b-instruct-q50.json
14b-instruct-q51,qwen2.5:14b-instruct-q5_1,sizes/14b-instruct-q51.json
14b-instruct-q6-k,qwen2.5:14b-instruct-q6_K,sizes/14b-instruct-q6-k.json
14b-instruct-q80,qwen2.5:14b-instruct-q8_0,sizes/14b-instruct-q80.json
7b,qwen2.5:7b,sizes/7b.json
7b-instruct,qwen2.5:7b-instruct,sizes/7b-instruct.json
7b-instruct-fp16,qwen2.5:7b-instruct-fp16,sizes/7b-instruct-fp16.json
7b-instruct-q2-k,qwen2.5:7b-instruct-q2_K,sizes/7b-instruct-q2-k.json
7b-instruct-q3-k-l,qwen2.5:7b-instruct-q3_K_L,sizes/7b-instruct-q3-k-l.json
7b-instruct-q3-k-m,qwen2.5:7b-instruct-q3_K_M,sizes/7b-instruct-q3-k-m.json
7b-instruct-q3-k-s,qwen2.5:7b-instruct-q3_K_S,sizes/7b-instruct-q3-k-s.json
7b-instruct-q4-k-m,qwen2.5:7b-instruct-q4_K_M,sizes/7b-instruct-q4-k-m.json
7b-instruct-q4-k-s,qwen2.5:7b-instruct-q4_K_S,sizes/7b-instruct-q4-k-s.json
7b-instruct-q40,qwen2.5:7b-instruct-q4_0,sizes/7b-instruct-q40.json
7b-instruct-q41,qwen2.5:7b-instruct-q4_1,sizes/7b-instruct-q41.json
7b-instruct-q5-k-m,qwen2.5:7b-instruct-q5_K_M,sizes/7b-instruct-q5-k-m.json
7b-instruct-q5-k-s,qwen2.5:7b-instruct-q5_K_S,sizes/7b-instruct-q5-k-s.json
7b-instruct-q50,qwen2.5:7b-instruct-q5_0,sizes/7b-instruct-q50.json
7b-instruct-q51,qwen2.5:7b-instruct-q5_1,sizes/7b-instruct-q51.json
7b-instruct-q6-k,qwen2.5:7b-instruct-q6_K,sizes/7b-instruct-q6-k.json
7b-instruct-q80,qwen2.5:7b-instruct-q8_0,sizes/7b-instruct-q80.json
3b,qwen2.5:3b,sizes/3b.json
3b-instruct,qwen2.5:3b-instruct,sizes/3b-instruct.json
3b-instruct-fp16,qwen2.5:3b-instruct-fp16,sizes/3b-instruct-fp16.json
3b-instruct-q2-k,qwen2.5:3b-instruct-q2_K,sizes/3b-instruct-q2-k.json
3b-instruct-q3-k-l,qwen2.5:3b-instruct-q3_K_L,sizes/3b-instruct-q3-k-l.json
3b-instruct-q3-k-m,qwen2.5:3b-instruct-q3_K_M,sizes/3b-instruct-q3-k-m.json
3b-instruct-q3-k-s,qwen2.5:3b-instruct-q3_K_S,sizes/3b-instruct-q3-k-s.json
3b-instruct-q4-k-m,qwen2.5:3b-instruct-q4_K_M,sizes/3b-instruct-q4-k-m.json
3b-instruct-q4-k-s,qwen2.5:3b-instruct-q4_K_S,sizes/3b-instruct-q4-k-s.json
3b-instruct-q40,qwen2.5:3b-instruct-q4_0,sizes/3b-instruct-q40.json
3b-instruct-q41,qwen2.5:3b-instruct-q4_1,sizes/3b-instruct-q41.json
3b-instruct-q5-k-m,qwen2.5:3b-instruct-q5_K_M,sizes/3b-instruct-q5-k-m.json
3b-instruct-q5-k-s,qwen2.5:3b-instruct-q5_K_S,sizes/3b-instruct-q5-k-s.json
3b-instruct-q50,qwen2.5:3b-instruct-q5_0,sizes/3b-instruct-q50.json
3b-instruct-q51,qwen2.5:3b-instruct-q5_1,sizes/3b-instruct-q51.json
3b-instruct-q6-k,qwen2.5:3b-instruct-q6_K,sizes/3b-instruct-q6-k.json
3b-instruct-q80,qwen2.5:3b-instruct-q8_0,sizes/3b-instruct-q80.json
1.5b,qwen2.5:1.5b,sizes/1.5b.json
1.5b-instruct,qwen2.5:1.5b-instruct,sizes/1.5b-instruct.json
1.5b-instruct-fp16,qwen2.5:1.5b-instruct-fp16,sizes/1.5b-instruct-fp16.json
1.5b-instruct-q2-k,qwen2.5:1.5b-instruct-q2_K,sizes/1.5b-instruct-q2-k.json
1.5b-instruct-q3-k-l,qwen2.5:1.5b-instruct-q3_K_L,sizes/1.5b-instruct-q3-k-l.json
1.5b-instruct-q3-k-m,qwen2.5:1.5b-instruct-q3_K_M,sizes/1.5b-instruct-q3-k-m.json
1.5b-instruct-q3-k-s,qwen2.5:1.5b-instruct-q3_K_S,sizes/1.5b-instruct-q3-k-s.json
1.5b-instruct-q4-k-m,qwen2.5:1.5b-instruct-q4_K_M,sizes/1.5b-instruct-q4-k-m.json
1.5b-instruct-q4-k-s,qwen2.5:1.5b-instruct-q4_K_S,sizes/1.5b-instruct-q4-k-s.json
1.5b-instruct-q40,qwen2.5:1.5b-instruct-q4_0,sizes/1.5b-instruct-q40.json
1.5b-instruct-q41,qwen2.5:1.5b-instruct-q4_1,sizes/1.5b-instruct-q41.json
1.5b-instruct-q5-k-m,qwen2.5:1.5b-instruct-q5_K_M,sizes/1.5b-instruct-q5-k-m.json
1.5b-instruct-q5-k-s,qwen2.5:1.5b-instruct-q5_K_S,sizes/1.5b-instruct-q5-k-s.json
1.5b-instruct-q50,qwen2.5:1.5b-instruct-q5_0,sizes/1.5b-instruct-q50.json
1.5b-instruct-q51,qwen2.5:1.5b-instruct-q5_1,sizes/1.5b-instruct-q51.json
1.5b-instruct-q6-k,qwen2.5:1.5b-instruct-q6_K,sizes/1.5b-instruct-q6-k.json
1.5b-instruct-q80,qwen2.5:1.5b-instruct-q8_0,sizes/1.5b-instruct-q80.json
0.5b,qwen2.5:0.5b,sizes/0.5b.json
0.5b-base,qwen2.5:0.5b-base,sizes/0.5b-base.json
0.5b-base-q2-k,qwen2.5:0.5b-base-q2_K,sizes/0.5b-base-q2-k.json
0.5b-base-q3-k-l,qwen2.5:0.5b-base-q3_K_L,sizes/0.5b-base-q3-k-l.json
0.5b-base-q3-k-m,qwen2.5:0.5b-base-q3_K_M,sizes/0.5b-base-q3-k-m.json
0.5b-base-q3-k-s,qwen2.5:0.5b-base-q3_K_S,sizes/0.5b-base-q3-k-s.json
0.5b-base-q4-k-m,qwen2.5:0.5b-base-q4_K_M,sizes/0.5b-base-q4-k-m.json
0.5b-base-q4-k-s,qwen2.5:0.5b-base-q4_K_S,sizes/0.5b-base-q4-k-s.json
0.5b-base-q40,qwen2.5:0.5b-base-q4_0,sizes/0.5b-base-q40.json
0.5b-base-q41,qwen2.5:0.5b-base-q4_1,sizes/0.5b-base-q41.json
0.5b-base-q5-k-s,qwen2.5:0.5b-base-q5_K_S,sizes/0.5b-base-q5-k-s.json
0.5b-base-q50,qwen2.5:0.5b-base-q5_0,sizes/0.5b-base-q50.json
0.5b-base-q51,qwen2.5:0.5b-base-q5_1,sizes/0.5b-base-q51.json
0.5b-base-q80,qwen2.5:0.5b-base-q8_0,sizes/0.5b-base-q80.json
0.5b-instruct,qwen2.5:0.5b-instruct,sizes/0.5b-instruct.json
0.5b-instruct-fp16,qwen2.5:0.5b-instruct-fp16,sizes/0.5b-instruct-fp16.json
0.5b-instruct-q2-k,qwen2.5:0.5b-instruct-q2_K,sizes/0.5b-instruct-q2-k.json
0.5b-instruct-q3-k-l,qwen2.5:0.5b-instruct-q3_K_L,sizes/0.5b-instruct-q3-k-l.json
0.5b-instruct-q3-k-m,qwen2.5:0.5b-instruct-q3_K_M,sizes/0.5b-instruct-q3-k-m.json
0.5b-instruct-q3-k-s,qwen2.5:0.5b-instruct-q3_K_S,sizes/0.5b-instruct-q3-k-s.json
0.5b-instruct-q4-k-m,qwen2.5:0.5b-instruct-q4_K_M,sizes/0.5b-instruct-q4-k-m.json
0.5b-instruct-q4-k-s,qwen2.5:0.5b-instruct-q4_K_S,sizes/0.5b-instruct-q4-k-s.json
0.5b-instruct-q40,qwen2.5:0.5b-instruct-q4_0,sizes/0.5b-instruct-q40.json
0.5b-instruct-q41,qwen2.5:0.5b-instruct-q4_1,sizes/0.5b-instruct-q41.json
0.5b-instruct-q5-k-m,qwen2.5:0.5b-instruct-q5_K_M,sizes/0.5b-instruct-q5-k-m.json
0.5b-instruct-q5-k-s,qwen2.5:0.5b-instruct-q5_K_S,sizes/0.5b-instruct-q5-k-s.json
0.5b-instruct-q50,qwen2.5:0.5b-instruct-q5_0,sizes/0.5b-instruct-q50.json
0.5b-instruct-q51,qwen2.5:0.5b-instruct-q5_1,sizes/0.5b-instruct-q51.json
0.5b-instruct-q6-k,qwen2.5:0.5b-instruct-q6_K,sizes/0.5b-instruct-q6-k.json
0.5b-instruct-q80,qwen2.5:0.5b-instruct-q8_0,sizes/0.5b-instruct-q80.json
latest,qwen2.5:latest,sizes/latest.json
